parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate
init_Cells	init_Cells	log10	-1	3	0	0
init_Cells_Cycle_G2_rel	init_Cells_Cycle_G2_rel	lin	0	1	0.4	0
init_Cells_Cycle_S_rel	init_Cells_Cycle_S_rel	lin	0	1	0.5	0
init_Space	init_Space	log10	-5	3	2	0
k_apo_dsb_g2	k_apo_dsb_g2	log10	-5	3	-5	0
k_apo_dsb_s	k_apo_dsb_s	log10	-5	3	-5	0
k_apo_ssb	k_apo_ssb	log10	-5	3	-5	0
k_cyc_arr_chk1	k_cyc_arr_chk1	log10	0	3	2.99999999999997	0
k_cyc_arr_chk2	k_cyc_arr_chk2	log10	0	3	3	0
k_damage_dox_dsb	k_damage_dox_dsb	log10	0	3	2.33195396471771	1
k_damage_gem_ssb	k_damage_gem_ssb	log10	0	3	1.69783977761741	1
k_damage_sn38_ssb	k_damage_sn38_ssb	log10	0	3	2.24163297502176	1
k_death	k_death	log10	-2	0	-0.986413556994521	0
k_death_delay	k_death_delay	log10	-2	0	-0.850652736383494	0
k_death_reox	k_death_reox	log10	-2	0	-1.46693212832514	1
k_dox_apo	k_dox_apo	log10	-2	-1	-1.31157131024391	1
k_dox_kd	k_dox_kd	log10	-5	3	-0.448	0
k_lyse	k_lyse	log10	-5	3	1	0
k_rep_hr	k_rep_hr	log10	-5	0	-4.99999999999996	1
k_rep_nhej	k_rep_nhej	log10	-5	0	-0.489190166782029	1
k_rep_nhej_sat	k_rep_nhej_sat	log10	-5	0	-2.16323276411676	1
k_rep_s	k_rep_s	log10	-5	0	-4.99999999999996	1
k_ssb_to_dsb	k_ssb_to_dsb	log10	-5	0	-1.51570547440724	1
k_ssb_to_dsb_sn38	k_ssb_to_dsb_sn38	log10	-5	3	2.99999985856425	1
kt	kt	log10	-1	0	-0.72724873800882	1
kt_apo	kt_apo	log10	-2	0	-0.908327523401711	0
p_atm_act_dsb	p_atm_act_dsb	log10	-2	0	-3.28801603590101E-14	1
p_atr_act_atm	p_atr_act_atm	log10	-2	0	-1.0447055676182	1
p_atr_act_ssb	p_atr_act_ssb	log10	-2	0	-1.10136574743901	1
p_chk1_act	p_chk1_act	log10	-2	1	0.925956311284326	1
p_chk1_dea_wip1	p_chk1_dea_wip1	log10	-2	1	0.999999999515819	1
p_chk2_act	p_chk2_act	log10	-2	1	0.838413443508185	1
p_chk2_dea_wip1	p_chk2_dea_wip1	log10	-2	1	0.999999999999965	1
p_dnapk_act	p_dnapk_act	log10	-2	1	0.999999897907862	1
p_dnapk_dea_wip1	p_dnapk_dea_wip1	log10	-2	1	0.818758154065261	1
p_h2ax_act_atm	p_h2ax_act_atm	log10	-5	3	-2.86823847174478	1
p_h2ax_act_atr	p_h2ax_act_atr	log10	-5	3	-2.26940814428287	1
p_h2ax_act_dnapk	p_h2ax_act_dnapk	log10	-5	3	-4.99999999999582	1
p_h2ax_dea	p_h2ax_dea	log10	-5	3	-4.99998494698696	1
p_mrna_exp_inh_dox	p_mrna_exp_inh_dox	log10	0	3	2.99999999999996	1
p_mrna_exp_inh_dox_kd	p_mrna_exp_inh_dox_kd	log10	-2	1	-0.447999943867309	0
p_p21_mrna_turn	p_p21_mrna_turn	log10	-2	0	-0.961163719377574	1
p_p21_turn	p_p21_turn	log10	-2	0	-3.41966539030477E-14	1
p_p53_act_atm	p_p53_act_atm	log10	-2	0	-0.762789292531232	1
p_p53_act_atr	p_p53_act_atr	log10	-5	0	-4.99999999999996	1
p_p53_act_chk1	p_p53_act_chk1	log10	-5	3	-4.99999999999629	1
p_p53_act_chk2	p_p53_act_chk2	log10	-5	3	-1.29039821765088	1
p_wip1_mrna_turn	p_wip1_mrna_turn	log10	-1	1	0.531608713463267	1
p_wip1_turn	p_wip1_turn	log10	-1	1	0.532963569909637	1
scale_p21_mRNA_fold	scale_p21_mRNA_fold	log10	-5	3	1.29680316076431	1
scale_patm_au	scale_patm_au	log10	-5	3	-0.035998770433359	1
scale_pchk1_au	scale_pchk1_au	log10	-5	3	0.02119322753507	1
scale_pchk2_au	scale_pchk2_au	log10	-5	3	0.183429937939437	1
scale_pdnapk_au	scale_pdnapk_au	log10	-5	3	-0.329927425851421	1
scale_pp53_au	scale_pp53_au	log10	-5	3	0.055286502702659	1
scale_tp21_au	scale_tp21_au	log10	-5	3	0.593048366205028	1
scale_tp53_au	scale_tp53_au	log10	-5	3	0.155741649986454	1
scale_wip1_mRNA_fold	scale_wip1_mRNA_fold	log10	-5	3	0.357363092368903	1
scale_yh2ax_au	scale_yh2ax_au	log10	-5	3	1.78177810622619	1
sd_count_abs	sd_count_abs	log10	-5	3	-1	0
sd_count_casp_abs	sd_count_casp_abs	log10	-5	3	-1	0
sd_p21_mRNA_fold	sd_p21_mRNA_fold	log10	-5	3	0	0
sd_patm_au	sd_patm_au	log10	-5	3	-1.1	0
sd_pchk1_au	sd_pchk1_au	log10	-5	3	-1	0
sd_pchk2_au	sd_pchk2_au	log10	-5	3	-0.5	0
sd_pdnapk_au	sd_pdnapk_au	log10	-5	3	-0.7	0
sd_pp53_au	sd_pp53_au	log10	-5	3	-0.7	0
sd_tp21_au	sd_tp21_au	log10	-5	3	-0.5	0
sd_tp53_au	sd_tp53_au	log10	-5	3	-0.7	0
sd_wip1_mRNA_fold	sd_wip1_mRNA_fold	log10	-5	3	0	0
sd_yh2ax_au	sd_yh2ax_au	log10	-5	3	-0.9	0
