observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	observableTransformation
pJAK2_au		model1_data1	-1.95599762557561	0	offset_pJAK2_long;scale_pJAK2_long	sd_JAK2EpoR_au	log10
pJAK2_au		model1_data1	0	5	offset_pJAK2_long;scale_pJAK2_long	sd_JAK2EpoR_au	log10
pJAK2_au		model1_data1	-0.127344806374178	10	offset_pJAK2_long;scale_pJAK2_long	sd_JAK2EpoR_au	log10
pJAK2_au		model1_data1	-0.127344806374178	20	offset_pJAK2_long;scale_pJAK2_long	sd_JAK2EpoR_au	log10
pJAK2_au		model1_data1	-0.581607137532277	40	offset_pJAK2_long;scale_pJAK2_long	sd_JAK2EpoR_au	log10
pJAK2_au		model1_data1	-1.36547262889341	60	offset_pJAK2_long;scale_pJAK2_long	sd_JAK2EpoR_au	log10
pJAK2_au		model1_data1	-0.787282786054155	80	offset_pJAK2_long;scale_pJAK2_long	sd_JAK2EpoR_au	log10
pJAK2_au		model1_data1	-1.0333527385497	100	offset_pJAK2_long;scale_pJAK2_long	sd_JAK2EpoR_au	log10
pJAK2_au		model1_data1	-1.59728747646672	120	offset_pJAK2_long;scale_pJAK2_long	sd_JAK2EpoR_au	log10
pJAK2_au		model1_data1	-0.87244777975697	140	offset_pJAK2_long;scale_pJAK2_long	sd_JAK2EpoR_au	log10
pJAK2_au		model1_data1	-0.866920046130467	160	offset_pJAK2_long;scale_pJAK2_long	sd_JAK2EpoR_au	log10
pJAK2_au		model1_data1	-1.25001612833191	180	offset_pJAK2_long;scale_pJAK2_long	sd_JAK2EpoR_au	log10
pJAK2_au		model1_data1	-1.2273622688806	220	offset_pJAK2_long;scale_pJAK2_long	sd_JAK2EpoR_au	log10
pJAK2_au		model1_data1	-0.990906111356112	240	offset_pJAK2_long;scale_pJAK2_long	sd_JAK2EpoR_au	log10
pEpoR_au		model1_data1	-2.3553252302031	0	offset_pEpoR_long;scale_pEpoR_long	sd_JAK2EpoR_au	log10
pEpoR_au		model1_data1	-0.154400561644228	5	offset_pEpoR_long;scale_pEpoR_long	sd_JAK2EpoR_au	log10
pEpoR_au		model1_data1	0	10	offset_pEpoR_long;scale_pEpoR_long	sd_JAK2EpoR_au	log10
pEpoR_au		model1_data1	-0.217191391503683	20	offset_pEpoR_long;scale_pEpoR_long	sd_JAK2EpoR_au	log10
pEpoR_au		model1_data1	-0.719316116206963	40	offset_pEpoR_long;scale_pEpoR_long	sd_JAK2EpoR_au	log10
pEpoR_au		model1_data1	-0.996595214566894	60	offset_pEpoR_long;scale_pEpoR_long	sd_JAK2EpoR_au	log10
pEpoR_au		model1_data1	-0.95487744129283	80	offset_pEpoR_long;scale_pEpoR_long	sd_JAK2EpoR_au	log10
pEpoR_au		model1_data1	-1.15585621457503	100	offset_pEpoR_long;scale_pEpoR_long	sd_JAK2EpoR_au	log10
pEpoR_au		model1_data1	-0.548184610545108	120	offset_pEpoR_long;scale_pEpoR_long	sd_JAK2EpoR_au	log10
pEpoR_au		model1_data1	-0.872772916830244	140	offset_pEpoR_long;scale_pEpoR_long	sd_JAK2EpoR_au	log10
pEpoR_au		model1_data1	-0.620594295877223	160	offset_pEpoR_long;scale_pEpoR_long	sd_JAK2EpoR_au	log10
pEpoR_au		model1_data1	-1.29514676356928	180	offset_pEpoR_long;scale_pEpoR_long	sd_JAK2EpoR_au	log10
pEpoR_au		model1_data1	-1.39773520108423	220	offset_pEpoR_long;scale_pEpoR_long	sd_JAK2EpoR_au	log10
pEpoR_au		model1_data1	-1.06889043485623	240	offset_pEpoR_long;scale_pEpoR_long	sd_JAK2EpoR_au	log10
CIS_au		model1_data1	-1.76935993330706	0	offset_CIS_long;scale_CIS_long	sd_CIS_au	log10
CIS_au		model1_data1	-1.41095198482525	5	offset_CIS_long;scale_CIS_long	sd_CIS_au	log10
CIS_au		model1_data1	-1.67072834872607	10	offset_CIS_long;scale_CIS_long	sd_CIS_au	log10
CIS_au		model1_data1	-1.43079218523461	20	offset_CIS_long;scale_CIS_long	sd_CIS_au	log10
CIS_au		model1_data1	-0.890319302702031	40	offset_CIS_long;scale_CIS_long	sd_CIS_au	log10
CIS_au		model1_data1	-0.548991560655054	60	offset_CIS_long;scale_CIS_long	sd_CIS_au	log10
CIS_au		model1_data1	-0.08574604192446	80	offset_CIS_long;scale_CIS_long	sd_CIS_au	log10
CIS_au		model1_data1	-0.035146950125964	100	offset_CIS_long;scale_CIS_long	sd_CIS_au	log10
CIS_au		model1_data1	-0.111766931550863	140	offset_CIS_long;scale_CIS_long	sd_CIS_au	log10
CIS_au		model1_data1	-0.12403767918259	160	offset_CIS_long;scale_CIS_long	sd_CIS_au	log10
CIS_au		model1_data1	-0.021761362014494	180	offset_CIS_long;scale_CIS_long	sd_CIS_au	log10
CIS_au		model1_data1	-0.040283854848361	220	offset_CIS_long;scale_CIS_long	sd_CIS_au	log10
CIS_au		model1_data1	0	240	offset_CIS_long;scale_CIS_long	sd_CIS_au	log10
SOCS3_au		model1_data1	-0.959711517423787	10	offset_SOCS3_long;scale_SOCS3_long	sd_SOCS3_au	log10
SOCS3_au		model1_data1	-0.55057947682285	20	offset_SOCS3_long;scale_SOCS3_long	sd_SOCS3_au	log10
SOCS3_au		model1_data1	-0.244981248162557	60	offset_SOCS3_long;scale_SOCS3_long	sd_SOCS3_au	log10
SOCS3_au		model1_data1	0	120	offset_SOCS3_long;scale_SOCS3_long	sd_SOCS3_au	log10
SOCS3_au		model1_data1	0	180	offset_SOCS3_long;scale_SOCS3_long	sd_SOCS3_au	log10
SOCS3_au		model1_data1	-0.013342097596951	240	offset_SOCS3_long;scale_SOCS3_long	sd_SOCS3_au	log10
tSTAT5_au		model1_data1	-0.23638223504608	0	scale_tSTAT5_long	sd_STAT5_au	log10
tSTAT5_au		model1_data1	0	5	scale_tSTAT5_long	sd_STAT5_au	log10
tSTAT5_au		model1_data1	-0.164299242959636	10	scale_tSTAT5_long	sd_STAT5_au	log10
tSTAT5_au		model1_data1	-0.248148116973255	20	scale_tSTAT5_long	sd_STAT5_au	log10
tSTAT5_au		model1_data1	-0.065581965397391	60	scale_tSTAT5_long	sd_STAT5_au	log10
tSTAT5_au		model1_data1	-0.167295929306147	80	scale_tSTAT5_long	sd_STAT5_au	log10
tSTAT5_au		model1_data1	-0.126338958119533	100	scale_tSTAT5_long	sd_STAT5_au	log10
tSTAT5_au		model1_data1	-0.05847784720085	120	scale_tSTAT5_long	sd_STAT5_au	log10
tSTAT5_au		model1_data1	-0.193369241835168	140	scale_tSTAT5_long	sd_STAT5_au	log10
tSTAT5_au		model1_data1	-0.153513804944323	160	scale_tSTAT5_long	sd_STAT5_au	log10
tSTAT5_au		model1_data1	-0.075111229517916	180	scale_tSTAT5_long	sd_STAT5_au	log10
tSTAT5_au		model1_data1	-0.240428040611722	220	scale_tSTAT5_long	sd_STAT5_au	log10
tSTAT5_au		model1_data1	-0.141014250062728	240	scale_tSTAT5_long	sd_STAT5_au	log10
pSTAT5_au		model1_data1	-2.96272532435892	0	offset_pSTAT5_long;scale_pSTAT5_long	sd_STAT5_au;0	log10
pSTAT5_au		model1_data1	0	5	offset_pSTAT5_long;scale_pSTAT5_long	sd_STAT5_au;0	log10
pSTAT5_au		model1_data1	-0.042110608221859	10	offset_pSTAT5_long;scale_pSTAT5_long	sd_STAT5_au;0	log10
pSTAT5_au		model1_data1	-0.251698446666412	20	offset_pSTAT5_long;scale_pSTAT5_long	sd_STAT5_au;0	log10
pSTAT5_au		model1_data1	-0.407954070403955	60	offset_pSTAT5_long;scale_pSTAT5_long	sd_STAT5_au;0	log10
pSTAT5_au		model1_data1	-0.772185698006647	80	offset_pSTAT5_long;scale_pSTAT5_long	sd_STAT5_au;0	log10
pSTAT5_au		model1_data1	-0.786955622935778	100	offset_pSTAT5_long;scale_pSTAT5_long	sd_STAT5_au;0	log10
pSTAT5_au		model1_data1	-0.712454537428883	120	offset_pSTAT5_long;scale_pSTAT5_long	sd_STAT5_au;0	log10
pSTAT5_au		model1_data1	-0.914700204149184	140	offset_pSTAT5_long;scale_pSTAT5_long	sd_STAT5_au;0	log10
pSTAT5_au		model1_data1	-0.897636958899707	160	offset_pSTAT5_long;scale_pSTAT5_long	sd_STAT5_au;0	log10
pSTAT5_au		model1_data1	-0.535187779629362	180	offset_pSTAT5_long;scale_pSTAT5_long	sd_STAT5_au;0	log10
pSTAT5_au		model1_data1	-1.06689403147387	220	offset_pSTAT5_long;scale_pSTAT5_long	sd_STAT5_au;0	log10
pSTAT5_au		model1_data1	-0.559227992203621	240	offset_pSTAT5_long;scale_pSTAT5_long	sd_STAT5_au;0	log10
pEpoR_au		model1_data10	-0.93896889099137	0	offset_pEpoR_cisoe_pepor;scale_pEpoR_cisoe_pepor	sd_JAK2EpoR_au	log10
pEpoR_au		model1_data10	-0.482734185603415	5	offset_pEpoR_cisoe_pepor;scale_pEpoR_cisoe_pepor	sd_JAK2EpoR_au	log10
pEpoR_au		model1_data10	-0.574379958619114	10	offset_pEpoR_cisoe_pepor;scale_pEpoR_cisoe_pepor	sd_JAK2EpoR_au	log10
pEpoR_au		model1_data10	-0.63612555456392	60	offset_pEpoR_cisoe_pepor;scale_pEpoR_cisoe_pepor	sd_JAK2EpoR_au	log10
pEpoR_au		model1_data10	-0.753095361500945	120	offset_pEpoR_cisoe_pepor;scale_pEpoR_cisoe_pepor	sd_JAK2EpoR_au	log10
pJAK2_au		model1_data11	-1.12595225977985	0	offset_pJAK2_socs3oe;scale_pJAK2_socs3oe	sd_JAK2EpoR_au	log10
pJAK2_au		model1_data11	0	10	offset_pJAK2_socs3oe;scale_pJAK2_socs3oe	sd_JAK2EpoR_au	log10
pJAK2_au		model1_data11	-0.623857120422807	60	offset_pJAK2_socs3oe;scale_pJAK2_socs3oe	sd_JAK2EpoR_au	log10
pJAK2_au		model1_data11	-0.575552440848252	120	offset_pJAK2_socs3oe;scale_pJAK2_socs3oe	sd_JAK2EpoR_au	log10
pEpoR_au		model1_data11	-1.33451513986853	0	offset_pEpoR_socs3oe;scale_pEpoR_socs3oe	sd_JAK2EpoR_au	log10
pEpoR_au		model1_data11	0	10	offset_pEpoR_socs3oe;scale_pEpoR_socs3oe	sd_JAK2EpoR_au	log10
pEpoR_au		model1_data11	-0.438949210819118	60	offset_pEpoR_socs3oe;scale_pEpoR_socs3oe	sd_JAK2EpoR_au	log10
pEpoR_au		model1_data11	-0.43475309622551	120	offset_pEpoR_socs3oe;scale_pEpoR_socs3oe	sd_JAK2EpoR_au	log10
CIS_au		model1_data11	-0.746724423117201	0	offset_CIS_socs3oe;scale_CIS_socs3oe	sd_CIS_au	log10
CIS_au		model1_data11	-0.865977521284862	10	offset_CIS_socs3oe;scale_CIS_socs3oe	sd_CIS_au	log10
CIS_au		model1_data11	0	60	offset_CIS_socs3oe;scale_CIS_socs3oe	sd_CIS_au	log10
CIS_au		model1_data11	-0.013363961557982	120	offset_CIS_socs3oe;scale_CIS_socs3oe	sd_CIS_au	log10
SOCS3_au		model1_data11	-1.55577956935925	0	offset_SOCS3_socs3oe;scale_SOCS3_socs3oe	sd_SOCS3_au	log10
SOCS3_au		model1_data11	-1.62904348101356	10	offset_SOCS3_socs3oe;scale_SOCS3_socs3oe	sd_SOCS3_au	log10
SOCS3_au		model1_data11	-1.07605306098468	60	offset_SOCS3_socs3oe;scale_SOCS3_socs3oe	sd_SOCS3_au	log10
SOCS3_au		model1_data11	-0.993078825919918	120	offset_SOCS3_socs3oe;scale_SOCS3_socs3oe	sd_SOCS3_au	log10
pSTAT5_au		model1_data11	-2.25935412883012	0	offset_pSTAT5_socs3oe;scale_pSTAT5_socs3oe	sd_STAT5_au;0	log10
pSTAT5_au		model1_data11	0	10	offset_pSTAT5_socs3oe;scale_pSTAT5_socs3oe	sd_STAT5_au;0	log10
pSTAT5_au		model1_data11	-0.465590635427935	60	offset_pSTAT5_socs3oe;scale_pSTAT5_socs3oe	sd_STAT5_au;0	log10
