observableId	preequilibrationCondition	simulationCondition	measurement	time	observableParameters	noiseParameters	observableTransformation
pJAK2_au		model1_data1	-2.023496333526894	0.0			
pJAK2_au		model1_data1	-0.2932419633804935	5.0			
pJAK2_au		model1_data1	-0.33726438983953005	10.0			
pJAK2_au		model1_data1	-0.6195598903811714	20.0			
pJAK2_au		model1_data1	-0.8228175828648027	40.0			
pJAK2_au		model1_data1	-0.9136726093227162	60.0			
pJAK2_au		model1_data1	-0.9554087303500817	80.0			
pJAK2_au		model1_data1	-0.9730728069181083	100.0			
pJAK2_au		model1_data1	-0.9788610199692229	120.0			
pJAK2_au		model1_data1	-0.979016416738487	140.0			
pJAK2_au		model1_data1	-0.9768080042443271	160.0			
pJAK2_au		model1_data1	-0.9739251287644098	180.0			
pJAK2_au		model1_data1	-0.9689386775574443	220.0			
pJAK2_au		model1_data1	-0.9672608032282721	240.0			
pEpoR_au		model1_data1	-2.357397023052358	0.0			
pEpoR_au		model1_data1	-0.019604926205538404	5.0			
pEpoR_au		model1_data1	-0.0572567486102609	10.0			
pEpoR_au		model1_data1	-0.4346679282683774	20.0			
pEpoR_au		model1_data1	-0.7397304634616694	40.0			
pEpoR_au		model1_data1	-0.885856658834283	60.0			
pEpoR_au		model1_data1	-0.9551918089161827	80.0			
pEpoR_au		model1_data1	-0.9849971870808732	100.0			
pEpoR_au		model1_data1	-0.9948723374818261	120.0			
pEpoR_au		model1_data1	-0.9952100040619104	140.0			
pEpoR_au		model1_data1	-0.9915316913855295	160.0			
pEpoR_au		model1_data1	-0.9867026377262442	180.0			
pEpoR_au		model1_data1	-0.9783404294867674	220.0			
pEpoR_au		model1_data1	-0.9755261474609993	240.0			
CIS_au		model1_data1	-1.5774101498922906	0.0			
CIS_au		model1_data1	-1.5774099779923418	5.0			
CIS_au		model1_data1	-1.577272442781103	10.0			
CIS_au		model1_data1	-1.5469623869928288	20.0			
CIS_au		model1_data1	-0.9549316337545268	40.0			
CIS_au		model1_data1	-0.43266930959933325	60.0			
CIS_au		model1_data1	-0.1797124753934267	80.0			
CIS_au		model1_data1	-0.06444908002041169	100.0			
CIS_au		model1_data1	-0.007494159198178281	140.0			
CIS_au		model1_data1	-0.015473941404580556	160.0			
CIS_au		model1_data1	-0.03278279769472513	180.0			
CIS_au		model1_data1	-0.0761467015201968	220.0			
CIS_au		model1_data1	-0.09717096678370815	240.0			
SOCS3_au		model1_data1	-0.9179358214303445	10.0			
SOCS3_au		model1_data1	-0.6416195913907203	20.0			
SOCS3_au		model1_data1	-0.07122726774064521	60.0			
SOCS3_au		model1_data1	0.007097835146563776	120.0			
SOCS3_au		model1_data1	-0.04593875866761588	180.0			
SOCS3_au		model1_data1	-0.09899159512539231	240.0			
tSTAT5_au		model1_data1	-0.11796318624833722	0.0			
tSTAT5_au		model1_data1	-0.12635775213066802	5.0			
tSTAT5_au		model1_data1	-0.1584246261450947	10.0			
tSTAT5_au		model1_data1	-0.1912725858188401	20.0			
tSTAT5_au		model1_data1	-0.16991575826211638	60.0			
tSTAT5_au		model1_data1	-0.15441358772357824	80.0			
tSTAT5_au		model1_data1	-0.14459663007843507	100.0			
tSTAT5_au		model1_data1	-0.1388136660941708	120.0			
tSTAT5_au		model1_data1	-0.13557237726742583	140.0			
tSTAT5_au		model1_data1	-0.13386839361382774	160.0			
tSTAT5_au		model1_data1	-0.13306968954960224	180.0			
tSTAT5_au		model1_data1	-0.1327811356881899	220.0			
tSTAT5_au		model1_data1	-0.13291131926831118	240.0			
pSTAT5_au		model1_data1	-2.9613517713971147	0.0			
pSTAT5_au		model1_data1	-0.08253523543890502	5.0			
pSTAT5_au		model1_data1	-0.005751975436520769	10.0			
pSTAT5_au		model1_data1	-0.09676405854938963	20.0			
pSTAT5_au		model1_data1	-0.4464541140929798	60.0			
pSTAT5_au		model1_data1	-0.5887961488230923	80.0			
pSTAT5_au		model1_data1	-0.7001373250121203	100.0			
pSTAT5_au		model1_data1	-0.7782092671587338	120.0			
pSTAT5_au		model1_data1	-0.8262437438098211	140.0			
pSTAT5_au		model1_data1	-0.8512508669124367	160.0			
pSTAT5_au		model1_data1	-0.8609908912858758	180.0			
pSTAT5_au		model1_data1	-0.8582861152671177	220.0			
pSTAT5_au		model1_data1	-0.8529608333353415	240.0			
pEpoR_au		model1_data10	-0.8826384731602225	0.0			
pEpoR_au		model1_data10	-0.3421135031247124	5.0			
pEpoR_au		model1_data10	-0.31241654259100327	10.0			
pEpoR_au		model1_data10	-0.6514931374287384	60.0			
pEpoR_au		model1_data10	-0.7040794545399998	120.0			
pJAK2_au		model1_data11	-1.2236442605454636	0.0			
pJAK2_au		model1_data11	-0.15113027642036178	10.0			
pJAK2_au		model1_data11	-0.655243485641457	60.0			
pJAK2_au		model1_data11	-0.7059957897355997	120.0			
pEpoR_au		model1_data11	-1.246325681096156	0.0			
pEpoR_au		model1_data11	0.34697335264216167	10.0			
pEpoR_au		model1_data11	-0.4330921882243915	60.0			
pEpoR_au		model1_data11	-0.5269883352236548	120.0			
CIS_au		model1_data11	-1.0433668542295518	0.0			
CIS_au		model1_data11	-1.0433149366731482	10.0			
CIS_au		model1_data11	-0.27370355798191476	60.0			
CIS_au		model1_data11	0.11158239977069277	120.0			
SOCS3_au		model1_data11	-1.5920246477659963	0.0			
SOCS3_au		model1_data11	-1.5837535033429793	10.0			
SOCS3_au		model1_data11	-1.0824923116154317	60.0			
SOCS3_au		model1_data11	-1.0188678680205223	120.0			
pSTAT5_au		model1_data11	-2.250776734093327	0.0			
pSTAT5_au		model1_data11	0.07300960766988755	10.0			
pSTAT5_au		model1_data11	-0.3649197848876281	60.0			
pSTAT5_au		model1_data11	-0.6917334844084043	120.0			
pJAK2_au		model1_data12	-1.2236442605454636	0.0			
pJAK2_au		model1_data12	-0.5816907855827407	10.0			
pJAK2_au		model1_data12	-0.8640939786859135	60.0			
pJAK2_au		model1_data12	-0.9068107966371035	120.0			
pEpoR_au		model1_data12	-1.246325681096156	0.0			
pEpoR_au		model1_data12	-0.3835836977795469	10.0			
pEpoR_au		model1_data12	-0.8241861640911556	60.0			
pEpoR_au		model1_data12	-0.906540669113243	120.0			
CIS_au		model1_data12	-1.0433668542295518	0.0			
CIS_au		model1_data12	-1.0433666835406479	10.0			
CIS_au		model1_data12	-1.0143008409388468	60.0			
CIS_au		model1_data12	-0.8911837186788999	120.0			
SOCS3_au		model1_data12	-0.07380526565376351	0.0			
SOCS3_au		model1_data12	-0.07380456796160335	10.0			
SOCS3_au		model1_data12	-0.07315939284956767	60.0			
