parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	priorType	priorParameters	hierarchicalOptimization (optional)
init_Epo	init_{Epo}	log10	1e-05	10000.0	1347.4900239460928	1			
init_EpoR_rel	init_{EpoR,rel}	log10	1e-05	1000.0	0.09205154687958877	1			
kD	kD	log10	1e-05	1000.0	141.87307533737456	1			
kde	kde	log10	1e-05	1000.0	0.011988171189895173	1			
kdi	kdi	log10	1e-05	1000.0	0.001272664084268966	1			
ke	ke	log10	1e-05	1000.0	0.05546006041020729	1			
kex	kex	log10	1e-05	1000.0	0.0005780045497854417	1			
koff	koff	log10	1e-05	1000.0	0.08068607492828674	1			
kon	kon	log10	1e-05	1000.0	0.1513434581025921	1			
kt	kt	log10	1e-05	1000.0	0.0160125170984372	1			
offset	offset	log10	1e-05	1000.0	1e-05	1			
scale	scale	log10	1e-05	1000.0	0.9798296221875709	1			
sd_Epo_bound	\sigma_{Epo,bound}	log10	1e-05	1000.0	0.03679799818921241	1			
sd_Epo_ext	\sigma_{Epo,ext}	log10	1e-05	1000.0	0.007797707390001402	1			
sd_Epo_int	\sigma_{Epo,int}	log10	1e-05	1000.0	0.05124408048127043	1			
sd_Epo_mem	\sigma_{Epo,mem}	log10	1e-05	1000.0	0.04427915748372998	1			
