observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	observableTransformation
0ac		control	0.747750754619803	inf		sigma	lin
0ac		control	0.748832498938945	inf		sigma	lin
0ac		control	0.746418618725156	inf		sigma	lin
0ac		control	0.746019737149623	inf		sigma	lin
0ac		control	0.734677745641262	inf		sigma	lin
0ac		control	0.747368344860373	inf		sigma	lin
0ac		control	0.71152995156511	inf		sigma	lin
0ac		control	0.704118026761505	inf		sigma	lin
0ac		control	0.687133716023311	inf		sigma	lin
0ac		control	0.704310981128691	inf		sigma	lin
0ac		control	0.687718314331785	inf		sigma	lin
0ac		control	0.722193168030952	inf		sigma	lin
0ac		control	0.734605320591513	inf		sigma	lin
0ac		control	0.731710486898093	inf		sigma	lin
0ac		control	0.736805543280133	inf		sigma	lin
0ac		control	0.735301531569616	inf		sigma	lin
0ac		control	0.786037007654028	inf		sigma	lin
0ac		control	0.773040255760738	inf		sigma	lin
k5		control	0.035743495553404	inf		sigma	lin
k5		control	0.02997510069437	inf		sigma	lin
k5		control	0.031948537406475	inf		sigma	lin
k5		control	0.035606797820673	inf		sigma	lin
k5		control	0.035803887453784	inf		sigma	lin
k5		control	0.033861956540613	inf		sigma	lin
k5		control	0.032286998955764	inf		sigma	lin
k5		control	0.038639274069252	inf		sigma	lin
k5		control	0.029892120704501	inf		sigma	lin
k5		control	0.034470262788102	inf		sigma	lin
k5		control	0.035647085970773	inf		sigma	lin
k5		control	0.041666347766367	inf		sigma	lin
k5		control	0.036471665602057	inf		sigma	lin
k5		control	0.03574686783937	inf		sigma	lin
k5		control	0.037757738022302	inf		sigma	lin
k5		control	0.035665225023027	inf		sigma	lin
k5		control	0.032834709144278	inf		sigma	lin
k5		control	0.030143356153449	inf		sigma	lin
k8		control	0.028586371408466	inf		sigma	lin
k8		control	0.03607681665005	inf		sigma	lin
k8		control	0.032107581030421	inf		sigma	lin
k8		control	0.029929761549178	inf		sigma	lin
k8		control	0.033130499983673	inf		sigma	lin
k8		control	0.030752530423355	inf		sigma	lin
k8		control	0.037988978980456	inf		sigma	lin
k8		control	0.033332240113342	inf		sigma	lin
k8		control	0.047831394125563	inf		sigma	lin
k8		control	0.034260277409363	inf		sigma	lin
k8		control	0.033972071841019	inf		sigma	lin
k8		control	0.026756885315721	inf		sigma	lin
k8		control	0.025518444577996	inf		sigma	lin
k8		control	0.030201792862648	inf		sigma	lin
k8		control	0.026404321452997	inf		sigma	lin
k8		control	0.030826546761401	inf		sigma	lin
k8		control	0.024519986119643	inf		sigma	lin
k8		control	0.030624117178394	inf		sigma	lin
k12		control	0.069891117710415	inf		sigma	lin
k12		control	0.06573160774097	inf		sigma	lin
k12		control	0.070633049287669	inf		sigma	lin
k12		control	0.072626982750515	inf		sigma	lin
k12		control	0.071974603188469	inf		sigma	lin
k12		control	0.06587537684211	inf		sigma	lin
k12		control	0.082144864609348	inf		sigma	lin
k12		control	0.080084407790282	inf		sigma	lin
k12		control	0.07602955580583	inf		sigma	lin
k12		control	0.082540866239255	inf		sigma	lin
k12		control	0.089341341876806	inf		sigma	lin
k12		control	0.077904473569742	inf		sigma	lin
k12		control	0.075034055519813	inf		sigma	lin
k12		control	0.084738013563514	inf		sigma	lin
k12		control	0.071232052112447	inf		sigma	lin
k12		control	0.074118083991026	inf		sigma	lin
k12		control	0.05726509305787	inf		sigma	lin
k12		control	0.062380167607742	inf		sigma	lin
k16		control	0.034000374645346	inf		sigma	lin
k16		control	0.036987627847803	inf		sigma	lin
k16		control	0.033021657026415	inf		sigma	lin
k16		control	0.031693856053326	inf		sigma	lin
k16		control	0.033310341886703	inf		sigma	lin
k16		control	0.035130322186857	inf		sigma	lin
k16		control	0.03525885697199	inf		sigma	lin
k16		control	0.03741923149711	inf		sigma	lin
k16		control	0.035252055916478	inf		sigma	lin
k16		control	0.036837092584551	inf		sigma	lin
k16		control	0.040376970520794	inf		sigma	lin
k16		control	0.030859454412051	inf		sigma	lin
k16		control	0.028064657902294	inf		sigma	lin
k16		control	0.030180110717814	inf		sigma	lin
k16		control	0.031739159446517	inf		sigma	lin
k16		control	0.030636409803387	inf		sigma	lin
k16		control	0.033114809318643	inf		sigma	lin
k16		control	0.034171747161972	inf		sigma	lin
k5k8		control	0.005680657638675	inf		sigma	lin
k5k8		control	0.00511904817291	inf		sigma	lin
k5k8		control	0.006422237344655	inf		sigma	lin
k5k8		control	0.006415159032513	inf		sigma	lin
k5k8		control	0.007172303920263	inf		sigma	lin
k5k8		control	0.005390920488874	inf		sigma	lin
k5k8		control	0.007062501725026	inf		sigma	lin
k5k8		control	0.005594414552325	inf		sigma	lin
k5k8		control	0.006253343882112	inf		sigma	lin
k5k8		control	0.006013576797275	inf		sigma	lin
k5k8		control	0.007329119145288	inf		sigma	lin
k5k8		control	0.006389714927094	inf		sigma	lin
k5k8		control	0.00659859390689	inf		sigma	lin
k5k8		control	0.006617245092087	inf		sigma	lin
k5k8		control	0.006332437224438	inf		sigma	lin
k5k8		control	0.006899492981748	inf		sigma	lin
k5k8		control	0.003874838873862	inf		sigma	lin
k5k8		control	0.003744818213739	inf		sigma	lin
k5k12		control	0.043415886542147	inf		sigma	lin
k5k12		control	NaN	inf		sigma	lin
k5k12		control	0.044378905233525	inf		sigma	lin
k5k12		control	NaN	inf		sigma	lin
k5k12		control	0.047088120564291	inf		sigma	lin
k5k12		control	NaN	inf		sigma	lin
k5k12		control	NaN	inf		sigma	lin
k5k12		control	0.047770065809921	inf		sigma	lin
k5k12		control	0.060058622381431	inf		sigma	lin
k5k12		control	NaN	inf		sigma	lin
k5k12		control	0.057834188310726	inf		sigma	lin
k5k12		control	0.05714665125391	inf		sigma	lin
k5k12		control	0.054011716245833	inf		sigma	lin
k5k12		control	NaN	inf		sigma	lin
k5k12		control	0.051167527515215	inf		sigma	lin
k5k12		control	0.04400536774627	inf		sigma	lin
k5k12		control	0.030794513357516	inf		sigma	lin
k5k12		control	0.038801307492931	inf		sigma	lin
k5k16		control	NaN	inf		sigma	lin
k5k16		control	NaN	inf		sigma	lin
k5k16		control	NaN	inf		sigma	lin
k5k16		control	NaN	inf		sigma	lin
k5k16		control	NaN	inf		sigma	lin
k5k16		control	NaN	inf		sigma	lin
k5k16		control	NaN	inf		sigma	lin
k5k16		control	NaN	inf		sigma	lin
k5k16		control	NaN	inf		sigma	lin
k5k16		control	NaN	inf		sigma	lin
k5k16		control	NaN	inf		sigma	lin
k5k16		control	NaN	inf		sigma	lin
k5k16		control	NaN	inf		sigma	lin
k5k16		control	NaN	inf		sigma	lin
k5k16		control	NaN	inf		sigma	lin
k5k16		control	NaN	inf		sigma	lin
k5k16		control	NaN	inf		sigma	lin
k5k16		control	NaN	inf		sigma	lin
k8k12		control	0.008096719333338	inf		sigma	lin
k8k12		control	NaN	inf		sigma	lin
k8k12		control	0.006536375881946	inf		sigma	lin
k8k12		control	NaN	inf		sigma	lin
k8k12		control	0.006542651304861	inf		sigma	lin
k8k12		control	NaN	inf		sigma	lin
k8k12		control	NaN	inf		sigma	lin
k8k12		control	0.013378674933467	inf		sigma	lin
k8k12		control	0.012165886815471	inf		sigma	lin
k8k12		control	NaN	inf		sigma	lin
k8k12		control	0.007924533259232	inf		sigma	lin
k8k12		control	0.00542779987272	inf		sigma	lin
k8k12		control	0.005322089639885	inf		sigma	lin
k8k12		control	NaN	inf		sigma	lin
k8k12		control	0.005469613259815	inf		sigma	lin
k8k12		control	0.010109045470652	inf		sigma	lin
k8k12		control	0.009418396164758	inf		sigma	lin
k8k12		control	0.006041985061978	inf		sigma	lin
k8k16		control	0.003826207495008	inf		sigma	lin
k8k16		control	NaN	inf		sigma	lin
k8k16		control	0.006711628078371	inf		sigma	lin
k8k16		control	NaN	inf		sigma	lin
k8k16		control	0.005527851529513	inf		sigma	lin
k8k16		control	NaN	inf		sigma	lin
k8k16		control	NaN	inf		sigma	lin
k8k16		control	0.003960006837088	inf		sigma	lin
k8k16		control	0.001384801866795	inf		sigma	lin
k8k16		control	NaN	inf		sigma	lin
k8k16		control	0.005222918460986	inf		sigma	lin
k8k16		control	0.006644194216013	inf		sigma	lin
k8k16		control	0.006700998565137	inf		sigma	lin
k8k16		control	NaN	inf		sigma	lin
k8k16		control	0.007618162916046	inf		sigma	lin
k8k16		control	0.004037528765358	inf		sigma	lin
k8k16		control	0.001279664368856	inf		sigma	lin
k8k16		control	0.003580801348557	inf		sigma	lin
k12k16		control	0.007148067886723	inf		sigma	lin
k12k16		control	0.006738431300959	inf		sigma	lin
