observableId	observableName	observableFormula	noiseFormula	observableTransformation	noiseDistribution
0ac		x_0ac	noiseParameter1_0ac	log	normal
4ac		x_4ac	noiseParameter1_4ac	log	normal
k12		x_k12	noiseParameter1_k12	log	normal
k12k16		x_k12k16	noiseParameter1_k12k16	log	normal
k16		x_k16	noiseParameter1_k16	log	normal
k5		x_k5	noiseParameter1_k5	log	normal
k5k12		x_k5k12	noiseParameter1_k5k12	log	normal
k5k12k16		x_k5k12k16	noiseParameter1_k5k12k16	log	normal
k5k16		x_k5k16	noiseParameter1_k5k16	log	normal
k5k8		x_k5k8	noiseParameter1_k5k8	log	normal
k5k8k12		x_k5k8k12	noiseParameter1_k5k8k12	log	normal
k5k8k16		x_k5k8k16	noiseParameter1_k5k8k16	log	normal
k8		x_k8	noiseParameter1_k8	log	normal
k8k12		x_k8k12	noiseParameter1_k8k12	log	normal
k8k12k16		x_k8k12k16	noiseParameter1_k8k12k16	log	normal
k8k16		x_k8k16	noiseParameter1_k8k16	log	normal
