parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	priorType	priorParameters	hierarchicalOptimization (optional)
Epo_degradation_BaF3	EPO_{degradation,BaF3}	log10	1e-05	100000.0	0.026982514033028926	1			
k_exp_hetero	k_{exp,hetero}	log10	1e-05	100000.0	1.0006797385150757e-05	1			
k_exp_homo	k_{exp,homo}	log10	1e-05	100000.0	0.006170228086381237	1			
k_imp_hetero	k_{imp,hetero}	log10	1e-05	100000.0	0.016367918446800373	1			
k_imp_homo	k_{imp,homo}	log10	1e-05	100000.0	97749.37940247158	1			
k_phos	k_{phos}	log10	1e-05	100000.0	15766.507019573099	1			
ratio	ratio	lin	-5.0	5.0	0.693	0			
sd_pSTAT5A_rel	\sigma_{pSTAT5A,rel}	log10	1e-05	100000.0	3.8526119784467716	1			
sd_pSTAT5B_rel	\sigma_{pSTAT5B,rel}	log10	1e-05	100000.0	6.591478186734193	1			
sd_rSTAT5A_rel	\sigma_{rSTAT5A,rel}	log10	1e-05	100000.0	3.152712756485266	1			
specC17	specC17	lin	-5.0	5.0	0.107	0			
