parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	priorType	priorParameters	hierarchicalOptimization (optional
K2	K2	log10	0.001	100000.0	0.09994855801564988	1			
K_par	K_{par}	log10	0.001	100000.0	11.41208045942652	1			
Ka	Ka	log10	0.001	100000.0	0.19759394031018723	1			
Kd	Kd	log10	0.001	100000.0	0.3924975121074741	1			
Kf	Kf	log10	0.001	100000.0	1.1379496836123608	1			
Kp	Kp	log10	0.001	100000.0	0.9965674641964724	1			
Ky	Ky	log10	0.001	100000.0	0.20036413302827172	1			
Kz	Kz	log10	0.001	100000.0	0.3033535470574722	1			
Vd	Vd	log10	0.001	100000.0	92.87393005779758	1			
Vm2	Vm2	log10	0.001	100000.0	7.457124454922253	1			
Vm3	Vm3	log10	0.001	100000.0	22.702524882535165	1			
Vp	Vp	log10	0.001	100000.0	2.7568578434575928	1			
beta_par	beta_{par}	log10	0.001	100000.0	1.123952302567866	1			
epsilon_par	epsilon_{par}	log10	0.001	100000.0	0.16323219530618835	1			
init_A_state	init_{A,state}	lin	0.0	1.0	0.9999999999999599	1			
init_Y_state	init_{Y,state}	lin	0.0	1.0	0.999348084438687	1			
init_Z_state	init_{Z,state}	lin	0.0	1.0	0.087920524425504	1			
n_par	n_{par}	log10	0.001	100000.0	4.1025144127497	1			
offset	offset	log10	0.001	100000.0	0.3007636620733585	1			
scale	scale	log10	0.001	100000.0	0.6580731429797207	1			
sigma	sigma	log10	0.001	100000.0	0.1049229189350309	1			
v0	v0	log10	0.001	100000.0	2.317787157791868	1			
v1	v1	log10	0.001	100000.0	1.0048875569667697	1			
