observableId	preequilibrationConditionId	simulationConditionId	simulatedData	time	observableParameters	noiseParameters	observableTransformation
Ca		model1_data1	-0.438544035083477	0.0294848666192	offset;scale	sigma	log10
Ca		model1_data1	-0.430188594730359	0.14762089887346	offset;scale	sigma	log10
Ca		model1_data1	-0.420180204886103	0.312814778251963	offset;scale	sigma	log10
Ca		model1_data1	-0.4099454973253	0.445614617504838	offset;scale	sigma	log10
Ca		model1_data1	-0.395260675676542	0.566227378555111	offset;scale	sigma	log10
Ca		model1_data1	-0.234111617367802	0.699263096740939	offset;scale	sigma	log10
Ca		model1_data1	-0.104756641913939	0.724620082033451	offset;scale	sigma	log10
Ca		model1_data1	-0.008348934614515	0.790626870104966	offset;scale	sigma	log10
Ca		model1_data1	-0.057755863361033	0.840515264424652	offset;scale	sigma	log10
Ca		model1_data1	-0.144819189616679	0.922325941004058	offset;scale	sigma	log10
Ca		model1_data1	-0.2101073121675	1.01797484831674	offset;scale	sigma	log10
Ca		model1_data1	-0.244202458938075	1.09094006491039	offset;scale	sigma	log10
Ca		model1_data1	-0.271298461428266	1.16767934443129	offset;scale	sigma	log10
Ca		model1_data1	-0.286099934621633	1.22385784362974	offset;scale	sigma	log10
Ca		model1_data1	-0.300321649493891	1.30260209408075	offset;scale	sigma	log10
Ca		model1_data1	-0.306386456929109	1.38740057047757	offset;scale	sigma	log10
Ca		model1_data1	-0.305100627637147	1.42502326028367	offset;scale	sigma	log10
Ca		model1_data1	-0.295655119338651	1.50801333152784	offset;scale	sigma	log10
Ca		model1_data1	-0.301352964757187	1.63487688430138	offset;scale	sigma	log10
Ca		model1_data1	-0.310897106090849	1.74353844608201	offset;scale	sigma	log10
Ca		model1_data1	-0.297006694520015	1.84535951880698	offset;scale	sigma	log10
Ca		model1_data1	-0.296377169127912	1.96896007967466	offset;scale	sigma	log10
Ca		model1_data1	-0.310991596900316	2.04676081439386	offset;scale	sigma	log10
Ca		model1_data1	-0.318412873871476	2.13851771931281	offset;scale	sigma	log10
Ca		model1_data1	-0.277350234127929	2.26373011955567	offset;scale	sigma	log10
Ca		model1_data1	-0.28822369509202	2.33386478895388	offset;scale	sigma	log10
Ca		model1_data1	-0.309219685431771	2.40171929533353	offset;scale	sigma	log10
Ca		model1_data1	-0.361775935409852	2.54812148638673	offset;scale	sigma	log10
Ca		model1_data1	-0.42691207526362	2.60830992744539	offset;scale	sigma	log10
Ca		model1_data1	-0.441290526221878	2.68151102297199	offset;scale	sigma	log10
Ca		model1_data1	-0.43292844922114	2.86172252774854	offset;scale	sigma	log10
Ca		model1_data1	-0.428076021543684	2.9498233092067	offset;scale	sigma	log10
Ca		model1_data1	-0.413009000249576	3.17520562964387	offset;scale	sigma	log10
Ca		model1_data1	-0.387480490222959	3.36748627315654	offset;scale	sigma	log10
Ca		model1_data1	-0.036578605508616	3.58874071226701	offset;scale	sigma	log10
Ca		model1_data1	-0.09916350996916	3.64189209849256	offset;scale	sigma	log10
Ca		model1_data1	-0.210933258909245	3.78259388199938	offset;scale	sigma	log10
Ca		model1_data1	-0.234652539028065	3.83142082112077	offset;scale	sigma	log10
Ca		model1_data1	-0.252187022811773	3.87423284745185	offset;scale	sigma	log10
Ca		model1_data1	-0.277763109386553	3.95344885576877	offset;scale	sigma	log10
Ca		model1_data1	-0.301143291554288	4.07205664588894	offset;scale	sigma	log10
Ca		model1_data1	-0.306391769263218	4.15068295687347	offset;scale	sigma	log10
Ca		model1_data1	-0.301863094108246	4.22093556573815	offset;scale	sigma	log10
Ca		model1_data1	-0.293710696616647	4.30121302925336	offset;scale	sigma	log10
Ca		model1_data1	-0.297826023325778	4.37016830398679	offset;scale	sigma	log10
Ca		model1_data1	-0.30433232560651	4.42111815350477	offset;scale	sigma	log10
Ca		model1_data1	-0.310701759478385	4.52175983156497	offset;scale	sigma	log10
Ca		model1_data1	-0.301874984137233	4.58796318541395	offset;scale	sigma	log10
Ca		model1_data1	-0.288512312696073	4.66945935674941	offset;scale	sigma	log10
Ca		model1_data1	-0.295440316662488	4.72717106901206	offset;scale	sigma	log10
Ca		model1_data1	-0.306389616001623	4.78311368927756	offset;scale	sigma	log10
Ca		model1_data1	-0.315962054601716	4.846958253797	offset;scale	sigma	log10
Ca		model1_data1	-0.314586250975908	4.93470521685573	offset;scale	sigma	log10
Ca		model1_data1	-0.30919813262893	4.95373278411399	offset;scale	sigma	log10
Ca		model1_data1	-0.277780889282603	5.02457509031105	offset;scale	sigma	log10
Ca		model1_data1	-0.276834056033904	5.02976442683603	offset;scale	sigma	log10
Ca		model1_data1	-0.294744610612859	5.11692169256239	offset;scale	sigma	log10
Ca		model1_data1	-0.313653487934748	5.18159183334716	offset;scale	sigma	log10
Ca		model1_data1	-0.348582129278622	5.29343776072266	offset;scale	sigma	log10
Ca		model1_data1	-0.406484767207242	5.34973419938759	offset;scale	sigma	log10
Ca		model1_data1	-0.44118254457645	5.42482232637782	offset;scale	sigma	log10
Ca		model1_data1	-0.438650914768639	5.51268722890303	offset;scale	sigma	log10
Ca		model1_data1	-0.434038757557597	5.60373649702312	offset;scale	sigma	log10
Ca		model1_data1	-0.429294268413981	5.69136552061538	offset;scale	sigma	log10
Ca		model1_data1	-0.42573395344251	5.75296923527176	offset;scale	sigma	log10
Ca		model1_data1	-0.422129622827263	5.81127064486679	offset;scale	sigma	log10
Ca		model1_data1	-0.416880989313605	5.88812786385417	offset;scale	sigma	log10
Ca		model1_data1	-0.412557750981167	5.94371666572024	offset;scale	sigma	log10
Ca		model1_data1	-0.399763113456643	6.06562676090176	offset;scale	sigma	log10
Ca		model1_data1	-0.395750002342487	6.09157344352665	offset;scale	sigma	log10
Ca		model1_data1	-0.35677034674558	6.18867693759255	offset;scale	sigma	log10
Ca		model1_data1	-0.185415434049147	6.23597066364975	offset;scale	sigma	log10
Ca		model1_data1	-0.031601271767522	6.34734483315934	offset;scale	sigma	log10
Ca		model1_data1	-0.148593683931791	6.45435524240928	offset;scale	sigma	log10
Ca		model1_data1	-0.17584977541411	6.48875425346502	offset;scale	sigma	log10
Ca		model1_data1	-0.218242777752993	6.55971449912856	offset;scale	sigma	log10
Ca		model1_data1	-0.248032379049092	6.62650755030992	offset;scale	sigma	log10
Ca		model1_data1	-0.26721900806666	6.68056313911178	offset;scale	sigma	log10
Ca		model1_data1	-0.284558963976291	6.74334624843293	offset;scale	sigma	log10
Ca		model1_data1	-0.293238686543294	6.78438918276686	offset;scale	sigma	log10
Ca		model1_data1	-0.303371263976072	6.85523148896392	offset;scale	sigma	log10
Ca		model1_data1	-0.306335213005744	6.90677103581429	offset;scale	sigma	log10
Ca		model1_data1	-0.301258026370559	6.98885690448214	offset;scale	sigma	log10
Ca		model1_data1	-0.293744907192335	7.08273671979767	offset;scale	sigma	log10
Ca		model1_data1	-0.296708444194945	7.12342583573216	offset;scale	sigma	log10
Ca		model1_data1	-0.306221168267497	7.20004717578659	offset;scale	sigma	log10
Ca		model1_data1	-0.310679475067744	7.25752300911629	offset;scale	sigma	log10
Ca		model1_data1	-0.310817615093148	7.28056051823475	offset;scale	sigma	log10
Ca		model1_data1	-0.307933429385092	7.31830114750733	offset;scale	sigma	log10
Ca		model1_data1	-0.304568453001305	7.33839016996388	offset;scale	sigma	log10
Ca		model1_data1	-0.288599422993601	7.42472185942489	offset;scale	sigma	log10
Ca		model1_data1	-0.288844106566931	7.44233415308543	offset;scale	sigma	log10
Ca		model1_data1	-0.300480285419267	7.51577112754498	offset;scale	sigma	log10
Ca		model1_data1	-0.309706276485214	7.56495188506581	offset;scale	sigma	log10
Ca		model1_data1	-0.317806227126504	7.63143043100323	offset;scale	sigma	log10
Ca		model1_data1	-0.298780499751606	7.74032787171681	offset;scale	sigma	log10
Ca		model1_data1	-0.28568224071416	7.76552760438735	offset;scale	sigma	log10
Ca		model1_data1	-0.283256836180134	7.84427185483836	offset;scale	sigma	log10
Ca		model1_data1	-0.314236604582738	7.94691850382867	offset;scale	sigma	log10
Ca		model1_data1	-0.319305610963139	7.96736134468464	offset;scale	sigma	log10
Ca		model1_data1	-0.34356848716845	8.04732430295591	offset;scale	sigma	log10
Ca		model1_data1	-0.388639390910905	8.09839209194037	offset;scale	sigma	log10
Ca		model1_data1	-0.441095190852456	8.18554935766672	offset;scale	sigma	log10
Ca		model1_data1	-0.440881568260468	8.22395831058266	offset;scale	sigma	log10
Ca		model1_data1	-0.437370598220126	8.30175904530186	offset;scale	sigma	log10
Ca		model1_data1	-0.432687663038877	8.39233655555604	offset;scale	sigma	log10
Ca		model1_data1	-0.427870986404198	8.4794938212824	offset;scale	sigma	log10
Ca		model1_data1	-0.422416514552871	8.56983545260362	offset;scale	sigma	log10
Ca		model1_data1	-0.417479446879434	8.64291860866375	offset;scale	sigma	log10
Ca		model1_data1	-0.398600890229839	8.83673246524062	offset;scale	sigma	log10
Ca		model1_data1	-0.270566382523363	8.98384229309268	offset;scale	sigma	log10
