observableId	preequilibrationCondition	simulationCondition	measurement	time	observableParameters	noiseParameters	observableTransformation
IRS1_P	Dose_0	Dose_0	18.385	10.000	k_IRSiP_DosR	sigmaYDosR	lin
IRS1_P	Dose_0	Dose_001	29.115	10.000	k_IRSiP_DosR	sigmaYDosR	lin
IRS1_P	Dose_0	Dose_01	26.365	10.000	k_IRSiP_DosR	sigmaYDosR	lin
IRS1_P	Dose_0	Dose_1	28.292	10.000	k_IRSiP_DosR	sigmaYDosR	lin
IRS1_P	Dose_0	Dose_3	42.308	10.000	k_IRSiP_DosR	sigmaYDosR	lin
IRS1_P	Dose_0	Dose_10	105.029	10.000	k_IRSiP_DosR	sigmaYDosR	lin
IRS1_P	Dose_0	Dose_100	94.971	10.000	k_IRSiP_DosR	sigmaYDosR	lin
IR1_P 	Dose_0	Dose_100	0.000	0.000	k_IRP_1Step	sigmaY1TimR	lin
IR1_P 	Dose_0	Dose_100	0.900	100.000	k_IRP_1Step	sigmaY1TimR	lin
IR1_P 	Dose_0	Dose_100	1.150	82.667	k_IRP_1Step	sigmaY1TimR	lin
IR1_P 	Dose_0	Dose_100	1.300	77.333	k_IRP_1Step	sigmaY1TimR	lin
IR1_P 	Dose_0	Dose_100	2.300	60.000	k_IRP_1Step	sigmaY1TimR	lin
IR1_P 	Dose_0	Dose_100	3.300	50.667	k_IRP_1Step	sigmaY1TimR	lin
IR1_P 	Dose_0	Dose_100	5.300	56.667	k_IRP_1Step	sigmaY1TimR	lin
IR1_P 	Dose_0	Dose_100	7.000	45.667	k_IRP_1Step	sigmaY1TimR	lin
IR1_P 	Dose_0	Dose_100	10.000	52.333	k_IRP_1Step	sigmaY1TimR	lin
IR1_P 	Dose_0	Dose_100	15.000	41.333	k_IRP_1Step	sigmaY1TimR	lin
IR1_P 	Dose_0	Dose_100	20.000	42.667	k_IRP_1Step	sigmaY1TimR	lin
IR1_P 	Dose_0	Dose_100	30.000	35.333	k_IRP_1Step	sigmaY1TimR	lin
IRS1_P	Dose_0	Dose_100	0.000	0.000	k_IRSiP_1Step	sigmaY2TimR	lin
IRS1_P	Dose_0	Dose_100	0.900	227.667	k_IRSiP_1Step	sigmaY2TimR	lin
IRS1_P	Dose_0	Dose_100	1.150	205.000	k_IRSiP_1Step	sigmaY2TimR	lin
IRS1_P	Dose_0	Dose_100	1.300	169.667	k_IRSiP_1Step	sigmaY2TimR	lin
IRS1_P	Dose_0	Dose_100	2.300	145.500	k_IRSiP_1Step	sigmaY2TimR	lin
IRS1_P	Dose_0	Dose_100	3.300	121.667	k_IRSiP_1Step	sigmaY2TimR	lin
IRS1_P	Dose_0	Dose_100	5.300	110.333	k_IRSiP_1Step	sigmaY2TimR	lin
IRS1_P	Dose_0	Dose_100	7.000	95.000	k_IRSiP_1Step	sigmaY2TimR	lin
IRS1_P	Dose_0	Dose_100	10.000	110.000	k_IRSiP_1Step	sigmaY2TimR	lin
IRS1_P	Dose_0	Dose_100	15.000	86.667	k_IRSiP_1Step	sigmaY2TimR	lin
IRS1_P	Dose_0	Dose_100	20.000	73.000	k_IRSiP_1Step	sigmaY2TimR	lin
IRS1_P	Dose_0	Dose_100	30.000	100.000	k_IRSiP_1Step	sigmaY2TimR	lin
IRS1_P	Dose_0	TwoSteps	0.000	14.417	k_IRSiP_2Step	sigmaY2Step	lin
IRS1_P	Dose_0	TwoSteps	0.340	26.724	k_IRSiP_2Step	sigmaY2Step	lin
IRS1_P	Dose_0	TwoSteps	0.600	42.035	k_IRSiP_2Step	sigmaY2Step	lin
IRS1_P	Dose_0	TwoSteps	0.900	58.258	k_IRSiP_2Step	sigmaY2Step	lin
IRS1_P	Dose_0	TwoSteps	1.200	58.752	k_IRSiP_2Step	sigmaY2Step	lin
IRS1_P	Dose_0	TwoSteps	1.500	52.465	k_IRSiP_2Step	sigmaY2Step	lin
IRS1_P	Dose_0	TwoSteps	4.000	56.405	k_IRSiP_2Step	sigmaY2Step	lin
IRS1_P	Dose_0	TwoSteps	4.340	67.901	k_IRSiP_2Step	sigmaY2Step	lin
IRS1_P	Dose_0	TwoSteps	4.600	66.297	k_IRSiP_2Step	sigmaY2Step	lin
IRS1_P	Dose_0	TwoSteps	4.900	69.522	k_IRSiP_2Step	sigmaY2Step	lin
IRS1_P	Dose_0	TwoSteps	5.200	74.644	k_IRSiP_2Step	sigmaY2Step	lin
IRS1_P	Dose_0	TwoSteps	5.500	70.367	k_IRSiP_2Step	sigmaY2Step	lin
