parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	priorType	priorParameters	hierarchicalOptimization (optional
k1a	k1a	log10	1e-06	500000.00000000093	0.1772194777276687	1			
k1aBasic	k1aBasic	log10	1e-06	500000.00000000093	0.00039276790433670066	1			
k1b	k1b	log10	1e-06	500000.00000000093	0.17469597854755897	1			
k1c	k1c	log10	1e-06	500000.00000000093	0.05085747188581666	1			
k1d	k1d	log10	1e-06	500000.00000000093	499999.9999999774	1			
k1e	k1e	log10	1e-06	500000.00000000093	1.000000000000094e-06	1			
k1f	k1f	log10	1e-06	500000.00000000093	499999.9920041596	1			
k1g	k1g	log10	1e-06	500000.00000000093	1729.3765495871048	1			
k1r	k1r	log10	1e-06	500000.00000000093	0.026696391080188824	1			
k21	k21	log10	1e-06	500000.00000000093	2.1023816550441765	1			
k22	k22	log10	1e-06	500000.00000000093	666.8355739795004	1			
k3	k3	log10	1e-06	500000.00000000093	4.94410392362901e-05	1			
k_IRP_1Step	k_{IRP,1Step}	log10	10.0	199999.99999999962	199999.84017126317	1			
k_IRSiP_1Step	k_{IRSiP,1Step}	log10	10.0	199999.99999999962	45.15830980849921	1			
k_IRSiP_2Step	k_{IRSiP,2Step}	log10	10.0	199999.99999999962	27.014673911263497	1			
k_IRSiP_DosR	k_{IRSiP,DosR}	log10	10.0	199999.99999999962	37.94351794378501	1			
km2	km2	log10	1e-06	500000.00000000093	1.1597074169044752	1			
km3	km3	log10	1e-06	500000.00000000093	0.41638250090678525	1			
sigmaY1TimR	\sigma_{Y1TimR}	log10	1e-05	1000.0	2.9668107996057174	1			
sigmaY2Step	\sigma_{Y2Step}	log10	1e-05	1000.0	5.153641566717772	1			
sigmaY2TimR	\sigma_{Y2TimR}	log10	1e-05	1000.0	10.367589703696499	1			
sigmaYDosR	\sigma_{YDosR}	log10	1e-05	1000.0	17.578327340872296	1			
