observableId	preequilibrationCondition	simulationCondition	measurement	time	observableParameters	noiseParameters	observableTransformation
IR1_P		model1_data1	2.2276322688128936	0.0			
IR1_P		model1_data1	99.33312544491453	0.9			
IR1_P		model1_data1	83.11082376925573	1.15			
IR1_P		model1_data1	76.91370499727878	1.3			
IR1_P		model1_data1	59.65391589085468	2.3			
IR1_P		model1_data1	55.09610093956986	3.3			
IR1_P		model1_data1	52.02843747788938	5.3			
IR1_P		model1_data1	50.215026136579525	7.0			
IR1_P		model1_data1	47.27970895432425	10.0			
IR1_P		model1_data1	43.41896544464209	15.0			
IR1_P		model1_data1	40.660340965694346	20.0			
IR1_P		model1_data1	37.349008952778455	30.0			
IRS1_P		model1_data1	5.998702549445425	0.0			
IRS1_P		model1_data1	220.68908346792418	0.9			
IRS1_P		model1_data1	198.29851769326532	1.15			
IRS1_P		model1_data1	186.5557405079018	1.3			
IRS1_P		model1_data1	137.83767215642686	2.3			
IRS1_P		model1_data1	119.48269105297248	3.3			
IRS1_P		model1_data1	109.3574853876436	5.3			
IRS1_P		model1_data1	106.05808309921281	7.0			
IRS1_P		model1_data1	101.18021263336846	10.0			
IRS1_P		model1_data1	94.476981200747	15.0			
IRS1_P		model1_data1	89.5032574659874	20.0			
IRS1_P		model1_data1	83.32279833632818	30.0			
IRS1_P		model1_data2	3.588553113505414	0.0			
IRS1_P		model1_data2	23.533857113816932	0.34			
IRS1_P		model1_data2	43.65041946120965	0.6			
IRS1_P		model1_data2	55.30999637661589	0.9			
IRS1_P		model1_data2	59.4210435260655	1.2			
IRS1_P		model1_data2	60.16628248146123	1.5			
IRS1_P		model1_data2	53.99900338865928	4.0			
IRS1_P		model1_data2	58.81596089979957	4.34			
IRS1_P		model1_data2	64.91143556567937	4.6			
IRS1_P		model1_data2	70.7034173503167	4.9			
IRS1_P		model1_data2	74.22387214906597	5.2			
IRS1_P		model1_data2	75.71940787335883	5.5			
IRS1_P		model1_data3	5.040309940350961	10.0			
IRS1_P		model1_data4	11.354143723213896	10.0			
IRS1_P		model1_data5	30.756956031470132	10.0			
IRS1_P		model1_data6	48.06715663652571	10.0			
IRS1_P		model1_data7	68.80547778349283	10.0			
IRS1_P		model1_data8	83.56748134180498	10.0			
IRS1_P		model1_data9	85.01498904389055	10.0			
