observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	datasetId
ob10		model1_data1	3.973385	5		0.406451	model1_data1_ob10
ob10		model1_data1	3.976118	15		0.406728	model1_data1_ob10
ob10		model1_data1	3.1295900000000003	30		0.32074899999999995	model1_data1_ob10
ob10		model1_data1	3.131418	60		0.320935	model1_data1_ob10
ob10		model1_data1	3.105543	90		0.31831	model1_data1_ob10
ob10		model1_data1	2.279702	120		0.23468200000000006	model1_data1_ob10
ob10		model1_data1	1.321613	180		0.13855499999999998	model1_data1_ob10
obcar		model1_data2	3.83496	15		0.251006	model1_data2_obcar
obcar		model1_data2	2.68932	30		0.17966400000000002	model1_data2_obcar
obcar		model1_data2	2.12541	45		0.145321	model1_data2_obcar
obcar		model1_data2	1.55414	60		0.111703	model1_data2_obcar
obcar		model1_data2	0.90185	90		0.076761	model1_data2_obcar
obcar		model1_data2	0.6249600000000001	120		0.064455	model1_data2_obcar
obcar		model1_data2	0.30276	180		0.054089	model1_data2_obcar
ob10		model1_data2	0.8794700000000001	15		0.110017	model1_data2_ob10
ob10		model1_data2	1.61775	30		0.194075	model1_data2_ob10
ob10		model1_data2	2.0221	45		0.24097800000000005	model1_data2_ob10
ob10		model1_data2	2.51711	60		0.298703	model1_data2_ob10
ob10		model1_data2	2.24951	90		0.267467	model1_data2_ob10
ob10		model1_data2	2.46923	120		0.29311	model1_data2_ob10
ob10		model1_data2	2.09599	180		0.249578	model1_data2_ob10
obcar		model1_data3	2792	15		0.161073	model1_data3_obcar
obcar		model1_data3	2.51	30		0.146065	model1_data3_obcar
obcar		model1_data3	2101	45		0.124582	model1_data3_obcar
obcar		model1_data3	1917	60		0.115071	model1_data3_obcar
obcar		model1_data3	1598	90		0.098916	model1_data3_obcar
obcar		model1_data3	1135	120		0.07670199999999999	model1_data3_obcar
obcar		model1_data3	0.8240000000000001	180		0.06328500000000001	model1_data3_obcar
ob10		model1_data3	573	15		0.066702	model1_data3_ob10
ob10		model1_data3	0.8490000000000001	30		0.092359	model1_data3_ob10
ob10		model1_data3	968	45		0.10382	model1_data3_ob10
ob10		model1_data3	1212	60		0.127709	model1_data3_ob10
ob10		model1_data3	1411	90		0.14743599999999998	model1_data3_ob10
ob10		model1_data3	1612	120		0.167498	model1_data3_ob10
ob10		model1_data3	2168	180		0.223405	model1_data3_ob10
obcry		model1_data4	4.804181	15		0.43054	model1_data4_obcry
obcry		model1_data4	3.874252	30		0.353484	model1_data4_obcry
obcry		model1_data4	3.687507	45		0.33820100000000003	model1_data4_obcry
obcry		model1_data4	2.905136	60		0.27526100000000003	model1_data4_obcry
obcry		model1_data4	2.471236	90		0.241465	model1_data4_obcry
obcry		model1_data4	2.243992	120		0.224241	model1_data4_obcry
obcry		model1_data4	0.922679	180		0.137702	model1_data4_obcry
ob10		model1_data4	0.186897	15		0.043179	model1_data4_ob10
ob10		model1_data4	0.238582	30		0.046576	model1_data4_ob10
ob10		model1_data4	0.268357	45		0.048771	model1_data4_ob10
ob10		model1_data4	0.377915	60		0.057967999999999985	model1_data4_ob10
ob10		model1_data4	0.332696	90		0.053988	model1_data4_ob10
ob10		model1_data4	0.410503	120		0.060963	model1_data4_ob10
ob10		model1_data4	0.487949	180		0.06841900000000001	model1_data4_ob10
oohb10		model1_data4	0.750567	15		0.146042	model1_data4_oohb10
oohb10		model1_data4	0.957066	30		0.185626	model1_data4_oohb10
oohb10		model1_data4	1.058638	45		0.205133	model1_data4_oohb10
oohb10		model1_data4	1.40061	60		0.270906	model1_data4_oohb10
oohb10		model1_data4	1.3426360000000002	90		0.259748	model1_data4_oohb10
oohb10		model1_data4	1.652208	120		0.319353	model1_data4_oohb10
oohb10		model1_data4	2.005941	180		0.387509	model1_data4_oohb10
oohb10		model1_data5	2.187219	5		0.365852	model1_data5_oohb10
oohb10		model1_data5	1.490176	15		0.249545	model1_data5_oohb10
oohb10		model1_data5	1.243819	30		0.208483	model1_data5_oohb10
oohb10		model1_data5	1.1006790000000002	60		0.184647	model1_data5_oohb10
oohb10		model1_data5	1.142316	90		0.191578	model1_data5_oohb10
oohb10		model1_data5	0.794621	120		0.13377999999999998	model1_data5_oohb10
oohb10		model1_data5	0.696621	180		0.117543	model1_data5_oohb10
oohb10		model1_data6	98	15		0.023108	model1_data6_oohb10
oohb10		model1_data6	0.1573	30		0.030931	model1_data6_oohb10
oohb10		model1_data6	165	45		0.032031	model1_data6_oohb10
oohb10		model1_data6	0.23	60		0.041749	model1_data6_oohb10
oohb10		model1_data6	374	90		0.06458799999999999	model1_data6_oohb10
oohb10		model1_data6	445	120		0.076127	model1_data6_oohb10
oohb10		model1_data6	0.46	180		0.090733	model1_data6_oohb10
ozea		model1_data6	2761	15		0.172674	model1_data6_ozea
ozea		model1_data6	2.93	30		0.183243	model1_data6_ozea
ozea		model1_data6	2842	45		0.17774	model1_data6_ozea
ozea		model1_data6	2763	60		0.172799	model1_data6_ozea
ozea		model1_data6	2.5810000000000004	90		0.161417	model1_data6_ozea
ozea		model1_data6	2449	120		0.153161	model1_data6_ozea
ozea		model1_data6	2128	180		0.13308599999999998	model1_data6_ozea
