observableId	preequilibrationConditionId	simulationConditionId	simulatedData	time	observableParameters	noiseParameters	observableTransformation	datasetId
ob10		model1_data1	4.1007031178	5		0.406451	lin	model1_data1_ob10
ob10		model1_data1	3.8679329271	15		0.406728	lin	model1_data1_ob10
ob10		model1_data1	3.5433149898	30		0.320749	lin	model1_data1_ob10
ob10		model1_data1	2.9735232618	60		0.320935	lin	model1_data1_ob10
ob10		model1_data1	2.4953573709	90		0.31831	lin	model1_data1_ob10
ob10		model1_data1	2.0940845066	120		0.234682	lin	model1_data1_ob10
ob10		model1_data1	1.4747455535	180		0.138555	lin	model1_data1_ob10
obcar		model1_data2	3.4600905706	15		0.251006	lin	model1_data2_obcar
obcar		model1_data2	2.6962673892	30		0.179664	lin	model1_data2_obcar
obcar		model1_data2	2.101058656	45		0.145321	lin	model1_data2_obcar
obcar		model1_data2	1.6372455102	60		0.111703	lin	model1_data2_obcar
obcar		model1_data2	0.9941803929	90		0.076761	lin	model1_data2_obcar
obcar		model1_data2	0.6036938738	120		0.064455	lin	model1_data2_obcar
obcar		model1_data2	0.2225972322	180		0.054089	lin	model1_data2_obcar
ob10		model1_data2	0.9367650884	15		0.110017	lin	model1_data2_ob10
ob10		model1_data2	1.5881195746	30		0.194075	lin	model1_data2_ob10
ob10		model1_data2	2.0236676635	45		0.240978	lin	model1_data2_ob10
ob10		model1_data2	2.2970886058	60		0.298703	lin	model1_data2_ob10
ob10		model1_data2	2.513277279	90		0.267467	lin	model1_data2_ob10
ob10		model1_data2	2.4647021073	120		0.29311	lin	model1_data2_ob10
ob10		model1_data2	2.048059315	180		0.249578	lin	model1_data2_ob10
obcar		model1_data3	2.902383118	15		0.161073	lin	
obcar		model1_data3	2.5513452752	30		0.146065	lin	
obcar		model1_data3	2.2427647857	45		0.124582	lin	
obcar		model1_data3	1.9715063376	60		0.115071	lin	
obcar		model1_data3	1.5234468824	90		0.098916	lin	
obcar		model1_data3	1.1772168464	120		0.076702	lin	
obcar		model1_data3	0.702934202	180		0.063285	lin	
ob10		model1_data3	0.3902359533	15		0.066702	lin	
ob10		model1_data3	0.7159890441	30		0.092359	lin	
ob10		model1_data3	0.9858237042	45		0.10382	lin	
ob10		model1_data3	1.20723512	60		0.127709	lin	
ob10		model1_data3	1.5301859784	90		0.147436	lin	
ob10		model1_data3	1.7279982289	120		0.167498	lin	
ob10		model1_data3	1.8720253587	180		0.223405	lin	
obcry		model1_data4	4.5817845289	15		0.43054	lin	model1_data4_obcry
obcry		model1_data4	4.0239593714	30		0.353484	lin	model1_data4_obcry
obcry		model1_data4	3.5340485114	45		0.338201	lin	model1_data4_obcry
obcry		model1_data4	3.1037836189	60		0.275261	lin	model1_data4_obcry
obcry		model1_data4	2.3940285173	90		0.241465	lin	model1_data4_obcry
obcry		model1_data4	1.8465760752	120		0.224241	lin	model1_data4_obcry
obcry		model1_data4	1.0986085538	180		0.137702	lin	model1_data4_obcry
ob10		model1_data4	0.1178472599	15		0.043179	lin	model1_data4_ob10
ob10		model1_data4	0.2114564431	30		0.046576	lin	model1_data4_ob10
ob10		model1_data4	0.2846085455	45		0.048771	lin	model1_data4_ob10
ob10		model1_data4	0.340554526	60		0.057968	lin	model1_data4_ob10
ob10		model1_data4	0.4115954133	90		0.053988	lin	model1_data4_ob10
ob10		model1_data4	0.4424441561	120		0.060963	lin	model1_data4_ob10
ob10		model1_data4	0.4321306396	180		0.068419	lin	model1_data4_ob10
oohb10		model1_data4	0.4888059758	15		0.146042	lin	model1_data4_oohb10
oohb10		model1_data4	0.875475892	30		0.185626	lin	model1_data4_oohb10
oohb10		model1_data4	1.1761615875	45		0.205133	lin	model1_data4_oohb10
oohb10		model1_data4	1.4047241297	60		0.270906	lin	model1_data4_oohb10
oohb10		model1_data4	1.6912750943	90		0.259748	lin	model1_data4_oohb10
oohb10		model1_data4	1.8109226563	120		0.319353	lin	model1_data4_oohb10
oohb10		model1_data4	1.754396846	180		0.387509	lin	model1_data4_oohb10
oohb10		model1_data5	1.6852063215	5		0.365852	lin	model1_data5_oohb10
oohb10		model1_data5	1.585755596	15		0.249545	lin	model1_data5_oohb10
oohb10		model1_data5	1.4474746941	30		0.208483	lin	model1_data5_oohb10
oohb10		model1_data5	1.2060364715	60		0.184647	lin	model1_data5_oohb10
oohb10		model1_data5	1.0048699385	90		0.191578	lin	model1_data5_oohb10
oohb10		model1_data5	0.8372581166	120		0.13378	lin	model1_data5_oohb10
oohb10		model1_data5	0.5812447356	180		0.117543	lin	model1_data5_oohb10
oohb10		model1_data6	0.0683157977	15		0.023108	lin	model1_data6_oohb10
oohb10		model1_data6	0.1318695126	30		0.030931	lin	model1_data6_oohb10
oohb10		model1_data6	0.1909186993	45		0.032031	lin	model1_data6_oohb10
oohb10		model1_data6	0.2457081252	60		0.041749	lin	model1_data6_oohb10
oohb10		model1_data6	0.3434266675	90		0.064588	lin	model1_data6_oohb10
oohb10		model1_data6	0.4267504807	120		0.076127	lin	model1_data6_oohb10
oohb10		model1_data6	0.556290391	180		0.090733	lin	model1_data6_oohb10
ozea		model1_data6	2.8881772361	15		0.172674	lin	model1_data6_ozea
ozea		model1_data6	2.8198853489	30		0.183243	lin	model1_data6_ozea
ozea		model1_data6	2.7532082457	45		0.17774	lin	model1_data6_ozea
ozea		model1_data6	2.6881077461	60		0.172799	lin	model1_data6_ozea
ozea		model1_data6	2.5624883101	90		0.161417	lin	model1_data6_ozea
ozea		model1_data6	2.4427392609	120		0.153161	lin	model1_data6_ozea
ozea		model1_data6	2.2197678138	180		0.133086	lin	model1_data6_ozea
