observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	observableTransformation	noiseDistribution
ERB_B1_P_tot		model1_data1	0	1800	EGFR_t	0.1	lin	normal
ERB_B1_P_tot		model1_data1	65	1950	EGFR_t	7.4	lin	normal
ERB_B1_P_tot		model1_data1	72	2100	EGFR_t	6.8	lin	normal
ERB_B1_P_tot		model1_data1	75	2250	EGFR_t	8.9	lin	normal
ERB_B1_P_tot		model1_data1	77	2400	EGFR_t	4.7	lin	normal
ERB_B1_P_tot		model1_data1	83	2700	EGFR_t	4.7	lin	normal
ERB_B1_P_tot		model1_data1	87	3600	EGFR_t	2.5	lin	normal
ERB_B1_P_tot		model1_data1	98	4500	EGFR_t	2.4	lin	normal
ERB_B1_P_tot		model1_data1	87	5400	EGFR_t	13.1	lin	normal
ERB_B1_P_tot		model1_data1	86	9000	EGFR_t	13.1	lin	normal
ERK_PP		model1_data1	0	1800	ERK_t	0.1	lin	normal
ERK_PP		model1_data1	60	1950	ERK_t	0.46	lin	normal
ERK_PP		model1_data1	88	2100	ERK_t	1.9	lin	normal
ERK_PP		model1_data1	97	2250	ERK_t	1.5	lin	normal
ERK_PP		model1_data1	98	2400	ERK_t	1.2	lin	normal
ERK_PP		model1_data1	86	2700	ERK_t	3.1	lin	normal
ERK_PP		model1_data1	65	3600	ERK_t	2.8	lin	normal
ERK_PP		model1_data1	56	4500	ERK_t	2.9	lin	normal
ERK_PP		model1_data1	50	5400	ERK_t	3.7	lin	normal
ERK_PP		model1_data1	46	9000	ERK_t	1.5	lin	normal
AKT_PP		model1_data1	0	1800	AKT_t	0.1	lin	normal
AKT_PP		model1_data1	0	1950	AKT_t	0.1	lin	normal
AKT_PP		model1_data1	24	2100	AKT_t	0.36	lin	normal
AKT_PP		model1_data1	34	2250	AKT_t	0.69	lin	normal
AKT_PP		model1_data1	40	2400	AKT_t	2.3	lin	normal
AKT_PP		model1_data1	50	2700	AKT_t	2.1	lin	normal
AKT_PP		model1_data1	64	3600	AKT_t	1.5	lin	normal
AKT_PP		model1_data1	52	4500	AKT_t	3.5	lin	normal
AKT_PP		model1_data1	49	5400	AKT_t	2.3	lin	normal
AKT_PP		model1_data1	57	9000	AKT_t	7.4	lin	normal
ERB_B1_P_tot		model1_data2	0	1800	EGFR_t	0.1	lin	normal
ERB_B1_P_tot		model1_data2	0	1950	EGFR_t	0.1	lin	normal
ERB_B1_P_tot		model1_data2	0	2100	EGFR_t	0.1	lin	normal
ERB_B1_P_tot		model1_data2	0	2250	EGFR_t	0.1	lin	normal
ERB_B1_P_tot		model1_data2	0	2400	EGFR_t	0.1	lin	normal
ERB_B1_P_tot		model1_data2	0	2700	EGFR_t	0.1	lin	normal
ERB_B1_P_tot		model1_data2	0	3600	EGFR_t	0.1	lin	normal
ERB_B1_P_tot		model1_data2	0	4500	EGFR_t	0.1	lin	normal
ERB_B1_P_tot		model1_data2	0	5400	EGFR_t	0.1	lin	normal
ERB_B1_P_tot		model1_data2	0	9000	EGFR_t	0.1	lin	normal
