parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	priorType	priorParameters	hierarchicalOptimization (optional
AKT_t	AKT_{t}	log10	-5.000000000000000	6.956648579205200	4.000000000000000	1			
EGFR_t	EGFR_{t}	log10	-5.000000000000000	7.033423755486950	4.000000000000000	1			
ERK_t	ERK_{t}	log10	-5.000000000000000	6.841984804590110	4.000000000000000	1			
k101	k101	log10	-7.079354998593210	3.000000000000000	-6.079354998593210	1			
k102	k102	log10	-7.301029995663980	3.000000000000000	-6.301029995663980	1			
k103	k103	log10	-9.077283362892250	3.000000000000000	-8.077283362892250	1			
k104	k104	lin	-5.000000000000000	3.000000000000000	0.000000000000000	1			
k105	k105	log10	-5.000000000000000	3.000000000000000	-4.175874166083450	1			
k106	k106	log10	-5.000000000000000	3.000000000000000	-4.876148359032910	1			
k106b	k106b	log10	-8.579354551949860	3.000000000000000	-7.579354551949860	1			
k107	k107	log10	-5.000000000000000	3.000000000000000	-4.477555766493680	1			
k108	k108	lin	-5.000000000000000	3.000000000000000	0.000000000000000	1			
k109	k109	log10	-6.301029995663980	3.000000000000000	-5.301029995663980	1			
k10b	k10b	log10	-5.000000000000000	3.000000000000000	-1.265520210574420	1			
k110	k110	log10	-5.000000000000000	3.000000000000000	-3.477555766493680	1			
k111	k111	lin	-5.000000000000000	3.000000000000000	0.000000000000000	1			
k112	k112	log10	-5.000000000000000	3.000000000000000	-2.327283482274810	1			
k113	k113	lin	-5.000000000000000	3.000000000000000	0.000000000000000	1			
k114	k114	log10	-6.302059624559440	3.000000000000000	-5.302059624559440	1			
k115	k115	lin	-5.000000000000000	3.000000000000000	0.000000000000000	1			
k117	k117	log10	-8.079354998593210	3.000000000000000	-7.079354998593210	1			
k118	k118	lin	-5.000000000000000	3.000000000000000	0.000000000000000	1			
k120	k120	log10	-8.829354045326880	3.000000000000000	-7.829354045326880	1			
k120b	k120b	log10	-11.227283792725300	3.000000000000000	-10.227283792725300	1			
k123	k123	lin	-5.000000000000000	3.000000000000000	0.000000000000000	1			
k123h	k123h	lin	-5.000000000000000	3.000000000000000	0.000000000000000	1			
k15	k15	log10	-8.778064400172000	3.000000000000000	-7.778064400172000	1			
k16	k16	log10	-5.000000000000000	3.000000000000000	-4.777283528852420	1			
k17	k17	log10	-5.000000000000000	3.000000000000000	-4.777283528852420	1			
k18	k18	log10	-5.000000000000000	3.000000000000000	-4.602059991327960	1			
k19	k19	log10	-7.778064400172000	3.000000000000000	-6.778064400172000	1			
k1d	k1d	log10	-5.000000000000000	3.000000000000000	2.714329759745230	1			
k2	k2	log10	-6.128064136614190	3.000000000000000	-5.128064136614190	1			
k20	k20	log10	-5.000000000000000	3.000000000000000	-4.955930849531090	1			
k21	k21	log10	-7.435333935747910	3.000000000000000	-6.435333935747910	1			
k22	k22	log10	-7.855930427440010	3.000000000000000	-6.855930427440010	1			
k23	k23	log10	-5.000000000000000	3.000000000000000	0.778151250383644	1			
k25	k25	log10	-5.000000000000000	3.000000000000000	-4.777283528852420	1			
k28	k28	log10	-6.301029995663980	3.000000000000000	-5.301029995663980	1			
k29	k29	log10	-6.931814138253840	3.000000000000000	-5.931814138253840	1			
k2b	k2b	log10	-8.427555935364120	3.000000000000000	-7.427555935364120	1			
k32	k32	log10	-7.397940008672040	3.000000000000000	-6.397940008672040	1			
k33	k33	log10	-5.000000000000000	3.000000000000000	-4.455931955649720	1			
k34	k34	log10	-6.124938736608300	3.000000000000000	-5.124938736608300	1			
k35	k35	log10	-6.124938736608300	3.000000000000000	-5.124938736608300	1			
k36	k36	log10	-5.000000000000000	3.000000000000000	-2.301029995663980	1			
k37	k37	log10	-6.823908740944320	3.000000000000000	-5.823908740944320	1			
k4	k4	log10	-6.171984935776020	3.000000000000000	-5.171984935776020	1			
k40	k40	log10	-5.000000000000000	3.000000000000000	-4.301029995663980	1			
k41	k41	log10	-5.000000000000000	3.000000000000000	-4.301029995663980	1			
k42	k42	log10	-5.000000000000000	3.000000000000000	-4.221848749616360	1			
k43	k43	lin	-5.000000000000000	3.000000000000000	0.000000000000000	1			
k44	k44	log10	-5.000000000000000	3.000000000000000	-4.970616222314790	1			
k45	k45	lin	-5.000000000000000	3.000000000000000	0.000000000000000	1			
k47	k47	lin	-5.000000000000000	3.000000000000000	0.000000000000000	1			
k48	k48	log10	-5.000000000000000	3.000000000000000	-4.625251653989900	1			
k49	k49	lin	-5.000000000000000	3.000000000000000	0.000000000000000	1			
k4b	k4b	lin	-5.000000000000000	3.000000000000000	0.000000000000000	1			
k5	k5	lin	-5.000000000000000	3.000000000000000	0.000000000000000	1			
k50	k50	log10	-8.323488375029100	3.000000000000000	-7.323488375029110	1			
k52	k52	log10	-6.052995392605240	3.000000000000000	-5.052995392605240	1			
k53	k53	lin	-5.000000000000000	3.000000000000000	0.000000000000000	1			
k55	k55	lin	-5.000000000000000	3.000000000000000	0.000000000000000	1			
k56	k56	log10	-5.000000000000000	3.000000000000000	-3.400780880031500	1			
k57	k57	lin	-5.000000000000000	3.000000000000000	0.000000000000000	1			
k58	k58	log10	-7.079354998593210	3.000000000000000	-6.079354998593210	1			
k5b	k5b	lin	-5.000000000000000	3.000000000000000	0.000000000000000	1			
k6	k6	log10	-5.000000000000000	3.000000000000000	-1.886056647693160	1			
k60	k60	log10	-5.000000000000000	3.000000000000000	-2.573908596863020	1			
k60b	k60b	log10	-5.000000000000000	3.000000000000000	-1.326750479949670	1			
k60c	k60c	log10	-5.000000000000000	3.000000000000000	-3.283996656365200	1			
k61	k61	log10	-5.000000000000000	3.000000000000000	-3.244125144327510	1			
k62b	k62b	log10	-5.000000000000000	3.000000000000000	-3.380906669373260	1			
k64	k64	log10	-5.000000000000000	3.000000000000000	-4.777283528852420	1			
k65	k65	lin	-5.000000000000000	3.000000000000000	0.000000000000000	1			
k66	k66	log10	-5.000000000000000	3.000000000000000	-4.823908740944320	1			
k67	k67	log10	-5.000000000000000	3.000000000000000	-4.301029995663980	1			
k68	k68	lin	-5.000000000000000	3.000000000000000	0.000000000000000	1			
k69	k69	log10	-5.000000000000000	3.000000000000000	-4.477555766493680	1			
k6b	k6b	lin	-5.000000000000000	3.000000000000000	0.000000000000000	1			
k7	k7	log10	-5.000000000000000	3.000000000000000	-4.301029995663980	1			
k70	k70	log10	-7.175874166083450	3.000000000000000	-6.175874166083450	1			
k71	k71	lin	-5.000000000000000	3.000000000000000	0.000000000000000	1			
k72	k72	lin	-5.000000000000000	3.000000000000000	0.000000000000000	1			
k73	k73	log10	-5.000000000000000	3.000000000000000	-2.426148277766760	1			
k74	k74	log10	-7.196417257578690	3.000000000000000	-6.196417257578690	1			
k75	k75	lin	-5.000000000000000	3.000000000000000	0.000000000000000	1			
k76	k76	lin	-5.000000000000000	3.000000000000000	0.000000000000000	1			
k8	k8	log10	-7.228064341322960	3.000000000000000	-6.228064341322960	1			
k8b	k8b	log10	-6.029355171649820	3.000000000000000	-5.029355171649820	1			
k94	k94	log10	-5.000000000000000	3.000000000000000	-4.301029995663980	1			
k94b	k94b	log10	-5.000000000000000	3.000000000000000	-4.301029995663980	1			
k95	k95	lin	-5.000000000000000	3.000000000000000	0.000000000000000	1			
k96	k96	log10	-6.777283528852420	3.000000000000000	-5.777283528852420	1			
kd10	kd10	log10	-5.000000000000000	3.000000000000000	-1.958607314841780	1			
kd100	kd100	log10	-5.000000000000000	3.000000000000000	-3.000000000000000	1			
kd101	kd101	log10	-5.000000000000000	3.000000000000000	-1.522878745280340	1			
kd102	kd102	log10	-5.000000000000000	3.000000000000000	0.748969828491428	1			
kd103	kd103	log10	-5.000000000000000	3.000000000000000	-1.795880017344080	1			
kd104	kd104	log10	-5.000000000000000	3.000000000000000	-0.698970004336019	1			
kd105	kd105	log10	-5.000000000000000	3.000000000000000	-1.000000000000000	1			
kd106	kd106	log10	-5.000000000000000	3.000000000000000	-1.000000000000000	1			
kd106b	kd106b	log10	-5.000000000000000	3.000000000000000	-1.000000000000000	1			
kd107	kd107	log10	-5.000000000000000	3.000000000000000	-1.000000000000000	1			
kd108	kd108	log10	-5.000000000000000	3.000000000000000	0.698970004336019	1			
kd109	kd109	log10	-5.000000000000000	3.000000000000000	-1.000000000000000	1			
kd110	kd110	log10	-5.000000000000000	3.000000000000000	-1.000000000000000	1			
