observableId	preequilibrationCondition	simulationCondition	measurement	time	observableParameters	noiseParameters	observableTransformation
ERB_B1_P_tot		model1_data1	4.025463088458686e-23	1800		0.1	
ERB_B1_P_tot		model1_data1	0.40343733683411453	1950		7.4	
ERB_B1_P_tot		model1_data1	0.4825414023943493	2100		6.8	
ERB_B1_P_tot		model1_data1	0.5161912071139949	2250		8.9	
ERB_B1_P_tot		model1_data1	0.5352707314310183	2400		4.7	
ERB_B1_P_tot		model1_data1	0.5563761491821283	2700		4.7	
ERB_B1_P_tot		model1_data1	0.5792548919274955	3600		2.5	
ERB_B1_P_tot		model1_data1	0.5864189780540299	4500		2.4	
ERB_B1_P_tot		model1_data1	0.5891890106023387	5400		13.1	
ERB_B1_P_tot		model1_data1	0.5865075101153655	9000		13.1	
ERK_PP		model1_data1	3.680580975464296e-13	1800		0.1	
ERK_PP		model1_data1	0.9983570970892814	1950		0.46	
ERK_PP		model1_data1	0.9939806948179479	2100		1.9	
ERK_PP		model1_data1	0.9692296922442912	2250		1.5	
ERK_PP		model1_data1	0.9421973248020481	2400		1.2	
ERK_PP		model1_data1	0.8881716822633755	2700		3.1	
ERK_PP		model1_data1	0.7266316706870779	3600		2.8	
ERK_PP		model1_data1	0.5662360243826016	4500		2.9	
ERK_PP		model1_data1	0.4076978749789931	5400		3.7	
ERK_PP		model1_data1	0.0003141293282127949	9000		1.5	
AKT_PP		model1_data1	2.5385344651822447e-18	1800		0.1	
AKT_PP		model1_data1	0.518370921871437	1950		0.1	
AKT_PP		model1_data1	0.5454623367181239	2100		0.36	
AKT_PP		model1_data1	0.5532682428035379	2250		0.69	
AKT_PP		model1_data1	0.5556636191446167	2400		2.3	
AKT_PP		model1_data1	0.5556276576869014	2700		2.1	
AKT_PP		model1_data1	0.5505758389947668	3600		1.5	
AKT_PP		model1_data1	0.5460313452971745	4500		3.5	
AKT_PP		model1_data1	0.5424725995447787	5400		2.3	
AKT_PP		model1_data1	0.5380378389072198	9000		7.4	
ERB_B1_P_tot		model1_data2	2.6576024368483166e-25	1800		0.1	
ERB_B1_P_tot		model1_data2	4.896978222759807e-06	1950		0.1	
ERB_B1_P_tot		model1_data2	4.6193222585567616e-06	2100		0.1	
ERB_B1_P_tot		model1_data2	4.318053197708855e-06	2250		0.1	
