parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	priorType	priorParameters	hierarchicalOptimization (optional)
delta_EL	delta_{EL}	log10	1e-05	1000.0	0.5179459374248413	1			
delta_LM	delta_{LM}	log10	1e-05	1000.0	0.022580636941607193	1			
delta_NE	delta_{NE}	log10	1e-05	1000.0	0.011930787933602293	1			
mu_EE	mu_{EE}	log10	1e-05	1000.0	3.913594659404408e-05	1			
mu_LE	mu_{LE}	log10	1e-10	1000.0	1.0000000000000696e-10	1			
mu_LL	mu_{LL}	log10	1e-10	1000.0	8.115201304992574e-06	1			
mu_N	mu_{N}	log10	1e-05	1000.0	0.7399073043991241	1			
mu_P	mu_{P}	log10	1e-05	1000.0	1.0000000352209394e-05	1			
mu_PE	mu_{PE}	log10	1e-10	1000.0	1.4124872408479404e-10	1			
mu_PL	mu_{PL}	log10	1e-05	1000.0	3.634030862417827e-05	1			
rho_E	rho_{E}	log10	1e-05	1000.0	0.5074156490040137	1			
rho_P	rho_{P}	log10	1e-05	1000.0	0.12638229262550177	1			
