observableId	preequilibrationConditionId	simulationConditionId	simulatedData	time	observableParameters	noiseParameters	observableTransformation
Naive_obs		model1_data1	392.5227992745	4		290	lin
Naive_obs		model1_data1	83.7721232473	6		64	lin
EarlyEffector_obs		model1_data1	274.4785423604	4		266	lin
EarlyEffector_obs		model1_data1	1490.9575198805	6		526	lin
EarlyEffector_obs		model1_data1	9788.8505315656	7		23855	lin
EarlyEffector_obs		model1_data1	177098.729499603	8		19722	lin
EarlyEffector_obs		model1_data1	6488.5091957407	13		3048	lin
EarlyEffector_obs		model1_data1	1753.9038593417	15		2924	lin
EarlyEffector_obs		model1_data1	41.3897042165	22		1540	lin
LateEffector_obs		model1_data1	880.4512881766	6		182	lin
LateEffector_obs		model1_data1	2899.8203241728	7		1976	lin
LateEffector_obs		model1_data1	32233.9961951573	8		4105	lin
LateEffector_obs		model1_data1	47758.996654736	13		23601	lin
LateEffector_obs		model1_data1	27940.4207271249	15		6841	lin
LateEffector_obs		model1_data1	10127.5088744956	22		7266	lin
LateEffector_obs		model1_data1	6074.645941717	28		2705	lin
Memory_obs		model1_data1	321.0462560533	8		80	lin
Memory_obs		model1_data1	14512.4829560434	13		4206	lin
Memory_obs		model1_data1	16148.9208662994	15		5745	lin
Memory_obs		model1_data1	18755.5378831584	22		15987	lin
Memory_obs		model1_data1	19813.5385185715	28		7909	lin
