observableId	simulationCondition	preequilibrationCondition	observableParameters	time	measurement	noiseParameters
pMek_20140430_gel1	model1_data1			0.0	0.116721	
pMek_20140430_gel1	model1_data1			0.25	0.232984	
pMek_20140430_gel1	model1_data1			1.0	0.305171	
pMek_20140430_gel1	model1_data1			5.5	0.125647	
pMek_20140430_gel1	model1_data1			7.0	0.073706	
pMek_20140430_gel1	model1_data1			8.5	0.058253	
pMek_20140430_gel1	model1_data1			10.0	0.066667	
pErk_20140430_gel1	model1_data1			0.0	0.037959	
pErk_20140430_gel1	model1_data1			0.25	0.042262	
pErk_20140430_gel1	model1_data1			1.0	0.162628	
pErk_20140430_gel1	model1_data1			5.5	0.052124	
pErk_20140430_gel1	model1_data1			7.0	0.023196	
pErk_20140430_gel1	model1_data1			8.5	0.037687	
pErk_20140430_gel1	model1_data1			10.0	0.028724	
pMek_20140505_gel1	model1_data1			0.0	0.22033	
pMek_20140505_gel1	model1_data1			0.25	1.683107	
pMek_20140505_gel1	model1_data1			1.0	1.441176	
pMek_20140505_gel1	model1_data1			5.5	0.225572	
pMek_20140505_gel1	model1_data1			7.0	0.278346	
pMek_20140505_gel1	model1_data1			8.5	0.137178	
pMek_20140505_gel1	model1_data1			10.0	0.196426	
pErk_20140505_gel1	model1_data1			0.0	0.297881	
pErk_20140505_gel1	model1_data1			0.25	3.043549	
pErk_20140505_gel1	model1_data1			1.0	3.098459	
pErk_20140505_gel1	model1_data1			5.5	0.224662	
pErk_20140505_gel1	model1_data1			7.0	0.38254	
pErk_20140505_gel1	model1_data1			8.5	0.123338	
pErk_20140505_gel1	model1_data1			10.0	0.229486	
pMek_20140430_gel2	model1_data2			0.0	0.121231	
pMek_20140430_gel2	model1_data2			1.0	0.086929466	
pMek_20140430_gel2	model1_data2			5.5	0.054910478	
pMek_20140430_gel2	model1_data2			7.0	0.048881617	
pMek_20140430_gel2	model1_data2			8.5	0.052341248	
pMek_20140430_gel2	model1_data2			10.0	0.052595374	
pErk_20140430_gel2	model1_data2			0.0	0.039731	
pErk_20140430_gel2	model1_data2			1.0	0.03303482	
pErk_20140430_gel2	model1_data2			5.5	0.019296634	
pErk_20140430_gel2	model1_data2			7.0	0.017683446	
pErk_20140430_gel2	model1_data2			8.5	0.020209467	
pErk_20140430_gel2	model1_data2			10.0	0.02141076	
pMek_20140505_gel2	model1_data2			0.0	0.155276	
pMek_20140505_gel2	model1_data2			1.0	0.24	
pMek_20140505_gel2	model1_data2			5.5	0.12	
pMek_20140505_gel2	model1_data2			7.0	0.12	
pMek_20140505_gel2	model1_data2			8.5	0.07	
pMek_20140505_gel2	model1_data2			10.0	0.07	
pErk_20140505_gel2	model1_data2			0.0	0.301624	
pErk_20140505_gel2	model1_data2			1.0	0.54	
pErk_20140505_gel2	model1_data2			5.5	0.27	
pErk_20140505_gel2	model1_data2			7.0	0.25	
pErk_20140505_gel2	model1_data2			8.5	0.18	
pErk_20140505_gel2	model1_data2			10.0	0.15	
pMek_20140430_gel2	model1_data3			1.0	1.724493879	
pMek_20140430_gel2	model1_data3			5.5	1.683168571	
pMek_20140430_gel2	model1_data3			7.0	1.470175735	
pMek_20140430_gel2	model1_data3			8.5	1.557371739	
pMek_20140430_gel2	model1_data3			10.0	1.559108205	
pErk_20140430_gel2	model1_data3			1.0	0.004107653	
pErk_20140430_gel2	model1_data3			5.5	0.011631788	
pErk_20140430_gel2	model1_data3			7.0	0.012694322	
pErk_20140430_gel2	model1_data3			8.5	0.003687738	
pErk_20140430_gel2	model1_data3			10.0	0.002426131	
pMek_20140505_gel2	model1_data3			1.0	5.857600733	
pMek_20140505_gel2	model1_data3			5.5	2.857976654	
pMek_20140505_gel2	model1_data3			7.0	4.607660706	
pMek_20140505_gel2	model1_data3			8.5	2.789397964	
pMek_20140505_gel2	model1_data3			10.0	1.623004546	
pErk_20140505_gel2	model1_data3			1.0	0.176167582	
pErk_20140505_gel2	model1_data3			5.5	0.069008927	
pErk_20140505_gel2	model1_data3			7.0	0.074311261	
pErk_20140505_gel2	model1_data3			8.5	0.073151837	
pErk_20140505_gel2	model1_data3			10.0	0.048102336	
