parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	priorType	priorParameters	hierarchicalOptimization (optional)
ERK_total	ERK_{total}	log10	1e-05	1000.0	1.0	0			
K_1	{K_1}	log10	1e-05	1000.0	1.0000122099652953e-05	1			
K_2	{K_2}	log10	1e-05	1000.0	1.5112199676898606	1			
K_3	{K_3}	log10	1e-05	1000.0	0.9604656567706819	1			
MEK_total	MEK_{total}	log10	1e-05	1000.0	1.0	0			
RAF_total	RAF_{total}	log10	1e-05	1000.0	1.0	0			
k10	{k10}	log10	1e-05	100000.0	0.02641368502147342	1			
k11	{k11}	log10	1e-05	100000.0	163.16236779445887	1			
k2	{k2}	log10	1e-05	100000.0	1.226224240495919	1			
k3	{k3}	log10	1e-05	100000.0	769.1595171695254	1			
k4	{k4}	log10	1e-05	100000.0	2.9069342722041216	1			
k5	{k5}	log10	1e-05	100000.0	577.5521811961909	1			
k6	{k6}	log10	1e-05	100000.0	3.607578359041946	1			
s_pErk_20140430_gel1	s_{pErk,20140430,gel1}	log10	1e-05	1000.0	0.36925680523278887	1			
s_pErk_20140430_gel2	s_{pErk,20140430,gel2}	log10	1e-05	1000.0	0.25013415637862796	1			
s_pErk_20140505_gel1	s_{pErk,20140505,gel1}	log10	1e-05	1000.0	8.926000785938472	1			
s_pErk_20140505_gel2	s_{pErk,20140505,gel2}	log10	1e-05	1000.0	2.8563703501824316	1			
s_pMek_20140430_gel1	s_{pMek,20140430,gel1}	log10	1e-05	1000.0	77.74043989206191	1			
s_pMek_20140430_gel2	s_{pMek,20140430,gel1}	log10	1e-05	1000.0	404.2171605785482	1			
s_pMek_20140505_gel1	s_{pMek,20140505,gel1}	log10	1e-05	1000.0	392.4565307537897	1			
s_pMek_20140505_gel2	s_{pMek,20140505,gel2}	log10	1e-05	1000.0	999.9928457150733	1			
pErk_sigma	\sigma_{pErk}	log10	1e-05	1000.0	0.04527013133744957	1			
pMek_sigma	\sigma_{pMek}	log10	1e-05	1000.0	0.0005804511382145267	1			
tau1	\tau_{1}	log10	1e-08	100000000.0	0.2428220107810681	1			
tau2	\tau_{2}	log10	1e-08	100000000.0	0.021140927521636172	1			
