parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	priorType	priorParameters	hierarchicalOptimization (optional)
EGFR_turnover	EGFR_{turnover}	log10	1e-08	100000000.0	0.0014796145627194752	1			
init_AKT	init_{AKT}	log10	1e-08	100000000.0	0.026930923029049314	1			
init_EGFR	init_{EGFR}	log10	1e-08	100000000.0	37536153.80591047	1			
init_S6	init_{S6}	log10	1e-08	100000000.0	188.06314867791068	1			
reaction_1_k1	reaction_{1,k1}	log10	1e-08	100000000.0	0.0036907661291114492	1			
reaction_1_k2	reaction_{1,k2}	log10	1e-08	100000000.0	0.0023011754860045746	1			
reaction_2_k1	reaction_{2,k1}	log10	1e-08	100000000.0	0.0009365008082111815	1			
reaction_2_k2	reaction_{2,k2}	log10	1e-08	100000000.0	60965.2066642586	1			
reaction_3_k1	reaction_{3,k1}	log10	1e-08	100000000.0	0.4332250516517713	1			
reaction_4_k1	reaction_{4,k1}	log10	1e-08	100000000.0	0.030155177423023666	1			
reaction_5_k1	reaction_{5,k1}	log10	1e-08	100000000.0	3.273108038018971e-06	1			
reaction_5_k2	reaction_{5,k2}	log10	1e-08	100000000.0	0.00039854629978153716	1			
reaction_6_k1	reaction_{6,k1}	log10	1e-08	100000000.0	5.463196929345455e-06	1			
reaction_7_k1	reaction_{7,k1}	log10	1e-08	100000000.0	0.0118032083117346	1			
reaction_8_k1	reaction_{8,k1}	log10	1e-08	100000000.0	0.0009447617751125884	1			
reaction_9_k1	reaction_{9,k1}	log10	1e-08	100000000.0	0.028510798479438097	1			
scaling_pAkt_tot	scaling_{pAkt}_tot	log10	1e-08	100000000.0	41.37710316038404	1			
scaling_pEGFR_tot	scaling_{pEGFR}_tot	log10	1e-08	100000000.0	5.6478546049281065e-08	1			
scaling_pS6_tot	scaling_{pS6}_tot	log10	1e-08	100000000.0	78521.95132327844	1			
