observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	observableTransformation	noiseDistribution
Dab1		model1_data1	3.4646130165821	-30	scaling_Dab1_ExpReelinStim;offset_Dab1_ExpReelinStim	0.0610048678	log10	normal
Dab1		model1_data1	3.58099170158268	0	scaling_Dab1_ExpReelinStim;offset_Dab1_ExpReelinStim	0.0437670545	log10	normal
Dab1		model1_data1	3.80049090539909	1	scaling_Dab1_ExpReelinStim;offset_Dab1_ExpReelinStim	0.048830041	log10	normal
Dab1		model1_data1	3.70741540264172	2	scaling_Dab1_ExpReelinStim;offset_Dab1_ExpReelinStim	0.0586006712	log10	normal
Dab1		model1_data1	3.99311359720355	3	scaling_Dab1_ExpReelinStim;offset_Dab1_ExpReelinStim	0.0586006711	log10	normal
Dab1		model1_data1	3.64345122847841	5	scaling_Dab1_ExpReelinStim;offset_Dab1_ExpReelinStim	0.0437670542	log10	normal
Dab1		model1_data1	3.77753077534648	10	scaling_Dab1_ExpReelinStim;offset_Dab1_ExpReelinStim	0.0488300409	log10	normal
Dab1		model1_data1	3.57258048013744	15	scaling_Dab1_ExpReelinStim;offset_Dab1_ExpReelinStim	0.0437670543	log10	normal
Dab1		model1_data1	2.9639500246355	30	scaling_Dab1_ExpReelinStim;offset_Dab1_ExpReelinStim	0.044924604	log10	normal
Dab1		model1_data1	2.79990235027047	45	scaling_Dab1_ExpReelinStim;offset_Dab1_ExpReelinStim	0.0466792922	log10	normal
Dab1		model1_data1	2.3978047936729	60	scaling_Dab1_ExpReelinStim;offset_Dab1_ExpReelinStim	0.0466792921	log10	normal
Dab1		model1_data1	1.06076325770006	120	scaling_Dab1_ExpReelinStim;offset_Dab1_ExpReelinStim	0.0495766088	log10	normal
Dab1		model1_data1	0.482394606887245	240	scaling_Dab1_ExpReelinStim;offset_Dab1_ExpReelinStim	0.046945167	log10	normal
pDab1		model1_data1	0.188504545058128	0	scaling_pDab1_ExpReelinStim;offset_pDab1_ExpReelinStim	0.083043265	log10	normal
pDab1		model1_data1	2.03230757170758	1	scaling_pDab1_ExpReelinStim;offset_pDab1_ExpReelinStim	0.0895569443	log10	normal
pDab1		model1_data1	1.88469867702277	2	scaling_pDab1_ExpReelinStim;offset_pDab1_ExpReelinStim	0.0996509209	log10	normal
pDab1		model1_data1	2.42400664533495	3	scaling_pDab1_ExpReelinStim;offset_pDab1_ExpReelinStim	0.0996509206	log10	normal
pDab1		model1_data1	2.55493291071291	5	scaling_pDab1_ExpReelinStim;offset_pDab1_ExpReelinStim	0.0828420081	log10	normal
