parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	priorType	priorParameters	hierarchicalOptimization (optional)
ApoER2_Dab1_SFK_degrad	ApoER2_{Dab1,SFK,degrad}	log10	1e-05	1000.0	0.01233015861322184	1			
ApoER2_Dab1_SFK_recycle	ApoER2_{Dab1,SFK,recycle}	log10	1e-05	1000.0	2.4970147043357125	1			
ApoER2_Dab1_SFK_release	ApoER2_{Dab1,SFK,release}	log10	0.01	100000.0	1957.9410206947355	1			
ApoER2_Dab1_act	ApoER2_{Dab1,act}	log10	0.01	10000000.0	10000.0	0			
ApoER2_Dab1_bind_SFK	ApoER2_{Dab1,bind,SFK}	log10	1e-05	1000.0	110.94578980656611	1			
ApoER2_Dab1_bind_SFK_Reelin	ApoER2_{Dab1,bind,SFK,Reelin}	log10	0.01	1000000.0	158602.0355317516	1			
Dab1_bind_Reelin	Dab1_{bind,Reelin}	log10	1e-05	1000.0	0.013835318208908366	1			
Dab1_release	Dab1_{release}	log10	1e-05	1000.0	0.05954179370172683	1			
SFK_inhibition_ratio	SFK_{inhibition,ratio}	log10	1e-10	1.0	0.4707186265349148	1			
init_ApoER2_Dab1	init_{ApoER2,Dab1}	log10	0.01	1000.0	1.0	0			
init_ApoER2_Dab1SFK	init_{ApoER2,Dab1SFK}	log10	1e-05	1000.0	8.750975493612856e-05	1			
offset_Dab1_ExpEC50R	offset_{Dab1,ExpEC50R}	log10	1e-05	1000.0	0.42614243969703114	1			
offset_Dab1_ExpReelinStim	offset_{Dab1,ExpReelinStim}	log10	1e-09	1000.0	1e-08	0			
offset_Dab1_ExpReelin_DR	offset_{Dab1,ExpReelin,DR}	log10	1e-09	1000.0	1e-08	0			
offset_Dab1_ExpReelin_Inh	offset_{Dab1,ExpReelin,Inh}	log10	1e-09	1000.0	1e-08	0			
offset_Dab1_ExponlyInh	offset_{Dab1,ExponlyInh}	log10	1e-09	1000.0	1e-08	0			
offset_pAkt_ExpEC50R	offset_{pAkt,ExpEC50R}	log10	1e-05	1000.0	1.7068083959447888	1			
