observableId	preequilibrationConditionId	simulationConditionId	simulatedData	time	observableParameters	noiseParameters	observableTransformation
Dab1		model1_data1	0.6034791371	-30		0.0610048678	log10
Dab1		model1_data1	0.6034791371	0		0.0437670545	log10
Dab1		model1_data1	0.5998999035	1		0.048830041	log10
Dab1		model1_data1	0.5951480344	2		0.0586006712	log10
Dab1		model1_data1	0.5903942702	3		0.0586006711	log10
Dab1		model1_data1	0.5808829363	5		0.0437670542	log10
Dab1		model1_data1	0.5570963869	10		0.0488300409	log10
Dab1		model1_data1	0.5333218522	15		0.0437670543	log10
Dab1		model1_data1	0.462277683	30		0.044924604	log10
Dab1		model1_data1	0.3919639544	45		0.0466792922	log10
Dab1		model1_data1	0.3227045012	60		0.0466792921	log10
Dab1		model1_data1	0.0618955544	120		0.0495766088	log10
Dab1		model1_data1	-0.3291432787	240		0.046945167	log10
pDab1		model1_data1	-0.7724510352	0		0.083043265	log10
pDab1		model1_data1	0.2549619835	1		0.0895569443	log10
pDab1		model1_data1	0.284204769	2		0.0996509209	log10
pDab1		model1_data1	0.3082205589	3		0.0996509206	log10
pDab1		model1_data1	0.3442011612	5		0.0828420081	log10
pDab1		model1_data1	0.3899777807	10		0.0895569448	log10
pDab1		model1_data1	0.4006143258	15		0.0828420085	log10
pDab1		model1_data1	0.3473349123	30		0.0848068327	log10
pDab1		model1_data1	0.2508479799	45		0.0900869047	log10
pDab1		model1_data1	0.1479012566	60		0.0900869047	log10
pDab1		model1_data1	-0.1868032529	120		0.0968194261	log10
pDab1		model1_data1	-0.5135751512	240		0.0906661851	log10
pAkt		model1_data1	0.0407405762	-30		0.1025610858	log10
pAkt		model1_data1	0.0407405762	0		0.0735770722	log10
pAkt		model1_data1	0.3647339014	1		0.0820903267	log10
pAkt		model1_data1	0.3819401522	2		0.098513561	log10
pAkt		model1_data1	0.3964255167	3		0.0985135604	log10
pAkt		model1_data1	0.4187176561	5		0.0735770723	log10
pAkt		model1_data1	0.448081927	10		0.0820903264	log10
pAkt		model1_data1	0.4550626125	15		0.0735770723	log10
pAkt		model1_data1	0.4206923311	30		0.0755248428	log10
pAkt		model1_data1	0.3623516066	45		0.0784729498	log10
pAkt		model1_data1	0.3058634567	60		0.07847295	log10
pAkt		model1_data1	0.1637904354	120		0.0833466691	log10
pAkt		model1_data1	0.079603872	240		0.0793969649	log10
pSFK		model1_data1	0.245888956	-30		0.0504568247	log10
pSFK		model1_data1	0.245888956	0		0.0361620102	log10
pSFK		model1_data1	0.4603369678	1		0.0397191897	log10
pSFK		model1_data1	0.458208574	2		0.0461280564	log10
pSFK		model1_data1	0.456424179	3		0.0461280565	log10
pSFK		model1_data1	0.4528552994	5		0.0361620101	log10
pSFK		model1_data1	0.4439822689	10		0.0397191897	log10
pSFK		model1_data1	0.4352528094	15		0.0361620102	log10
pSFK		model1_data1	0.4103827858	30		0.0371645252	log10
pSFK		model1_data1	0.3878501287	45		0.0389916361	log10
pSFK		model1_data1	0.3677619683	60		0.0389916359	log10
