observableId	preequilibrationCondition	simulationCondition	measurement	time	observableParameters	noiseParameters	observableTransformation
pRII_JI09_150302_Drg343_CycNuc		model1_data1	1111.1598363874405	65			
pRII_JI09_150302_Drg344_CycNuc		model1_data1	1111.1598363874405	65			
pRII_JI09_150302_Drg345_CycNuc		model1_data1	1111.1598363874405	65			
pRII_JI09_150302_Drg343_CycNuc		model1_data10	1061.994130488841	65			
pRII_JI09_150302_Drg344_CycNuc		model1_data10	1061.994130488841	65			
pRII_JI09_150302_Drg345_CycNuc		model1_data10	1061.994130488841	65			
pRII_JI09_150330_Drg351_CycNuc		model1_data100	1123.5679431697154	35			
pRII_JI09_150330_Drg352_CycNuc		model1_data100	1123.5679431697154	35			
pRII_JI09_150330_Drg353_CycNuc		model1_data100	1123.5679431697154	35			
pRII_JI09_150330_Drg351_CycNuc		model1_data101	1439.5759947455035	35			
pRII_JI09_150330_Drg352_CycNuc		model1_data101	1439.5759947455035	35			
pRII_JI09_150330_Drg353_CycNuc		model1_data101	1439.5759947455035	35			
pRII_JI09_150330_Drg351_CycNuc		model1_data102	963.7413421400867	35			
pRII_JI09_150330_Drg352_CycNuc		model1_data102	963.7413421400867	35			
pRII_JI09_150330_Drg353_CycNuc		model1_data102	963.7413421400867	35			
pRII_JI09_150330_Drg351_CycNuc		model1_data103	1679.5103808573372	35			
pRII_JI09_150330_Drg352_CycNuc		model1_data103	1679.5103808573372	35			
pRII_JI09_150330_Drg353_CycNuc		model1_data103	1679.5103808573372	35			
pRII_JI09_150330_Drg351_CycNuc		model1_data104	1677.1234996446076	35			
pRII_JI09_150330_Drg352_CycNuc		model1_data104	1677.1234996446076	35			
pRII_JI09_150330_Drg353_CycNuc		model1_data104	1677.1234996446076	35			
pRII_JI09_150330_Drg351_CycNuc		model1_data105	1667.8719486742823	35			
pRII_JI09_150330_Drg352_CycNuc		model1_data105	1667.8719486742823	35			
pRII_JI09_150330_Drg353_CycNuc		model1_data105	1667.8719486742823	35			
pRII_JI09_150330_Drg351_CycNuc		model1_data106	1627.7194782936979	35			
pRII_JI09_150330_Drg352_CycNuc		model1_data106	1627.7194782936979	35			
pRII_JI09_150330_Drg353_CycNuc		model1_data106	1627.7194782936979	35			
pRII_JI09_150330_Drg351_CycNuc		model1_data107	1303.598132843941	35			
pRII_JI09_150330_Drg352_CycNuc		model1_data107	1303.598132843941	35			
pRII_JI09_150330_Drg353_CycNuc		model1_data107	1303.598132843941	35			
pRII_JI09_150330_Drg351_CycNuc		model1_data108	1509.3094751267322	35			
pRII_JI09_150330_Drg352_CycNuc		model1_data108	1509.3094751267322	35			
pRII_JI09_150330_Drg353_CycNuc		model1_data108	1509.3094751267322	35			
pRII_JI09_150330_Drg351_CycNuc		model1_data109	1038.6599474155387	35			
pRII_JI09_150330_Drg352_CycNuc		model1_data109	1038.6599474155387	35			
pRII_JI09_150330_Drg353_CycNuc		model1_data109	1038.6599474155387	35			
pRII_JI09_150302_Drg343_CycNuc		model1_data11	1083.5311243689546	65			
pRII_JI09_150302_Drg344_CycNuc		model1_data11	1083.5311243689546	65			
pRII_JI09_150302_Drg345_CycNuc		model1_data11	1083.5311243689546	65			
pRII_JI09_151026_Drg418_Age		model1_data110	1074.8262781505423	60			
pRII_JI09_151026_Drg418_Age		model1_data110	1074.8262781505427	61			
pRII_JI09_151026_Drg418_Age		model1_data110	1074.826278150545	65			
pRII_JI09_151026_Drg418_Age		model1_data110	1074.8262781505478	75			
pRII_JI09_151026_Drg418_Age		model1_data110	1074.826278150552	90			
pRII_JI09_151026_Drg418_Age		model1_data110	1074.826278150552	120			
pRII_JI09_151026_Drg418_Age		model1_data110	1074.826278150552	180			
pRII_JI09_151026_Drg419_Age		model1_data110	1074.8262781505423	60			
pRII_JI09_151026_Drg419_Age		model1_data110	1074.8262781505427	61			
pRII_JI09_151026_Drg419_Age		model1_data110	1074.826278150545	65			
pRII_JI09_151026_Drg419_Age		model1_data110	1074.8262781505478	75			
pRII_JI09_151026_Drg419_Age		model1_data110	1074.826278150552	90			
pRII_JI09_151026_Drg419_Age		model1_data110	1074.826278150552	120			
pRII_JI09_151026_Drg419_Age		model1_data110	1074.826278150552	180			
pRII_JI09_151102_Drg420_Age		model1_data110	1074.8262781505423	60			
pRII_JI09_151102_Drg420_Age		model1_data110	1074.8262781505427	61			
pRII_JI09_151102_Drg420_Age		model1_data110	1074.826278150545	65			
pRII_JI09_151102_Drg420_Age		model1_data110	1074.8262781505478	75			
pRII_JI09_151102_Drg420_Age		model1_data110	1074.826278150552	90			
