plotId	plotName	plotTypeSimulation	plotTypeData	datasetId	independentVariable	independentVariableOffset	independentVariableName	legendEntry	xScale	yScale
plot1	JI09_150302_Drg345_343_CycNuc	LinePlot	MeanAndSD	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	fourABnOH_time	0	Incubation Time [min]	4-ABnOH/Ctrl	lin	lin
plot1	JI09_150302_Drg345_343_CycNuc	LinePlot	MeanAndSD	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk	fourABnOH_time	0	Incubation Time [min]	4-ABnOH/Fsk(10)	lin	lin
plot1	JI09_150302_Drg345_343_CycNuc	LinePlot	MeanAndSD	JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl	Rp_cAMPS_pAB_time	0	Incubation Time [min]	Rp-cAMPS-pAB/Ctrl	lin	lin
plot1	JI09_150302_Drg345_343_CycNuc	LinePlot	MeanAndSD	JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl	Rp_cAMPS_pAB_time	0	Incubation Time [min]	Rp-cAMPS-pAB/Fsk(10)	lin	lin
plot1	JI09_150302_Drg345_343_CycNuc	LinePlot	MeanAndSD	JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl	Rp8_Br_cAMPS_pAB_time	0	Incubation Time [min]	Rp8-Br-cAMPS-pAB/Ctrl	lin	lin
plot1	JI09_150302_Drg345_343_CycNuc	LinePlot	MeanAndSD	JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk	Rp8_Br_cAMPS_pAB_time	0	Incubation Time [min]	Rp8-Br-cAMPS-pAB/Fsk(10)	lin	lin
plot1	JI09_150302_Drg345_343_CycNuc	LinePlot	MeanAndSD	JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl	Rp8_pCPT_cAMPS_pAB_time	0	Incubation Time [min]	Rp8-pCPT-cAMPS-pAB/Ctrl	lin	lin
plot1	JI09_150302_Drg345_343_CycNuc	LinePlot	MeanAndSD	JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk	Rp8_pCPT_cAMPS_pAB_time	0	Incubation Time [min]	Rp8-pCPT-cAMPS-pAB/Fsk(10)	lin	lin
plot2	JI09_150330_Drg350_348_CycNuc	LinePlot	MeanAndSD	JI09_150330_Drg350_348_CycNuc__ctrl	time	0	Time [min]	Ctrl	lin	lin
plot2	JI09_150330_Drg350_348_CycNuc	LinePlot	MeanAndSD	JI09_150330_Drg350_348_CycNuc__Fsk10	time	0	Time [min]	Fsk(10)	lin	lin
plot2	JI09_150330_Drg350_348_CycNuc	LinePlot	MeanAndSD	JI09_150330_Drg350_348_CycNuc__IBMX100_and_Fsk10	time	0	Time [min]	IBMX(100)/Fsk(10)	lin	lin
