observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	observableTransformation
S2IP_tS2		model1_data1	98.8927929034442	60		5	lin
S2IP_tS2		model1_data1	98.5012834262906	60		5	lin
S2IP_tS3		model1_data1	0.214843176890046	60		5	lin
S2IP_tS3		model1_data1	0.125395354361285	60		5	lin
S2IP_tS4		model1_data1	0.892363919665795	60		5	lin
S2IP_tS4		model1_data1	1.37332121934813	60		5	lin
S3IP_tS2		model1_data1	4.26234040200908	60		5	lin
S3IP_tS3		model1_data1	95.5315185400341	60		5	lin
S3IP_tS4		model1_data1	0.206141057956807	60		5	lin
S4IP_tS2		model1_data1	12.2931736923098	60		5	lin
S4IP_tS3		model1_data1	2.04826653496219	60		5	lin
S4IP_tS4		model1_data1	85.658559772728	60		5	lin
S23IP_tS2		model1_data1	84.4240920290022	60		5	lin
S23IP_tS2		model1_data1	85.917063914309	60		5	lin
S23IP_tS3		model1_data1	15.2668721616991	60		5	lin
S23IP_tS3		model1_data1	13.1106354190217	60		5	lin
S23IP_tS4		model1_data1	0.309035809298737	60		5	lin
S23IP_tS4		model1_data1	0.972300666669304	60		5	lin
S2IP_S2		model1_data1	99.8957387583961	60		5	lin
S2IP_S2		model1_data1	99.8922620643039	60		5	lin
S2IP_pS2		model1_data1	0.091964121389908	60		5	lin
S2IP_pS2		model1_data1	0.107737935696112	60		5	lin
S2IP_ppS2		model1_data1	0.012297120214004	60		5	lin
S2IP_ppS2		model1_data1	0	60		5	lin
S23IP_S2		model1_data1	100	60		5	lin
S23IP_S2		model1_data1	100	60		5	lin
S23IP_pS2		model1_data1	0	60		5	lin
S23IP_pS2		model1_data1	0	60		5	lin
S23IP_ppS2		model1_data1	0	60		5	lin
S23IP_ppS2		model1_data1	0	60		5	lin
S3IP_S3		model1_data1	100	60		5	lin
S3IP_pS3		model1_data1	0	60		5	lin
S3IP_ppS3		model1_data1	0	60		5	lin
S23IP_S3		model1_data1	100	60		5	lin
S23IP_S3		model1_data1	100	60		5	lin
S23IP_pS3		model1_data1	0	60		5	lin
S23IP_pS3		model1_data1	0	60		5	lin
S23IP_ppS3		model1_data1	0	60		5	lin
S23IP_ppS3		model1_data1	0	60		5	lin
Ski		model1_data10	0.086374026963736	0		sd_Ski_nExpID100	log10
Ski		model1_data10	0.131296299418471	60		sd_Ski_nExpID100	log10
Ski		model1_data10	0.1359257429789	180		sd_Ski_nExpID100	log10
Ski		model1_data10	0.130821583232332	360		sd_Ski_nExpID100	log10
