parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	priorType	priorParameters	hierarchicalOptimization (optional)
Rec_act	Rec_{act}	log10	1e-05	1000.0	0.005969840220268663	1			
S2tot	S2tot	log10	1e-05	1000.0	142.78177948732798	1			
S3tot	S3tot	log10	1e-05	1000.0	16.258945174638853	1			
S4tot	S4tot	log10	1e-05	1000.0	67.02317775566569	1			
S_dephos	S_{dephos}	log10	1e-05	1000.0	0.27814192587491965	1			
S_dephosphos	S_{dephosphos}	log10	1e-05	1000.0	0.04761286977285127	1			
S_phos	S_{phos}	log10	1e-05	1000.0	0.37712103682956555	1			
geneA_act1	geneA_{act1}	log10	1e-05	1000.0	0.014141482569872818	1			
geneA_act2	geneA_{act2}	log10	1e-05	1000.0	0.0008047625037746963	1			
geneA_act3	geneA_{act3}	lin	0.0	1000.0	0.0	0			
geneA_inh1	geneA_{inh1}	lin	0.0	1000.0	0.0	0			
geneA_inh2	geneA_{inh2}	log10	1e-05	1000.0	0.04632722611784302	1			
geneA_inh3	geneA_{inh3}	log10	1e-05	1000.0	0.026267107319374882	1			
geneA_turn	geneA_{turn}	log10	1e-05	1000.0	0.0045724955177199106	1			
geneB_act1	geneB_{act1}	log10	1e-05	1000.0	0.4596131215308431	1			
geneB_act2	geneB_{act2}	log10	1e-05	1000.0	0.07338341933972589	1			
geneB_act3	geneB_{act3}	log10	1e-05	1000.0	0.03088291482619328	1			
geneB_inh1	geneB_{inh1}	lin	0.0	1000.0	0.0	0			
geneB_inh2	geneB_{inh2}	log10	1e-05	1000.0	0.7413632204779262	1			
geneB_inh3	geneB_{inh3}	log10	1e-05	1000.0	0.4087700240426317	1			
geneB_turn	geneB_{turn}	log10	1e-05	1000.0	0.011249707694987975	1			
geneC_act1	geneC_{act1}	log10	1e-05	1000.0	0.007148127389081409	1			
geneC_act2	geneC_{act2}	lin	0.0	1000.0	0.0	0			
geneC_act3	geneC_{act3}	lin	0.0	1000.0	0.0	0			
geneC_inh1	geneC_{inh1}	lin	0.0	1000.0	0.0	0			
geneC_inh2	geneC_{inh2}	log10	1e-05	1000.0	0.018280189253089225	1			
geneC_inh3	geneC_{inh3}	log10	1e-05	1000.0	0.03535789732570505	1			
geneC_turn	geneC_{turn}	log10	1e-05	1000.0	0.0037887120453586436	1			
