observableId	preequilibrationCondition	simulationCondition	measurement	time	observableParameters	noiseParameters	observableTransformation
S2IP_tS2		model1_data1	100.0	60			
S2IP_tS2		model1_data1	100.0	60			
S2IP_tS3		model1_data1	0.0	60			
S2IP_tS3		model1_data1	0.0	60			
S2IP_tS4		model1_data1	0.0	60			
S2IP_tS4		model1_data1	0.0	60			
S3IP_tS2		model1_data1	0.0	60			
S3IP_tS3		model1_data1	100.0	60			
S3IP_tS4		model1_data1	0.0	60			
S4IP_tS2		model1_data1	0.0	60			
S4IP_tS3		model1_data1	0.0	60			
S4IP_tS4		model1_data1	100.0	60			
S23IP_tS2		model1_data1	89.77686676843527	60			
S23IP_tS2		model1_data1	89.77686676843527	60			
S23IP_tS3		model1_data1	10.223133231564741	60			
S23IP_tS3		model1_data1	10.223133231564741	60			
S23IP_tS4		model1_data1	0.0	60			
S23IP_tS4		model1_data1	0.0	60			
S2IP_S2		model1_data1	100.0	60			
S2IP_S2		model1_data1	100.0	60			
S2IP_pS2		model1_data1	0.0	60			
S2IP_pS2		model1_data1	0.0	60			
S2IP_ppS2		model1_data1	0.0	60			
S2IP_ppS2		model1_data1	0.0	60			
S23IP_S2		model1_data1	100.0	60			
S23IP_S2		model1_data1	100.0	60			
S23IP_pS2		model1_data1	0.0	60			
S23IP_pS2		model1_data1	0.0	60			
S23IP_ppS2		model1_data1	0.0	60			
S23IP_ppS2		model1_data1	0.0	60			
S3IP_S3		model1_data1	100.0	60			
S3IP_pS3		model1_data1	0.0	60			
S3IP_ppS3		model1_data1	0.0	60			
S23IP_S3		model1_data1	100.0	60			
S23IP_S3		model1_data1	100.0	60			
S23IP_pS3		model1_data1	0.0	60			
S23IP_pS3		model1_data1	0.0	60			
S23IP_ppS3		model1_data1	0.0	60			
S23IP_ppS3		model1_data1	0.0	60			
Ski		model1_data10	4.3429426472042774e-07	0			
Ski		model1_data10	4.3429426472042774e-07	60			
Ski		model1_data10	4.3429426472042774e-07	180			
Ski		model1_data10	4.3429426472042774e-07	360			
Ski		model1_data10	4.3429426472042774e-07	600			
Ski		model1_data10	4.3429426472042774e-07	0			
Ski		model1_data10	4.3429426472042774e-07	60			
Ski		model1_data10	4.3429426472042774e-07	180			
Ski		model1_data10	4.3429426472042774e-07	360			
Ski		model1_data10	4.3429426472042774e-07	600			
Ski		model1_data10	4.3429426472042774e-07	0			
Ski		model1_data10	4.3429426472042774e-07	60			
Ski		model1_data10	4.3429426472042774e-07	180			
Ski		model1_data10	4.3429426472042774e-07	360			
Ski		model1_data10	4.3429426472042774e-07	600			
Skil		model1_data10	4.3429426472042774e-07	0			
Skil		model1_data10	4.3429426472042774e-07	60			
Skil		model1_data10	4.3429426472042774e-07	180			
Skil		model1_data10	4.3429426472042774e-07	360			
Skil		model1_data10	4.3429426472042774e-07	600			
Skil		model1_data10	4.3429426472042774e-07	0			
Skil		model1_data10	4.3429426472042774e-07	60			
Skil		model1_data10	4.3429426472042774e-07	180			
Skil		model1_data10	4.3429426472042774e-07	360			
Skil		model1_data10	4.3429426472042774e-07	600			
Skil		model1_data10	4.3429426472042774e-07	0			
Skil		model1_data10	4.3429426472042774e-07	60			
Skil		model1_data10	4.3429426472042774e-07	180			
Skil		model1_data10	4.3429426472042774e-07	360			
Skil		model1_data10	4.3429426472042774e-07	600			
Dnmt3a		model1_data10	4.3429426472042774e-07	0			
Dnmt3a		model1_data10	4.3429426472042774e-07	60			
Dnmt3a		model1_data10	4.3429426472042774e-07	180			
Dnmt3a		model1_data10	4.3429426472042774e-07	360			
Dnmt3a		model1_data10	4.3429426472042774e-07	600			
Dnmt3a		model1_data10	4.3429426472042774e-07	0			
Dnmt3a		model1_data10	4.3429426472042774e-07	60			
Dnmt3a		model1_data10	4.3429426472042774e-07	180			
Dnmt3a		model1_data10	4.3429426472042774e-07	360			
Dnmt3a		model1_data10	4.3429426472042774e-07	600			
Dnmt3a		model1_data10	4.3429426472042774e-07	0			
Dnmt3a		model1_data10	4.3429426472042774e-07	60			
Dnmt3a		model1_data10	4.3429426472042774e-07	180			
Dnmt3a		model1_data10	4.3429426472042774e-07	360			
Dnmt3a		model1_data10	4.3429426472042774e-07	600			
Sox4		model1_data10	4.3429426472042774e-07	0			
Sox4		model1_data10	4.3429426472042774e-07	60			
Sox4		model1_data10	4.3429426472042774e-07	180			
Sox4		model1_data10	4.3429426472042774e-07	360			
Sox4		model1_data10	4.3429426472042774e-07	600			
Sox4		model1_data10	4.3429426472042774e-07	0			
Sox4		model1_data10	4.3429426472042774e-07	60			
Sox4		model1_data10	4.3429426472042774e-07	180			
Sox4		model1_data10	4.3429426472042774e-07	360			
Sox4		model1_data10	4.3429426472042774e-07	600			
Sox4		model1_data10	4.3429426472042774e-07	0			
Sox4		model1_data10	4.3429426472042774e-07	60			
Sox4		model1_data10	4.3429426472042774e-07	180			
Sox4		model1_data10	4.3429426472042774e-07	360			
Sox4		model1_data10	4.3429426472042774e-07	600			
Jun		model1_data10	4.3429426472042774e-07	0			
Jun		model1_data10	4.3429426472042774e-07	60			
Jun		model1_data10	4.3429426472042774e-07	180			
Jun		model1_data10	4.3429426472042774e-07	360			
Jun		model1_data10	4.3429426472042774e-07	600			
Jun		model1_data10	4.3429426472042774e-07	0			
Jun		model1_data10	4.3429426472042774e-07	60			
Jun		model1_data10	4.3429426472042774e-07	180			
Jun		model1_data10	4.3429426472042774e-07	360			
Jun		model1_data10	4.3429426472042774e-07	600			
Jun		model1_data10	4.3429426472042774e-07	0			
Jun		model1_data10	4.3429426472042774e-07	60			
Jun		model1_data10	4.3429426472042774e-07	180			
Jun		model1_data10	4.3429426472042774e-07	360			
Jun		model1_data10	4.3429426472042774e-07	600			
Smad7		model1_data10	4.3429426472042774e-07	0			
Smad7		model1_data10	4.3429426472042774e-07	60			
Smad7		model1_data10	4.3429426472042774e-07	180			
Smad7		model1_data10	4.3429426472042774e-07	360			
Smad7		model1_data10	4.3429426472042774e-07	600			
Smad7		model1_data10	4.3429426472042774e-07	0			
Smad7		model1_data10	4.3429426472042774e-07	60			
Smad7		model1_data10	4.3429426472042774e-07	180			
Smad7		model1_data10	4.3429426472042774e-07	360			
Smad7		model1_data10	4.3429426472042774e-07	600			
Smad7		model1_data10	4.3429426472042774e-07	0			
Smad7		model1_data10	4.3429426472042774e-07	60			
Smad7		model1_data10	4.3429426472042774e-07	180			
Smad7		model1_data10	4.3429426472042774e-07	360			
Smad7		model1_data10	4.3429426472042774e-07	600			
Klf10		model1_data10	4.3429426472042774e-07	0			
Klf10		model1_data10	4.3429426472042774e-07	60			
Klf10		model1_data10	4.3429426472042774e-07	180			
Klf10		model1_data10	4.3429426472042774e-07	360			
Klf10		model1_data10	4.3429426472042774e-07	600			
Klf10		model1_data10	4.3429426472042774e-07	0			
Klf10		model1_data10	4.3429426472042774e-07	60			
Klf10		model1_data10	4.3429426472042774e-07	180			
Klf10		model1_data10	4.3429426472042774e-07	360			
Klf10		model1_data10	4.3429426472042774e-07	600			
Klf10		model1_data10	4.3429426472042774e-07	0			
Klf10		model1_data10	4.3429426472042774e-07	60			
Klf10		model1_data10	4.3429426472042774e-07	180			
Klf10		model1_data10	4.3429426472042774e-07	360			
Klf10		model1_data10	4.3429426472042774e-07	600			
Bmp4		model1_data10	4.3429426472042774e-07	0			
Bmp4		model1_data10	4.3429426472042774e-07	60			
Bmp4		model1_data10	4.3429426472042774e-07	180			
Bmp4		model1_data10	4.3429426472042774e-07	360			
Bmp4		model1_data10	4.3429426472042774e-07	600			
Bmp4		model1_data10	4.3429426472042774e-07	0			
Bmp4		model1_data10	4.3429426472042774e-07	60			
Bmp4		model1_data10	4.3429426472042774e-07	180			
Bmp4		model1_data10	4.3429426472042774e-07	360			
Bmp4		model1_data10	4.3429426472042774e-07	600			
Bmp4		model1_data10	4.3429426472042774e-07	0			
Bmp4		model1_data10	4.3429426472042774e-07	60			
Bmp4		model1_data10	4.3429426472042774e-07	180			
Bmp4		model1_data10	4.3429426472042774e-07	360			
Bmp4		model1_data10	4.3429426472042774e-07	600			
Cxcl15		model1_data10	4.3429426472042774e-07	0			
Cxcl15		model1_data10	4.3429426472042774e-07	60			
Cxcl15		model1_data10	4.3429426472042774e-07	180			
Cxcl15		model1_data10	4.3429426472042774e-07	360			
Cxcl15		model1_data10	4.3429426472042774e-07	600			
Cxcl15		model1_data10	4.3429426472042774e-07	0			
Cxcl15		model1_data10	4.3429426472042774e-07	60			
Cxcl15		model1_data10	4.3429426472042774e-07	180			
Cxcl15		model1_data10	4.3429426472042774e-07	360			
Cxcl15		model1_data10	4.3429426472042774e-07	600			
Cxcl15		model1_data10	4.3429426472042774e-07	0			
Cxcl15		model1_data10	4.3429426472042774e-07	60			
Cxcl15		model1_data10	4.3429426472042774e-07	180			
Cxcl15		model1_data10	4.3429426472042774e-07	360			
Cxcl15		model1_data10	4.3429426472042774e-07	600			
Dusp5		model1_data10	4.3429426472042774e-07	0			
Dusp5		model1_data10	4.3429426472042774e-07	60			
Dusp5		model1_data10	4.3429426472042774e-07	180			
Dusp5		model1_data10	4.3429426472042774e-07	360			
Dusp5		model1_data10	4.3429426472042774e-07	600			
Dusp5		model1_data10	4.3429426472042774e-07	0			
Dusp5		model1_data10	4.3429426472042774e-07	60			
Dusp5		model1_data10	4.3429426472042774e-07	180			
Dusp5		model1_data10	4.3429426472042774e-07	360			
Dusp5		model1_data10	4.3429426472042774e-07	600			
Dusp5		model1_data10	4.3429426472042774e-07	0			
Dusp5		model1_data10	4.3429426472042774e-07	60			
Dusp5		model1_data10	4.3429426472042774e-07	180			
Dusp5		model1_data10	4.3429426472042774e-07	360			
Dusp5		model1_data10	4.3429426472042774e-07	600			
Tgfa		model1_data10	4.3429426472042774e-07	0			
Tgfa		model1_data10	4.3429426472042774e-07	60			
Tgfa		model1_data10	4.3429426472042774e-07	180			
Tgfa		model1_data10	4.3429426472042774e-07	360			
Tgfa		model1_data10	4.3429426472042774e-07	600			
Tgfa		model1_data10	4.3429426472042774e-07	0			
Tgfa		model1_data10	4.3429426472042774e-07	60			
Tgfa		model1_data10	4.3429426472042774e-07	180			
Tgfa		model1_data10	4.3429426472042774e-07	360			
Tgfa		model1_data10	4.3429426472042774e-07	600			
Tgfa		model1_data10	4.3429426472042774e-07	0			
Tgfa		model1_data10	4.3429426472042774e-07	60			
Tgfa		model1_data10	4.3429426472042774e-07	180			
Tgfa		model1_data10	4.3429426472042774e-07	360			
Tgfa		model1_data10	4.3429426472042774e-07	600			
Pdk4		model1_data10	4.3429426472042774e-07	0			
Pdk4		model1_data10	4.3429426472042774e-07	60			
Pdk4		model1_data10	4.3429426472042774e-07	180			
Pdk4		model1_data10	4.3429426472042774e-07	360			
Pdk4		model1_data10	4.3429426472042774e-07	600			
Pdk4		model1_data10	4.3429426472042774e-07	0			
Pdk4		model1_data10	4.3429426472042774e-07	60			
Pdk4		model1_data10	4.3429426472042774e-07	180			
Pdk4		model1_data10	4.3429426472042774e-07	360			
Pdk4		model1_data10	4.3429426472042774e-07	600			
Pdk4		model1_data10	4.3429426472042774e-07	0			
Pdk4		model1_data10	4.3429426472042774e-07	60			
Pdk4		model1_data10	4.3429426472042774e-07	180			
Pdk4		model1_data10	4.3429426472042774e-07	360			
Pdk4		model1_data10	4.3429426472042774e-07	600			
Ski		model1_data11	4.3429426472042774e-07	0			
Ski		model1_data11	4.3429426472042774e-07	60			
Ski		model1_data11	4.3429426472042774e-07	180			
Ski		model1_data11	4.3429426472042774e-07	360			
Ski		model1_data11	4.3429426472042774e-07	600			
Ski		model1_data11	4.3429426472042774e-07	0			
Ski		model1_data11	4.3429426472042774e-07	60			
Ski		model1_data11	4.3429426472042774e-07	180			
Ski		model1_data11	4.3429426472042774e-07	360			
Ski		model1_data11	4.3429426472042774e-07	600			
Ski		model1_data11	4.3429426472042774e-07	0			
Ski		model1_data11	4.3429426472042774e-07	60			
Ski		model1_data11	4.3429426472042774e-07	180			
Ski		model1_data11	4.3429426472042774e-07	360			
