observableId	simulationConditionId	measurement	time	observableParameters	noiseParameters
pJAK2_au	-1.95599762557561	0	model1_data1	init_EpoRJAK2;offset_pJAK2_long;scale_pJAK2_long;	sd_JAK2EpoR_au
pJAK2_au	0	5	model1_data1	init_EpoRJAK2;offset_pJAK2_long;scale_pJAK2_long;	sd_JAK2EpoR_au
pJAK2_au	-0.127344806374178	10	model1_data1	init_EpoRJAK2;offset_pJAK2_long;scale_pJAK2_long;	sd_JAK2EpoR_au
pJAK2_au	-0.127344806374178	20	model1_data1	init_EpoRJAK2;offset_pJAK2_long;scale_pJAK2_long;	sd_JAK2EpoR_au
pJAK2_au	-0.581607137532277	40	model1_data1	init_EpoRJAK2;offset_pJAK2_long;scale_pJAK2_long;	sd_JAK2EpoR_au
pJAK2_au	-1.36547262889341	60	model1_data1	init_EpoRJAK2;offset_pJAK2_long;scale_pJAK2_long;	sd_JAK2EpoR_au
pJAK2_au	-0.787282786054155	80	model1_data1	init_EpoRJAK2;offset_pJAK2_long;scale_pJAK2_long;	sd_JAK2EpoR_au
pJAK2_au	-1.0333527385497	100	model1_data1	init_EpoRJAK2;offset_pJAK2_long;scale_pJAK2_long;	sd_JAK2EpoR_au
pJAK2_au	-1.59728747646672	120	model1_data1	init_EpoRJAK2;offset_pJAK2_long;scale_pJAK2_long;	sd_JAK2EpoR_au
pJAK2_au	-0.87244777975697	140	model1_data1	init_EpoRJAK2;offset_pJAK2_long;scale_pJAK2_long;	sd_JAK2EpoR_au
pJAK2_au	-0.866920046130467	160	model1_data1	init_EpoRJAK2;offset_pJAK2_long;scale_pJAK2_long;	sd_JAK2EpoR_au
pJAK2_au	-1.25001612833191	180	model1_data1	init_EpoRJAK2;offset_pJAK2_long;scale_pJAK2_long;	sd_JAK2EpoR_au
pJAK2_au	-1.2273622688806	220	model1_data1	init_EpoRJAK2;offset_pJAK2_long;scale_pJAK2_long;	sd_JAK2EpoR_au
pJAK2_au	-0.990906111356113	240	model1_data1	init_EpoRJAK2;offset_pJAK2_long;scale_pJAK2_long;	sd_JAK2EpoR_au
pEpoR_au	-2.3553252302031	0	model1_data1	init_EpoRJAK2;offset_pEpoR_long;scale_pEpoR_long;	sd_JAK2EpoR_au
pEpoR_au	-0.154400561644228	5	model1_data1	init_EpoRJAK2;offset_pEpoR_long;scale_pEpoR_long;	sd_JAK2EpoR_au
pEpoR_au	0	10	model1_data1	init_EpoRJAK2;offset_pEpoR_long;scale_pEpoR_long;	sd_JAK2EpoR_au
pEpoR_au	-0.217191391503683	20	model1_data1	init_EpoRJAK2;offset_pEpoR_long;scale_pEpoR_long;	sd_JAK2EpoR_au
pEpoR_au	-0.719316116206963	40	model1_data1	init_EpoRJAK2;offset_pEpoR_long;scale_pEpoR_long;	sd_JAK2EpoR_au
pEpoR_au	-0.996595214566894	60	model1_data1	init_EpoRJAK2;offset_pEpoR_long;scale_pEpoR_long;	sd_JAK2EpoR_au
pEpoR_au	-0.95487744129283	80	model1_data1	init_EpoRJAK2;offset_pEpoR_long;scale_pEpoR_long;	sd_JAK2EpoR_au
pEpoR_au	-1.15585621457503	100	model1_data1	init_EpoRJAK2;offset_pEpoR_long;scale_pEpoR_long;	sd_JAK2EpoR_au
pEpoR_au	-0.548184610545108	120	model1_data1	init_EpoRJAK2;offset_pEpoR_long;scale_pEpoR_long;	sd_JAK2EpoR_au
pEpoR_au	-0.872772916830244	140	model1_data1	init_EpoRJAK2;offset_pEpoR_long;scale_pEpoR_long;	sd_JAK2EpoR_au
pEpoR_au	-0.620594295877223	160	model1_data1	init_EpoRJAK2;offset_pEpoR_long;scale_pEpoR_long;	sd_JAK2EpoR_au
pEpoR_au	-1.29514676356928	180	model1_data1	init_EpoRJAK2;offset_pEpoR_long;scale_pEpoR_long;	sd_JAK2EpoR_au
pEpoR_au	-1.39773520108423	220	model1_data1	init_EpoRJAK2;offset_pEpoR_long;scale_pEpoR_long;	sd_JAK2EpoR_au
pEpoR_au	-1.06889043485623	240	model1_data1	init_EpoRJAK2;offset_pEpoR_long;scale_pEpoR_long;	sd_JAK2EpoR_au
CIS_au	-1.76935993330706	0	model1_data1	CISHRNAeqm;CISeqm;init_STAT5;offset_CIS_long;scale_CIS_long;	sd_CIS_au
CIS_au	-1.41095198482525	5	model1_data1	CISHRNAeqm;CISeqm;init_STAT5;offset_CIS_long;scale_CIS_long;	sd_CIS_au
CIS_au	-1.67072834872607	10	model1_data1	CISHRNAeqm;CISeqm;init_STAT5;offset_CIS_long;scale_CIS_long;	sd_CIS_au
CIS_au	-1.43079218523461	20	model1_data1	CISHRNAeqm;CISeqm;init_STAT5;offset_CIS_long;scale_CIS_long;	sd_CIS_au
CIS_au	-0.890319302702031	40	model1_data1	CISHRNAeqm;CISeqm;init_STAT5;offset_CIS_long;scale_CIS_long;	sd_CIS_au
CIS_au	-0.548991560655054	60	model1_data1	CISHRNAeqm;CISeqm;init_STAT5;offset_CIS_long;scale_CIS_long;	sd_CIS_au
CIS_au	-0.0857460419244596	80	model1_data1	CISHRNAeqm;CISeqm;init_STAT5;offset_CIS_long;scale_CIS_long;	sd_CIS_au
CIS_au	-0.0351469501259641	100	model1_data1	CISHRNAeqm;CISeqm;init_STAT5;offset_CIS_long;scale_CIS_long;	sd_CIS_au
CIS_au	NaN	120	model1_data1	CISHRNAeqm;CISeqm;init_STAT5;offset_CIS_long;scale_CIS_long;	sd_CIS_au
CIS_au	-0.111766931550863	140	model1_data1	CISHRNAeqm;CISeqm;init_STAT5;offset_CIS_long;scale_CIS_long;	sd_CIS_au
CIS_au	-0.12403767918259	160	model1_data1	CISHRNAeqm;CISeqm;init_STAT5;offset_CIS_long;scale_CIS_long;	sd_CIS_au
CIS_au	-0.0217613620144934	180	model1_data1	CISHRNAeqm;CISeqm;init_STAT5;offset_CIS_long;scale_CIS_long;	sd_CIS_au
CIS_au	-0.0402838548483609	220	model1_data1	CISHRNAeqm;CISeqm;init_STAT5;offset_CIS_long;scale_CIS_long;	sd_CIS_au
CIS_au	0	240	model1_data1	CISHRNAeqm;CISeqm;init_STAT5;offset_CIS_long;scale_CIS_long;	sd_CIS_au
SOCS3_au	NaN	0	model1_data1	SOCS3RNAeqm;SOCS3eqm;SOCS3prom;init_STAT5;offset_SOCS3_long;scale_SOCS3_long;	sd_SOCS3_au
SOCS3_au	NaN	5	model1_data1	SOCS3RNAeqm;SOCS3eqm;SOCS3prom;init_STAT5;offset_SOCS3_long;scale_SOCS3_long;	sd_SOCS3_au
SOCS3_au	-0.959711517423787	10	model1_data1	SOCS3RNAeqm;SOCS3eqm;SOCS3prom;init_STAT5;offset_SOCS3_long;scale_SOCS3_long;	sd_SOCS3_au
SOCS3_au	-0.55057947682285	20	model1_data1	SOCS3RNAeqm;SOCS3eqm;SOCS3prom;init_STAT5;offset_SOCS3_long;scale_SOCS3_long;	sd_SOCS3_au
SOCS3_au	NaN	40	model1_data1	SOCS3RNAeqm;SOCS3eqm;SOCS3prom;init_STAT5;offset_SOCS3_long;scale_SOCS3_long;	sd_SOCS3_au
SOCS3_au	-0.244981248162557	60	model1_data1	SOCS3RNAeqm;SOCS3eqm;SOCS3prom;init_STAT5;offset_SOCS3_long;scale_SOCS3_long;	sd_SOCS3_au
SOCS3_au	NaN	80	model1_data1	SOCS3RNAeqm;SOCS3eqm;SOCS3prom;init_STAT5;offset_SOCS3_long;scale_SOCS3_long;	sd_SOCS3_au
