parameterID	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate
ActDstrength	ActDstrength	log10	-2	0	-4.26607487769333e-14	1
ActDstrength_val	ActDstrength_val	log10	-5	0	-0.0617110180997188	0
CISHRNAbasal	CISHRNAbasal	log10	-5	3	-4.60841676280485	1
CISHRNAbasal_long1	CISHRNAbasal_long1	log10	-6	3	-5.16500198953229	0
CISHRNAdelay	CISHRNAdelay	log10	-3	3	-0.688607978656839	1
CISHRNAeqm	CISHRNAeqm	log10	-3	3	0	0
CISHRNAturn	CISHRNAturn	log10	-3	3	-1.22626687855785	1
CISeqm	CISeqm	log10	-3	4	2.52970262281748	1
CISinh	CISinh	log10	-5	5	-4.99999999999996	1
CISturn	CISturn	log10	-3	3	-1.97938017404704	1
EPORactJAK2	EPORactJAK2	log10	-3	4	0.617142800997393	1
JAK2EPORdeactPTP	JAK2EPORdeactPTP	log10	-5	6	4.17039942120891	1
JAK2actEPO	JAK2actEPO	log10	-3	9	6.16101252702238	1
PTPactEPOR	PTPactEPOR	log10	-5	3	-4.99999671928698	1
PTPdeact	PTPdeact	log10	-3	3	-2.04381363881826	1
ReltoH838_init_EpoRJAK2_H838	ReltoH838_init_EpoRJAK2_H838	log10	-5	2	0.933681559024767	1
Relto_CFUE_ActDstrength	Relto_CFUE_ActDstrength	log10	-1.99999999999997	2.5441321327151e-14	-1.75829298823322e-14	1
Relto_CFUE_CISHRNAturn	Relto_CFUE_CISHRNAturn	log10	-1.43132716669129	6.56867283330871	-0.37749897679608	1
Relto_CFUE_EPORactJAK2	Relto_CFUE_EPORactJAK2	log10	-3.72843020235335	3.27156979764665	-1.06251220623341	1
Relto_CFUE_JAK2actEPO	Relto_CFUE_JAK2actEPO	log10	-9.23315459775012	2.76684540224988	-1.20810803832458	1
Relto_CFUE_SOCS3RNAdelay	Relto_CFUE_SOCS3RNAdelay	log10	-2.29823123648431	3.70176876351569	1.1582853029222	1
Relto_CFUE_SOCS3prom	Relto_CFUE_SOCS3prom	log10	-1.18627493885923e-09	0.999999998813725	0.569884404605797	1
Relto_CFUE_STAT5imp	Relto_CFUE_STAT5imp	log10	-1.5345643996803	6.4654356003197	0.68732337355526	1
Relto_CFUE_init_STAT5	Relto_CFUE_init_STAT5	log10	-6.90174971631925	0.0982502836807464	-1.1406494177672	1
Relto_CFUE_nSTAT5deact	Relto_CFUE_nSTAT5deact	log10	-3.67550469929475	6.32449530070525	1.09386949901975	1
Relto_H838WT_init_PTP	Relto_H838WT_init_PTP	log10	-5.10414888320445	0.895851116795551	-0.970802287639378	1
SHP1proOE	SHP1proOE	log10	-5	3	0.442988730473146	1
SOCS3RNAbasal	SOCS3RNAbasal	log10	-6	3	-2.68258205672568	1
