observableId	preequilibrationCondition	simulationCondition	measurement	time	observableParameters	noiseParameters	observableTransformation
pJAK2_au		model1_data1	-2.021827228882617	0.0			
pJAK2_au		model1_data1	-0.26594827500883633	5.0			
pJAK2_au		model1_data1	-0.41478433653278346	10.0			
pJAK2_au		model1_data1	-0.6287053614328929	20.0			
pJAK2_au		model1_data1	-0.8488608020575935	40.0			
pJAK2_au		model1_data1	-0.9994267401050994	60.0			
pJAK2_au		model1_data1	-1.0252164125754883	80.0			
pJAK2_au		model1_data1	-0.990155621876472	100.0			
pJAK2_au		model1_data1	-0.9451498190240624	120.0			
pJAK2_au		model1_data1	-0.915975957481835	140.0			
pJAK2_au		model1_data1	-0.9093276182157459	160.0			
pJAK2_au		model1_data1	-0.9193863373723119	180.0			
pJAK2_au		model1_data1	-0.9467636428100452	220.0			
pJAK2_au		model1_data1	-0.9518188417694892	240.0			
pEpoR_au		model1_data1	-2.3669089327844004	0.0			
pEpoR_au		model1_data1	-0.07422892557980736	5.0			
pEpoR_au		model1_data1	-0.24090118699662272	10.0			
pEpoR_au		model1_data1	-0.49678290550264	20.0			
pEpoR_au		model1_data1	-0.7817363081348003	40.0			
pEpoR_au		model1_data1	-0.9950056995413038	60.0			
pEpoR_au		model1_data1	-1.0338597544341555	80.0			
pEpoR_au		model1_data1	-0.9823133820472321	100.0			
pEpoR_au		model1_data1	-0.9171808252567927	120.0			
pEpoR_au		model1_data1	-0.8756822231651072	140.0			
pEpoR_au		model1_data1	-0.86624036860086	160.0			
pEpoR_au		model1_data1	-0.8803329626150715	180.0			
pEpoR_au		model1_data1	-0.9192240700444745	220.0			
pEpoR_au		model1_data1	-0.9264919643249495	240.0			
CIS_au		model1_data1	-1.5706146587902483	0.0			
CIS_au		model1_data1	-1.5706146074903575	5.0			
CIS_au		model1_data1	-1.5705617583831162	10.0			
CIS_au		model1_data1	-1.553032703319603	20.0			
CIS_au		model1_data1	-0.9960743473303695	40.0			
CIS_au		model1_data1	-0.4241093328904142	60.0			
CIS_au		model1_data1	-0.1472196562785011	80.0			
CIS_au		model1_data1	-0.02875997808449579	100.0			
CIS_au		model1_data1	-0.001283705881617775	140.0			
CIS_au		model1_data1	-0.0284890977198106	160.0			
CIS_au		model1_data1	-0.058074625144427475	180.0			
CIS_au		model1_data1	-0.09229341428193293	220.0			
CIS_au		model1_data1	-0.09876162713410135	240.0			
SOCS3_au		model1_data1	-0.7095340641247075	10.0			
SOCS3_au		model1_data1	-0.6699795796142707	20.0			
SOCS3_au		model1_data1	0.12958405073894966	60.0			
SOCS3_au		model1_data1	-0.05749877882695911	120.0			
SOCS3_au		model1_data1	-0.2606260292485261	180.0			
SOCS3_au		model1_data1	-0.20055915380624037	240.0			
tSTAT5_au		model1_data1	-0.09135892545473064	0.0			
tSTAT5_au		model1_data1	-0.10291459182509793	5.0			
