observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters
FeOut	preequilibration_adequate	simulation_adequate	0.248	0.5		
FePlasma	preequilibration_adequate	simulation_adequate	1.358	0.5		0.7490000000000001
FeRBC	preequilibration_adequate	simulation_adequate	19.051	0.5		9.058
FeSpleen	preequilibration_adequate	simulation_adequate	0.669	0.5		0.18600000000000005
FeLiver	preequilibration_adequate	simulation_adequate	11.903	0.5		3.636
FeGut	preequilibration_adequate	simulation_adequate	0.255	0.5		0.123
FeRest	preequilibration_adequate	simulation_adequate	26.447	0.5		10.6601
FeBM	preequilibration_adequate	simulation_adequate	40.069	0.5		13.463
FeOut	preequilibration_adequate	simulation_adequate	0.5	1.0		
FePlasma	preequilibration_adequate	simulation_adequate	0.266	1.0		0.123
FeRBC	preequilibration_adequate	simulation_adequate	47.953	1.0		17.864
FeSpleen	preequilibration_adequate	simulation_adequate	1.089	1.0		0.476
FeLiver	preequilibration_adequate	simulation_adequate	11.626	1.0		5.323
FeGut	preequilibration_adequate	simulation_adequate	0.188	1.0		0.095
FeRest	preequilibration_adequate	simulation_adequate	20.885	1.0		4.5586
FeBM	preequilibration_adequate	simulation_adequate	17.493	1.0		6.528
FeOut	preequilibration_adequate	simulation_adequate	1.979	4.0		
FePlasma	preequilibration_adequate	simulation_adequate	0.191	4.0		0.128
FeRBC	preequilibration_adequate	simulation_adequate	58.846	4.0		15.996
FeSpleen	preequilibration_adequate	simulation_adequate	0.5579999999999999	4.0		0.477
FeLiver	preequilibration_adequate	simulation_adequate	10.432	4.0		1.863
FeGut	preequilibration_adequate	simulation_adequate	0.107	4.0		0.04
FeRest	preequilibration_adequate	simulation_adequate	19.055	4.0		3.583
FeBM	preequilibration_adequate	simulation_adequate	8.832	4.0		2.337
FeOut	preequilibration_adequate	simulation_adequate	3.44	7.0		
FePlasma	preequilibration_adequate	simulation_adequate	0.092	7.0		0.019
FeRBC	preequilibration_adequate	simulation_adequate	51.719	7.0		14.297
FeSpleen	preequilibration_adequate	simulation_adequate	0.574	7.0		0.458
FeLiver	preequilibration_adequate	simulation_adequate	9.406	7.0		1.521
FeGut	preequilibration_adequate	simulation_adequate	0.029	7.0		0.006999999999999999
FeRest	preequilibration_adequate	simulation_adequate	27.585	7.0		21.9988
FeBM	preequilibration_adequate	simulation_adequate	7.155	7.0		2.347
FeOut	preequilibration_adequate	simulation_adequate	6.76	14.0		
FePlasma	preequilibration_adequate	simulation_adequate	0.293	14.0		0.023
FeRBC	preequilibration_adequate	simulation_adequate	58.57	14.0		12.757
FeSpleen	preequilibration_adequate	simulation_adequate	0.451	14.0		0.14300000000000002
FeLiver	preequilibration_adequate	simulation_adequate	8.536	14.0		4.007
FeGut	preequilibration_adequate	simulation_adequate	0.055	14.0		0.025
FeRest	preequilibration_adequate	simulation_adequate	18.018	14.0		5.8134
FeBM	preequilibration_adequate	simulation_adequate	7.317	14.0		4.904
FeOut	preequilibration_adequate	simulation_adequate	13.066	28.0		
FePlasma	preequilibration_adequate	simulation_adequate	0.3670000000000001	28.0		0.238
FeRBC	preequilibration_adequate	simulation_adequate	64.458	28.0		8.366
FeSpleen	preequilibration_adequate	simulation_adequate	0.512	28.0		0.153
FeLiver	preequilibration_adequate	simulation_adequate	5.256	28.0		1.592
FeGut	preequilibration_adequate	simulation_adequate	0.031	28.0		0.015
FeRest	preequilibration_adequate	simulation_adequate	12.583	28.0		5.1587
FeBM	preequilibration_adequate	simulation_adequate	3.727	28.0		1.074
FeOut	preequilibration_iron-deficient	simulation_iron-deficient	0.25	0.5		12.5907
FePlasma	preequilibration_iron-deficient	simulation_iron-deficient	1.743	0.5		1.006
FeRBC	preequilibration_iron-deficient	simulation_iron-deficient	27.409	0.5		5.4220000000000015
FeSpleen	preequilibration_iron-deficient	simulation_iron-deficient	1.436	0.5		0.443
FeLiver	preequilibration_iron-deficient	simulation_iron-deficient	10.941	0.5		4.297
FeGut	preequilibration_iron-deficient	simulation_iron-deficient	0.181	0.5		0.097
FeRest	preequilibration_iron-deficient	simulation_iron-deficient	27.345	0.5		5.6199
FeBM	preequilibration_iron-deficient	simulation_iron-deficient	30.695	0.5		8.824
FeOut	preequilibration_iron-deficient	simulation_iron-deficient	0.4970000000000001	1.0		28.4569
FePlasma	preequilibration_iron-deficient	simulation_iron-deficient	0.805	1.0		0.5820000000000001
FeRBC	preequilibration_iron-deficient	simulation_iron-deficient	58.581	1.0		26.46
FeSpleen	preequilibration_iron-deficient	simulation_iron-deficient	0.434	1.0		0.314
FeLiver	preequilibration_iron-deficient	simulation_iron-deficient	8.666	1.0		4.91
FeGut	preequilibration_iron-deficient	simulation_iron-deficient	0.076	1.0		0.029
FeRest	preequilibration_iron-deficient	simulation_iron-deficient	25.221	1.0		8.8046
FeBM	preequilibration_iron-deficient	simulation_iron-deficient	5.72	1.0		2.756
FeOut	preequilibration_iron-deficient	simulation_iron-deficient	1.979	4.0		14.2662
FePlasma	preequilibration_iron-deficient	simulation_iron-deficient	0.279	4.0		0.059
FeRBC	preequilibration_iron-deficient	simulation_iron-deficient	65.495	4.0		12.518
FeSpleen	preequilibration_iron-deficient	simulation_iron-deficient	0.07200000000000001	4.0		0.122
FeLiver	preequilibration_iron-deficient	simulation_iron-deficient	7.934	4.0		2.794
FeGut	preequilibration_iron-deficient	simulation_iron-deficient	0.081	4.0		0.03
FeRest	preequilibration_iron-deficient	simulation_iron-deficient	20.577	4.0		6.0748
FeBM	preequilibration_iron-deficient	simulation_iron-deficient	3.583	4.0		1.4480000000000002
FeOut	preequilibration_iron-deficient	simulation_iron-deficient	3.439	7.0		22.1867
FePlasma	preequilibration_iron-deficient	simulation_iron-deficient	0.306	7.0		0.343
FeRBC	preequilibration_iron-deficient	simulation_iron-deficient	74.238	7.0		21.427
FeSpleen	preequilibration_iron-deficient	simulation_iron-deficient	0.0	7.0		0.15
FeLiver	preequilibration_iron-deficient	simulation_iron-deficient	4.194	7.0		0.973
FeGut	preequilibration_iron-deficient	simulation_iron-deficient	0.037000000000000005	7.0		0.018000000000000002
FeRest	preequilibration_iron-deficient	simulation_iron-deficient	15.493	7.0		5.6113
FeBM	preequilibration_iron-deficient	simulation_iron-deficient	2.293	7.0		0.747
FeOut	preequilibration_iron-deficient	simulation_iron-deficient	6.76	14.0		27.8885
FePlasma	preequilibration_iron-deficient	simulation_iron-deficient	0.21	14.0		0.142
FeRBC	preequilibration_iron-deficient	simulation_iron-deficient	76.763	14.0		27.456
FeSpleen	preequilibration_iron-deficient	simulation_iron-deficient	0.0	14.0		0.15
FeLiver	preequilibration_iron-deficient	simulation_iron-deficient	3.582	14.0		1.744
FeGut	preequilibration_iron-deficient	simulation_iron-deficient	0.047	14.0		0.036000000000000004
FeRest	preequilibration_iron-deficient	simulation_iron-deficient	11.696	14.0		4.5246
FeBM	preequilibration_iron-deficient	simulation_iron-deficient	0.942	14.0		0.617
FeOut	preequilibration_iron-deficient	simulation_iron-deficient	13.064	28.0		8.3665
FePlasma	preequilibration_iron-deficient	simulation_iron-deficient	0.263	28.0		0.229
FeRBC	preequilibration_iron-deficient	simulation_iron-deficient	64.666	28.0		7.627000000000002
FeSpleen	preequilibration_iron-deficient	simulation_iron-deficient	0.0	28.0		0.15
FeLiver	preequilibration_iron-deficient	simulation_iron-deficient	1.501	28.0		0.396
FeGut	preequilibration_iron-deficient	simulation_iron-deficient	0.037000000000000005	28.0		0.017
FeRest	preequilibration_iron-deficient	simulation_iron-deficient	19.157	28.0		3.3912
FeBM	preequilibration_iron-deficient	simulation_iron-deficient	1.3119999999999998	28.0		0.308
FeOut	preequilibration_iron-rich	simulation_iron-rich	0.249	0.5		17.6799
FePlasma	preequilibration_iron-rich	simulation_iron-rich	2.186	0.5		0.626
FeRBC	preequilibration_iron-rich	simulation_iron-rich	7.22	0.5		2.139
FeSpleen	preequilibration_iron-rich	simulation_iron-rich	0.6990000000000001	0.5		0.483
FeLiver	preequilibration_iron-rich	simulation_iron-rich	17.805	0.5		6.146
FeGut	preequilibration_iron-rich	simulation_iron-rich	0.202	0.5		0.121
FeRest	preequilibration_iron-rich	simulation_iron-rich	35.359	0.5		9.1161
FeBM	preequilibration_iron-rich	simulation_iron-rich	36.28	0.5		13.656
FeOut	preequilibration_iron-rich	simulation_iron-rich	0.498	1.0		10.8017
FePlasma	preequilibration_iron-rich	simulation_iron-rich	0.397	1.0		0.207
FeRBC	preequilibration_iron-rich	simulation_iron-rich	11.912	1.0		3.895
FeSpleen	preequilibration_iron-rich	simulation_iron-rich	0.7909999999999999	1.0		0.429
FeLiver	preequilibration_iron-rich	simulation_iron-rich	32.613	1.0		6.292999999999998
FeGut	preequilibration_iron-rich	simulation_iron-rich	0.215	1.0		0.073
FeRest	preequilibration_iron-rich	simulation_iron-rich	39.419	1.0		6.3189
FeBM	preequilibration_iron-rich	simulation_iron-rich	14.155	1.0		4.663
FeOut	preequilibration_iron-rich	simulation_iron-rich	1.98	4.0		19.1365
FePlasma	preequilibration_iron-rich	simulation_iron-rich	0.146	4.0		0.056
FeRBC	preequilibration_iron-rich	simulation_iron-rich	27.992	4.0		2.862
FeSpleen	preequilibration_iron-rich	simulation_iron-rich	0.755	4.0		0.108
FeLiver	preequilibration_iron-rich	simulation_iron-rich	31.273000000000003	4.0		16.113
FeGut	preequilibration_iron-rich	simulation_iron-rich	0.198	4.0		0.163
FeRest	preequilibration_iron-rich	simulation_iron-rich	30.482	4.0		9.759
FeBM	preequilibration_iron-rich	simulation_iron-rich	7.174	4.0		1.763
FeOut	preequilibration_iron-rich	simulation_iron-rich	3.44	7.0		10.7541
FePlasma	preequilibration_iron-rich	simulation_iron-rich	0.083	7.0		0.028
FeRBC	preequilibration_iron-rich	simulation_iron-rich	42.01300000000001	7.0		6.363
FeSpleen	preequilibration_iron-deficient	simulation_iron-deficient	0.843	7.0		0.43
FeLiver	preequilibration_iron-deficient	simulation_iron-deficient	17.409000000000002	7.0		5.914
FeGut	preequilibration_iron-deficient	simulation_iron-deficient	0.05	7.0		0.029
FeRest	preequilibration_iron-deficient	simulation_iron-deficient	30.322	7.0		5.9322
