observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	observableTransformation
FeOut	preequilibration_adequate	simulation_adequate	0.248	0.5			lin
FePlasma	preequilibration_adequate	simulation_adequate	1.358	0.5		0.749	lin
FeRBC	preequilibration_adequate	simulation_adequate	19.051	0.5		9.058	lin
FeSpleen	preequilibration_adequate	simulation_adequate	0.669	0.5		0.186	lin
FeLiver	preequilibration_adequate	simulation_adequate	11.903	0.5		3.636	lin
FeGut	preequilibration_adequate	simulation_adequate	0.255	0.5		0.123	lin
FeRest	preequilibration_adequate	simulation_adequate	26.447	0.5		10.6601	lin
FeBM	preequilibration_adequate	simulation_adequate	40.069	0.5		13.463	lin
FeOut	preequilibration_adequate	simulation_adequate	0.5	1			lin
FePlasma	preequilibration_adequate	simulation_adequate	0.266	1		0.123	lin
FeRBC	preequilibration_adequate	simulation_adequate	47.953	1		17.864	lin
FeSpleen	preequilibration_adequate	simulation_adequate	1.089	1		0.476	lin
FeLiver	preequilibration_adequate	simulation_adequate	11.626	1		5.323	lin
FeGut	preequilibration_adequate	simulation_adequate	0.188	1		0.095	lin
FeRest	preequilibration_adequate	simulation_adequate	20.885	1		4.5586	lin
FeBM	preequilibration_adequate	simulation_adequate	17.493	1		6.528	lin
FeOut	preequilibration_adequate	simulation_adequate	1.979	4			lin
FePlasma	preequilibration_adequate	simulation_adequate	0.191	4		0.128	lin
FeRBC	preequilibration_adequate	simulation_adequate	58.846	4		15.996	lin
FeSpleen	preequilibration_adequate	simulation_adequate	0.558	4		0.477	lin
FeLiver	preequilibration_adequate	simulation_adequate	10.432	4		1.863	lin
FeGut	preequilibration_adequate	simulation_adequate	0.107	4		0.04	lin
FeRest	preequilibration_adequate	simulation_adequate	19.055	4		3.583	lin
FeBM	preequilibration_adequate	simulation_adequate	8.832	4		2.337	lin
FeOut	preequilibration_adequate	simulation_adequate	3.44	7			lin
FePlasma	preequilibration_adequate	simulation_adequate	0.092	7		0.019	lin
FeRBC	preequilibration_adequate	simulation_adequate	51.719	7		14.297	lin
FeSpleen	preequilibration_adequate	simulation_adequate	0.574	7		0.458	lin
FeLiver	preequilibration_adequate	simulation_adequate	9.406	7		1.521	lin
FeGut	preequilibration_adequate	simulation_adequate	0.029	7		0.007	lin
FeRest	preequilibration_adequate	simulation_adequate	27.585	7		21.9988	lin
FeBM	preequilibration_adequate	simulation_adequate	7.155	7		2.347	lin
FeOut	preequilibration_adequate	simulation_adequate	6.76	14			lin
FePlasma	preequilibration_adequate	simulation_adequate	0.293	14		0.023	lin
FeRBC	preequilibration_adequate	simulation_adequate	58.57	14		12.757	lin
FeSpleen	preequilibration_adequate	simulation_adequate	0.451	14		0.143	lin
FeLiver	preequilibration_adequate	simulation_adequate	8.536	14		4.007	lin
FeGut	preequilibration_adequate	simulation_adequate	0.055	14		0.025	lin
FeRest	preequilibration_adequate	simulation_adequate	18.018	14		5.8134	lin
FeBM	preequilibration_adequate	simulation_adequate	7.317	14		4.904	lin
FeOut	preequilibration_adequate	simulation_adequate	13.066	28			lin
FePlasma	preequilibration_adequate	simulation_adequate	0.367	28		0.238	lin
FeRBC	preequilibration_adequate	simulation_adequate	64.458	28		8.366	lin
FeSpleen	preequilibration_adequate	simulation_adequate	0.512	28		0.153	lin
FeLiver	preequilibration_adequate	simulation_adequate	5.256	28		1.592	lin
FeGut	preequilibration_adequate	simulation_adequate	0.031	28		0.015	lin
FeRest	preequilibration_adequate	simulation_adequate	12.583	28		5.1587	lin
FeBM	preequilibration_adequate	simulation_adequate	3.727	28		1.074	lin
FeOut	preequilibration_iron-deficient	simulation_iron-deficient	0.25	0.5		12.5907	lin
FePlasma	preequilibration_iron-deficient	simulation_iron-deficient	1.743	0.5		1.006	lin
FeRBC	preequilibration_iron-deficient	simulation_iron-deficient	27.409	0.5		5.422	lin
FeSpleen	preequilibration_iron-deficient	simulation_iron-deficient	1.436	0.5		0.443	lin
FeLiver	preequilibration_iron-deficient	simulation_iron-deficient	10.941	0.5		4.297	lin
FeGut	preequilibration_iron-deficient	simulation_iron-deficient	0.181	0.5		0.097	lin
FeRest	preequilibration_iron-deficient	simulation_iron-deficient	27.345	0.5		5.6199	lin
FeBM	preequilibration_iron-deficient	simulation_iron-deficient	30.695	0.5		8.824	lin
FeOut	preequilibration_iron-deficient	simulation_iron-deficient	0.497	1		28.4569	lin
