observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	observableTransformation	noiseDistribution
task0_model0_perelson1_V		condition1	inf	0		sd_task0_model0_perelson1_V	log10	normal
task0_model0_perelson1_V		condition1	inf	0.105		sd_task0_model0_perelson1_V	log10	normal
task0_model0_perelson1_V		condition1	inf	0.169		sd_task0_model0_perelson1_V	log10	normal
task0_model0_perelson1_V		condition1	inf	0.282		sd_task0_model0_perelson1_V	log10	normal
task0_model0_perelson1_V		condition1	inf	0.492		sd_task0_model0_perelson1_V	log10	normal
task0_model0_perelson1_V		condition1	inf	0.757		sd_task0_model0_perelson1_V	log10	normal
task0_model0_perelson1_V		condition1	inf	1.029		sd_task0_model0_perelson1_V	log10	normal
task0_model0_perelson1_V		condition1	inf	1.253		sd_task0_model0_perelson1_V	log10	normal
task0_model0_perelson1_V		condition1	inf	1.533		sd_task0_model0_perelson1_V	log10	normal
task0_model0_perelson1_V		condition1	inf	1.75		sd_task0_model0_perelson1_V	log10	normal
task0_model0_perelson1_V		condition1	inf	2.038		sd_task0_model0_perelson1_V	log10	normal
task0_model0_perelson1_V		condition1	inf	3.013		sd_task0_model0_perelson1_V	log10	normal
task0_model0_perelson1_V		condition1	inf	3.987		sd_task0_model0_perelson1_V	log10	normal
task0_model0_perelson1_V		condition1	inf	4.968		sd_task0_model0_perelson1_V	log10	normal
task0_model0_perelson1_V		condition1	inf	5.972		sd_task0_model0_perelson1_V	log10	normal
task0_model0_perelson1_V		condition1	inf	6.973		sd_task0_model0_perelson1_V	log10	normal
