parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	priorType	priorParameters	hierarchicalOptimization (optional)
CD274mRNA_production	CD274mRNA_{production}	log10	-5	3	-1.673482804	1			
DecoyR_binding	DecoyR_{binding}	log10	-5	3	-2.4144220677	1			
JAK2_p_inhibition	JAK2_{p,inhibition}	log10	-5	3	-1.1071265903	1			
JAK2_phosphorylation	JAK2_{phosphorylation}	log10	-5	3	0.0074113546	1			
Kon_IL13Rec	Kon_{IL13Rec}	log10	-5	3	-2.6424193832	1			
Rec_intern	Rec_{intern}	log10	-5	3	-0.4632783727	1			
Rec_phosphorylation	Rec_{phosphorylation}	log10	-5	3	2.9999999203	1			
Rec_recycle	Rec_{recycle}	log10	-5	3	-2.6782464632	1			
SOCS3_accumulation	SOCS3_{accumulation}	log10	-5	3	2.654924984	1			
SOCS3_degradation	SOCS3_{degradation}	log10	-5	3	-1.3627082163	1			
SOCS3_translation	SOCS3_{translation}	log10	-5	3	1.1964163169	1			
SOCS3mRNA_production	SOCS3mRNA_{production}	log10	-5	3	-0.8435371172	1			
STAT5_phosphorylation	STAT5_{phosphorylation}	log10	-5	3	-1.7103647937	1			
init_Rec_i	init_{Rec,i}	log10	-5	3	2.3711759486	1			
pJAK2_dephosphorylation	pJAK2_{dephosphorylation}	log10	-5	3	-3.7547489514	1			
pRec_degradation	pRec_{degradation}	log10	-5	3	-0.6786626419	1			
pRec_intern	pRec_{intern}	log10	-5	3	-0.2326425973	1			
pSTAT5_dephosphorylation	pSTAT5_{dephosphorylation}	log10	-5	3	-3.5609321971	1			
scaling_CD274mRNA	scaling_{CD274mRNA}	log10	-5	3	-2.0886912613	1			
scaling_IL13_cell	scaling_{IL13,cell}	log10	-5	3	0.7404405506	1			
scaling_SOCS3mRNA	scaling_{SOCS3mRNA}	log10	-5	3	-0.2356087068	1			
scaling_pIL4Ra	scaling_{pIL4Ra}	log10	-5	3	0.4735997891	1			
scaling_pJAK2	scaling_{pJAK2}	log10	-5	3	-0.066894084	1			
