parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	priorType	priorParameters	hierarchicalOptimization (optional)
IR_obs_std	IR_{obs,std}	log10	-5	-1.25	-1.326189900317860	1			
fragments	fragments	lin	0	1	0.999999072086866	1			
ini_R1	ini_{R1}	log10	-5	3	1.769749165556490	1			
ini_R2fold	ini_{R2fold}	log10	-5	3	1.193379573811280	1			
ka1	ka1	log10	-5	3	-2.420266741357590	1			
ka2fold	ka2fold	log10	-5	3	0.690404902719026	1			
kd1	kd1	log10	-5	3	0.961195911453211	1			
kd2fold	kd2fold	log10	-5	3	0.841519867982954	1			
kin	kin	log10	-5	3	-0.429611493204321	1			
kin2	kin2	log10	-5	3	-0.268990429804171	1			
km_nExpID1	km_{nExpID1}	log10	3	8	7.999999994001770	1			
km_nExpID2	km_{nExpID2}	log10	3	8	7.999999999679610	1			
km_nExpID3	km_{nExpID3}	log10	3	8	7.999999997754970	1			
km_nExpID4	km_{nExpID4}	log10	3	8	7.999999998996340	1			
koff_unspec	koff_{unspec}	log10	-5	3	1.002487300571570	1			
kon_unspec	kon_{unspec}	log10	-5	3	1.306420419098650	1			
kout	kout	log10	-5	3	-1.346064203087610	1			
kout2	kout2	log10	-5	3	-1.450629693705740	1			
kout_frag	kout_{frag}	log10	-5	3	-1.957971875988350	1			
offset	offset	log10	-5	3	1.164836712378390	1			
offset_nExpID1	offset_{nExpID1}	log10	-5	5	-1.599890839218180	1			
offset_nExpID2	offset_{nExpID2}	log10	-5	5	-1.662644618126580	1			
offset_nExpID3	offset_{nExpID3}	log10	-5	5	-2.135678145245020	1			
offset_nExpID4	offset_{nExpID4}	log10	-5	5	0.195097187121920	1			
scale	scale	log10	-5	3	-0.880061554890055	1			
scaleElisa_nExpID1	scaleElisa_{nExpID1}	lin	0.1	1	0.538009450729947	1			
scaleElisa_nExpID2	scaleElisa_{nExpID2}	lin	0.1	1	0.569911881220408	1			
scaleElisa_nExpID3	scaleElisa_{nExpID3}	lin	0.1	1	0.100000000170598	1			
scaleElisa_nExpID4	scaleElisa_{nExpID4}	lin	0.1	1	0.999999999951202	1			
std	std	log10	-5	3	-0.604981042545965	1			
