parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	priorType	priorParameters	hierarchicalOptimization (optional)
f_pstat3_imp	f_{pstat3,imp}	lin	0.0	100.0	4.97118541	1			
gp130_act_jak1	gp130_{act,jak1}	log10	1e-15	1000000.0	0.5370037387829198	1			
gp130_deg	gp130_{deg}	log10	1e-05	1000.0	0.0038077515510332493	1			
gp130_pro	gp130_{pro}	log10	1e-05	1000.0	0.002404846062426983	1			
jak1_act_basal	jak1_{act,basal}	log10	1e-15	1000000.0	0.004312995382601207	1			
jak1_act_il6	jak1_{act,il6}	log10	1e-15	1000000.0	0.009075828017020476	1			
jak1_gp130_dea	jak1_{gp130,dea}	log10	1e-15	1000000.0	0.078166675840264	1			
jak1_inh_ruxolitinib	jak1_{inh,ruxolitinib}	log10	1e-15	1000000.0	0.006023180183652413	1			
offset_npstat3_wb_bohl_hep_2006_02_09_FourPulses_ReceptorNucleus	offset_{npstat3,wb,bohl,hep,2006,02,09,FourPulses,ReceptorNucleus}	log10	1e-15	1000000.0	0.044011799639711795	1			
offset_npstat3_wb_bohl_hep_2006_04_20_ThreePulses_ThreeDoses	offset_{npstat3,wb,bohl,hep,2006,04,20,ThreePulses,ThreeDoses}	log10	1e-15	1000000.0	0.07174195544306297	1			
offset_npstat3_wb_bohl_hep_2006_05_16_ThreeDoses	offset_{npstat3,wb,bohl,hep,2006,05,16,ThreeDoses}	log10	1e-15	1000000.0	0.09088241574507541	1			
offset_npstat3_wb_bohl_hep_2006_06_07_ActD	offset_{npstat3,wb,bohl,hep,2006,06,07,ActD}	log10	1e-15	1000000.0	0.11956294068593405	1			
offset_npstat3_wb_bohl_hep_2006_11_15_FourPulses_120min	offset_{npstat3,wb,bohl,hep,2006,11,15,FourPulses,120min}	log10	1e-15	1000000.0	0.10640345559888854	1			
offset_npstat3_wb_bohl_hep_2007_04_04_DoseResponse_3TP	offset_{npstat3,wb,bohl,hep,2007,04,04,DoseResponse,3TP}	log10	1e-15	1000000.0	0.10347527498270397	1			
offset_npstat3_wb_bohl_hep_2007_07_10_ActD	offset_{npstat3,wb,bohl,hep,2007,07,10,ActD}	log10	1e-15	1000000.0	0.09514832210154074	1			
offset_npstat3_wb_bohl_hep_2007_07_17_DRTC	offset_{npstat3,wb,bohl,hep,2007,07,17,DRTC}	log10	1e-15	1000000.0	0.08843595664353737	1			
offset_npstat3_wb_bohl_hep_2009_07_07_DRTC	offset_{npstat3,wb,bohl,hep,2009,07,07,DRTC}	log10	1e-15	1000000.0	0.11389319177159637	1			
offset_pgp130_wb_bohl_hep_2004_10_26_Cont_30min	offset_{pgp130,wb,bohl,hep,2004,10,26,Cont,30min}	log10	1e-15	1000000.0	0.056603586643256446	1			
offset_pgp130_wb_bohl_hep_2005_02_03_Cont40ng_T90min	offset_{pgp130,wb,bohl,hep,2005,02,03,Cont40ng,T90min}	log10	1e-15	1000000.0	0.15699864829592117	1			
offset_pgp130_wb_bohl_hep_2005_03_01_Pulse20min	offset_{pgp130,wb,bohl,hep,2005,03,01,Pulse20min}	log10	1e-15	1000000.0	0.01041369420739785	1			
offset_pgp130_wb_bohl_hep_2005_03_16_Cont40ng_23min	offset_{pgp130,wb,bohl,hep,2005,03,16,Cont40ng,23min}	log10	1e-15	1000000.0	0.045085974202407425	1			
offset_pgp130_wb_bohl_hep_2005_07_26_Pulse5min	offset_{pgp130,wb,bohl,hep,2005,07,26,Pulse5min}	log10	1e-15	1000000.0	0.3141533063728154	1			
offset_pgp130_wb_bohl_hep_2006_02_09_FourPulses_ReceptorNucleus	offset_{pgp130,wb,bohl,hep,2006,02,09,FourPulses,ReceptorNucleus}	log10	1e-15	1000000.0	0.2828212794919367	1			
offset_pgp130_wb_bohl_hep_2006_04_20_ThreePulses_ThreeDoses	offset_{pgp130,wb,bohl,hep,2006,04,20,ThreePulses,ThreeDoses}	log10	1e-15	1000000.0	0.14414011954071593	1			
offset_pgp130_wb_bohl_hep_2006_05_16_ThreeDoses	offset_{pgp130,wb,bohl,hep,2006,05,16,ThreeDoses}	log10	1e-15	1000000.0	0.08115788915642162	1			
offset_pgp130_wb_bohl_hep_2006_06_07_ActD	offset_{pgp130,wb,bohl,hep,2006,06,07,ActD}	log10	1e-15	1000000.0	0.21355369687736955	1			
offset_pgp130_wb_bohl_hep_2006_11_15_FourPulses_120min	offset_{pgp130,wb,bohl,hep,2006,11,15,FourPulses,120min}	log10	1e-15	1000000.0	0.39937803605189703	1			
offset_pgp130_wb_bohl_hep_2007_04_04_DoseResponse_3TP	offset_{pgp130,wb,bohl,hep,2007,04,04,DoseResponse,3TP}	log10	1e-15	1000000.0	0.13161489020098677	1			
offset_pgp130_wb_bohl_hep_2007_07_10_ActD	offset_{pgp130,wb,bohl,hep,2007,07,10,ActD}	log10	1e-15	1000000.0	0.43495960400061995	1			
offset_pgp130_wb_bohl_hep_2007_07_17_DRTC	offset_{pgp130,wb,bohl,hep,2007,07,17,DRTC}	log10	1e-15	1000000.0	0.2043769323000826	1			
offset_pgp130_wb_bohl_hep_2009_06_23_DRTC	offset_{pgp130,wb,bohl,hep,2009,06,23,DRTC}	log10	1e-15	1000000.0	0.11912217173304601	1			
offset_pgp130_wb_bohl_hep_2009_07_07_DRTC	offset_{pgp130,wb,bohl,hep,2009,07,07,DRTC}	log10	1e-15	1000000.0	0.37601835175998377	1			
offset_pjak1_wb_bohl_hep_2004_10_26_Cont_30min	offset_{pjak1,wb,bohl,hep,2004,10,26,Cont,30min}	log10	1e-15	1000000.0	0.27268314706887625	1			
offset_pjak1_wb_bohl_hep_2005_02_03_Cont40ng_T90min	offset_{pjak1,wb,bohl,hep,2005,02,03,Cont40ng,T90min}	log10	1e-15	1000000.0	0.2449499522319766	1			
offset_pjak1_wb_bohl_hep_2005_03_01_Pulse20min	offset_{pjak1,wb,bohl,hep,2005,03,01,Pulse20min}	log10	1e-15	1000000.0	0.13808105144390126	1			
offset_pjak1_wb_bohl_hep_2005_03_16_Cont40ng_23min	offset_{pjak1,wb,bohl,hep,2005,03,16,Cont40ng,23min}	log10	1e-15	1000000.0	0.2110956161249419	1			
offset_pjak1_wb_bohl_hep_2005_07_26_Pulse5min	offset_{pjak1,wb,bohl,hep,2005,07,26,Pulse5min}	log10	1e-15	1000000.0	0.24624860874482757	1			
offset_pjak1_wb_bohl_hep_2007_04_04_DoseResponse_3TP	offset_{pjak1,wb,bohl,hep,2007,04,04,DoseResponse,3TP}	log10	1e-15	1000000.0	0.24394854131408172	1			
offset_pjak1_wb_bohl_hep_2009_06_23_DRTC	offset_{pjak1,wb,bohl,hep,2009,06,23,DRTC}	log10	1e-15	1000000.0	0.45100919074723733	1			
offset_pjak1_wb_bohl_hep_2009_07_07_DRTC	offset_{pjak1,wb,bohl,hep,2009,07,07,DRTC}	log10	1e-15	1000000.0	0.523372567239908	1			
offset_pstat3_lumi_braun_hep_2012_05_02_Stattic_40_Stat3_Inhibitor	offset_{pstat3,lumi,braun,hep,2012,05,02,Stattic,40,Stat3,Inhibitor}	log10	1e-05	1000.0	0.0948847807699113	1			
offset_pstat3_lumi_braun_hep_2012_05_03_Stattic_60_Stat3_Inhibitor	offset_{pstat3,lumi,braun,hep,2012,05,03,Stattic,60,Stat3,Inhibitor}	lin	-5.0	3.0	0.0	0			
offset_pstat3_lumi_braun_hep_2013_11_04_Stattic_Ruxolitinib_Inhibitor	offset_{pstat3,lumi,braun,hep,2013,11,04,Stattic,Ruxolitinib,Inhibitor}	log10	1e-15	1000000.0	0.11264180124035722	1			
offset_pstat3_lumi_braun_hep_2013_11_12_Stattic_Ruxolitinib_Inhibitor	offset_{pstat3,lumi,braun,hep,2013,11,12,Stattic,Ruxolitinib,Inhibitor}	log10	1e-15	1000000.0	0.1341456265626426	1			
offset_pstat3_wb_bohl_hep_2004_10_26_Cont_30min	offset_{pstat3,wb,bohl,hep,2004,10,26,Cont,30min}	log10	1e-15	1000000.0	0.20281371993870878	1			
offset_pstat3_wb_bohl_hep_2005_02_03_Cont40ng_T90min	offset_{pstat3,wb,bohl,hep,2005,02,03,Cont40ng,T90min}	log10	1e-15	1000000.0	0.1751143804692245	1			
offset_pstat3_wb_bohl_hep_2005_02_14_DoseResponse_T15min	offset_{pstat3,wb,bohl,hep,2005,02,14,DoseResponse,T15min}	lin	-5.0	3.0	0.0	0			
offset_pstat3_wb_bohl_hep_2005_03_01_Pulse20min	offset_{pstat3,wb,bohl,hep,2005,03,01,Pulse20min}	log10	1e-15	1000000.0	0.06917732952651522	1			
offset_pstat3_wb_bohl_hep_2005_03_16_Cont40ng_23min	offset_{pstat3,wb,bohl,hep,2005,03,16,Cont40ng,23min}	log10	1e-15	1000000.0	0.11533346848648632	1			
offset_pstat3_wb_bohl_hep_2005_07_26_Pulse5min	offset_{pstat3,wb,bohl,hep,2005,07,26,Pulse5min}	lin	-5.0	3.0	0.0	0			
offset_pstat3_wb_bohl_hep_2005_11_22_DoseResponseUntil120ng	offset_{pstat3,wb,bohl,hep,2005,11,22,DoseResponseUntil120ng}	log10	1e-15	1000000.0	0.028804065113403176	1			
offset_pstat3_wb_bohl_hep_2006_04_20_ThreePulses_ThreeDoses	offset_{pstat3,wb,bohl,hep,2006,04,20,ThreePulses,ThreeDoses}	log10	1e-15	1000000.0	0.02430593490153327	1			
offset_pstat3_wb_bohl_hep_2006_05_16_ThreeDoses	offset_{pstat3,wb,bohl,hep,2006,05,16,ThreeDoses}	log10	1e-15	1000000.0	0.09694599985310727	1			
offset_pstat3_wb_bohl_hep_2006_06_07_ActD	offset_{pstat3,wb,bohl,hep,2006,06,07,ActD}	log10	1e-15	1000000.0	0.07968042880432166	1			
offset_pstat3_wb_bohl_hep_2006_11_15_FourPulses_120min	offset_{pstat3,wb,bohl,hep,2006,11,15,FourPulses,120min}	log10	1e-15	1000000.0	0.028456236177791364	1			
offset_pstat3_wb_bohl_hep_2007_04_04_DoseResponse_3TP	offset_{pstat3,wb,bohl,hep,2007,04,04,DoseResponse,3TP}	log10	1e-15	1000000.0	0.13275113230564672	1			
offset_pstat3_wb_bohl_hep_2007_07_10_ActD	offset_{pstat3,wb,bohl,hep,2007,07,10,ActD}	log10	1e-15	1000000.0	0.03046023176774379	1			
offset_pstat3_wb_bohl_hep_2007_07_17_DRTC	offset_{pstat3,wb,bohl,hep,2007,07,17,DRTC}	log10	1e-15	1000000.0	0.0025382280091134912	1			
offset_pstat3_wb_bohl_hep_2009_06_23_DRTC	offset_{pstat3,wb,bohl,hep,2009,06,23,DRTC}	log10	1e-15	1000000.0	0.06558872238788072	1			
offset_pstat3_wb_bohl_hep_2009_07_07_DRTC	offset_{pstat3,wb,bohl,hep,2009,07,07,DRTC}	log10	1e-15	1000000.0	0.27687972529313354	1			
