observableId;preequilibrationCondition;simulationCondition;measurement;time;observableParameters;noiseParameters;observableTransformation
tSTAT_au;;condition1;1;0;"scale_tSTAT; offset_tSTAT";0	084;lin
tSTAT_au;;condition1;0	9275;2;"scale_tSTAT; offset_tSTAT";0	046;lin
tSTAT_au;;condition1;0	7923;4;"scale_tSTAT; offset_tSTAT";0	038;lin
tSTAT_au;;condition1;0	7778;6;"scale_tSTAT; offset_tSTAT";0	032;lin
tSTAT_au;;condition1;0	7053;8;"scale_tSTAT; offset_tSTAT";0	033;lin
tSTAT_au;;condition1;0	6522;10;"scale_tSTAT; offset_tSTAT";0	037;lin
tSTAT_au;;condition1;0	5894;12;"scale_tSTAT; offset_tSTAT";0	039;lin
tSTAT_au;;condition1;0	5894;14;"scale_tSTAT; offset_tSTAT";0	04;lin
tSTAT_au;;condition1;0	6377;16;"scale_tSTAT; offset_tSTAT";0	03;lin
tSTAT_au;;condition1;0	6425;18;"scale_tSTAT; offset_tSTAT";0	028;lin
tSTAT_au;;condition1;0	6908;20;"scale_tSTAT; offset_tSTAT";0	03;lin
tSTAT_au;;condition1;0	6908;25;"scale_tSTAT; offset_tSTAT";0	031;lin
tSTAT_au;;condition1;0	7585;30;"scale_tSTAT; offset_tSTAT";0	032;lin
tSTAT_au;;condition1;0	8068;40;"scale_tSTAT; offset_tSTAT";0	04;lin
tSTAT_au;;condition1;0	9275;50;"scale_tSTAT; offset_tSTAT";0	046;lin
tSTAT_au;;condition1;0	971;60;"scale_tSTAT; offset_tSTAT";0	082;lin
pSTAT_au;;condition1;0	344058121;2;"scale_pSTAT; offset_tSTAT";0	051894136;lin
pSTAT_au;;condition1;0	897249611;4;"scale_pSTAT; offset_tSTAT";0	068500259;lin
pSTAT_au;;condition1;1;6;"scale_pSTAT; offset_tSTAT";0	07265179;lin
pSTAT_au;;condition1;0	963051375;8;"scale_pSTAT; offset_tSTAT";0	067462377;lin
pSTAT_au;;condition1;0	847119875;10;"scale_pSTAT; offset_tSTAT";0	052932019;lin
pSTAT_au;;condition1;0	783912818;12;"scale_pSTAT; offset_tSTAT";0	055007784;lin
pSTAT_au;;condition1;0	797093928;14;"scale_pSTAT; offset_tSTAT";0	052932019;lin
pSTAT_au;;condition1;0	873482097;16;"scale_pSTAT; offset_tSTAT";0	041515309;lin
pSTAT_au;;condition1;0	797093928;18;"scale_pSTAT; offset_tSTAT";0	041515309;lin
pSTAT_au;;condition1;0	831344058;20;"scale_pSTAT; offset_tSTAT";0	049818371;lin
pSTAT_au;;condition1;0	812869746;25;"scale_pSTAT; offset_tSTAT";0	053969901;lin
pSTAT_au;;condition1;0	839231967;30;"scale_pSTAT; offset_tSTAT";0	056045667;lin
pSTAT_au;;condition1;0	507317073;40;"scale_pSTAT; offset_tSTAT";0	05708355;lin
pSTAT_au;;condition1;0	288738972;50;"scale_pSTAT; offset_tSTAT";0	04566684;lin
pSTAT_au;;condition1;0	264971458;60;"scale_pSTAT; offset_tSTAT";0	073689673;lin
pEpoR_au;;condition1;0	01713;0;;0	01713;lin
pEpoR_au;;condition1;0	145;2;;0	145;lin
pEpoR_au;;condition1;0	2442;4;;0	2442;lin
pEpoR_au;;condition1;0	7659;6;;0	7659;lin
pEpoR_au;;condition1;1;8;;1;lin
pEpoR_au;;condition1;0	8605;10;;0	8605;lin
pEpoR_au;;condition1;0	7829;12;;0	7829;lin
pEpoR_au;;condition1;0	5705;14;;0	5705;lin
pEpoR_au;;condition1;0	6217;16;;0	6217;lin
pEpoR_au;;condition1;0	331;18;;0	331;lin
pEpoR_au;;condition1;0	3388;20;;0	3388;lin
pEpoR_au;;condition1;0	3116;25;;0	3116;lin
pEpoR_au;;condition1;0	05062;30;;0	05062;lin
pEpoR_au;;condition1;0	02504;40;;0	02504;lin
pEpoR_au;;condition1;0	01163;50;;0	01163;lin
;;;;;;;
;;;;;;;
