parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	priorType	priorParameters	hierarchicalOptimization (optional)
init_STAT	init_{STAT}	log10	1e-05	1000.0	1.0	0			
offset_pSTAT	offset_{pSTAT}	log10	1e-05	1000.0	0.2396067958723779	1			
offset_tSTAT	offset_{tSTAT}	log10	1e-05	1000.0	0.271957330207209	1			
p1	p1	log10	1e-05	1000.0	3.55481531278353	1			
p2	p2	log10	1e-05	1000.0	999.999999999908	1			
p3	p3	log10	1e-05	1000.0	0.12385385720931996	1			
p4	p4	log10	1e-05	1000.0	0.9707250419258827	1			
scale_pSTAT	scale_{pSTAT}	log10	1e-05	1000.0	1.0994139220287715	1			
scale_tSTAT	scale_{tSTAT}	log10	1e-05	1000.0	0.6674432200228801	1			
sp1	sp1	log10	1e-05	1000.0	0.0018717398140264236	1			
sp2	sp2	log10	1e-05	1000.0	0.5553104462807946	1			
sp3	sp3	log10	1e-05	1000.0	0.8499831344558452	1			
sp4	sp4	log10	1e-05	1000.0	0.3721711825853704	1			
sp5	sp5	log10	1e-05	1000.0	3.446323761098095e-05	1			
