observableId	preequilibrationCondition	simulationCondition	measurement	time	observableParameters	noiseParameters	observableTransformation
tSTAT_au		model1_data1	0.9394050295029146	0		0.084	
tSTAT_au		model1_data1	0.9355480271849665	2		0.046	
tSTAT_au		model1_data1	0.884131965397325	4		0.038	
tSTAT_au		model1_data1	0.7684498091553055	6		0.032	
tSTAT_au		model1_data1	0.68279236614267	8		0.033	
tSTAT_au		model1_data1	0.64855301000795	10		0.037	
tSTAT_au		model1_data1	0.6473593465651213	12		0.039	
tSTAT_au		model1_data1	0.6552696545663796	14		0.04	
tSTAT_au		model1_data1	0.6606699587013377	16		0.03	
tSTAT_au		model1_data1	0.6626635587761844	18		0.028	
tSTAT_au		model1_data1	0.6636520211346899	20		0.03	
tSTAT_au		model1_data1	0.6712680418766745	25		0.031	
tSTAT_au		model1_data1	0.6926174409517618	30		0.032	
tSTAT_au		model1_data1	0.7876246531435183	40		0.04	
tSTAT_au		model1_data1	0.8798378627085275	50		0.046	
tSTAT_au		model1_data1	0.9203244085255502	60		0.082	
pSTAT_au		model1_data1	0.34443893342860793	2		0.05189413596263622	
pSTAT_au		model1_data1	0.9107821537156099	4		0.06850025947067981	
pSTAT_au		model1_data1	1.0484594574124453	6		0.07265179034769072	
pSTAT_au		model1_data1	0.9077472807422245	8		0.06746237675142709	
pSTAT_au		model1_data1	0.8409728234745049	10		0.05293201868188895	
pSTAT_au		model1_data1	0.8293608464590015	12		0.05500778412039439	
pSTAT_au		model1_data1	0.8366473157816582	14		0.05293201868188895	
pSTAT_au		model1_data1	0.8415949152093843	16		0.04151530877010898	
pSTAT_au		model1_data1	0.8398003669671393	18		0.04151530877010898	
pSTAT_au		model1_data1	0.8330850316521436	20		0.049818370524130774	
pSTAT_au		model1_data1	0.7979955946422037	25		0.053969901401141676	
pSTAT_au		model1_data1	0.7226767767792084	30		0.05604566683964712	
pSTAT_au		model1_data1	0.481035383197448	40		0.05708354955889984	
pSTAT_au		model1_data1	0.32258059462051947	50		0.04566683964711987	
pSTAT_au		model1_data1	0.26536505072431094	60		0.07368967306694345	
pEpoR_au		model1_data1	0.0018713658090103898	0			
pEpoR_au		model1_data1	0.045128154803055376	2			
pEpoR_au		model1_data1	0.31327296791719944	4			
pEpoR_au		model1_data1	0.7872431978718314	6			
pEpoR_au		model1_data1	0.9688792323737924	8			
pEpoR_au		model1_data1	0.8499807507937059	10			
pEpoR_au		model1_data1	0.7259911358849499	12			
pEpoR_au		model1_data1	0.6314235701993979	14			
pEpoR_au		model1_data1	0.5471193330878505	16			
pEpoR_au		model1_data1	0.46208268005828346	18			
pEpoR_au		model1_data1	0.3721673187094664	20			
pEpoR_au		model1_data1	0.16446543345940448	25			
pEpoR_au		model1_data1	0.052686975195394094	30			
pEpoR_au		model1_data1	0.0032201001735524272	40			
pEpoR_au		model1_data1	0.00020763515975533574	50			
