parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	priorType	priorParameters	hierarchicalOptimization (optional)
a11	a11	log10	-4	2	-0.738660211056399	1			
a12	a12	log10	-4	2	1.426044719692900	1			
a21	a21	log10	-4	2	0.273474637787738	1			
a22	a22	log10	-4	2	-3.999999999999970	1			
a31	a31	log10	-4	2	-0.868589682331258	1			
a32	a32	log10	-4	2	-3.999999999999970	1			
a33	a33	log10	-4	2	-3.999999999999970	1			
m11	m11	log10	2	10	9.999999999999720	1			
m22	m22	log10	2	10	3.333147684006310	1			
m31	m31	log10	2	10	9.998696713763880	1			
m33	m33	log10	2	10	7.621915706734630	1			
p11	p11	log10	-5	5	0.627758992601462	1			
p12	p12	log10	-5	5	-2.226510549328090	1			
p13	p13	log10	-5	5	-2.609019439638140	1			
p21	p21	log10	-5	5	0.750434084195419	1			
p22	p22	log10	-5	5	1.338171241137180	1			
p31	p31	log10	-5	5	3.404487191969270	1			
p32	p32	log10	-5	5	1.224474507535010	1			
p33	p33	log10	-5	5	4.335635193114780	1			
pu2	pu2	log10	-5	3	0.000000000000000	0			
pu3	pu3	log10	-1	8	7.999999999999980	1			
pu4	pu4	log10	-1	8	7.520268715950820	1			
pu5	pu5	log10	-1	8	1.527578047304780	1			
pu6	pu6	log10	-1	8	2.054482851861610	1			
s12	s12	log10	2	7	4.946752900340930	1			
s21	s21	log10	2	7	6.471460036356470	1			
s31	s31	log10	2	7	6.636283381761330	1			
scale_yCERTpRN24	scale_{yCERTpRN24}	log10	-5	3	2.082887327348950	1			
scale_yPI4K3BpRN24	scale_{yPI4K3BpRN24}	log10	-5	3	0.530669427266069	1			
scale_yPKDpN0	scale_{yPKDpN0}	log10	-5	3	-2.144090459744440	1			
scale_yPKDpN24	scale_{yPKDpN24}	log10	-5	3	-2.472351910692430	1			
scale_yPKDpN25	scale_{yPKDpN25}	log10	-5	3	-3.624611925218410	1			
