observableId	preequilibrationCondition	simulationCondition	measurement	time	observableParameters	noiseParameters	observableTransformation
yPI4K3Bt		model1_data2	80032724.62497759	24.0			
yPI4K3Bt		model1_data2	80032724.62497759	24.0			
yPI4K3Bt		model1_data2	80032724.62497759	24.0			
yCERTt		model1_data2	74192014.9947344	0.0			
yCERTt		model1_data2	74192014.9947344	0.0			
yCERTt		model1_data2	74192014.9947344	0.0			
yPKDpN0		model1_data2	0.8888806309102777	0.0			
yPKDpN0		model1_data2	1.3414135189810001	3.0			
yPKDpN0		model1_data2	1.421482919882957	6.0			
yPKDpN0		model1_data2	0.8888806309102777	0.0			
yPKDpN0		model1_data2	1.3414135189810001	3.0			
yPKDpN0		model1_data2	1.421482919882957	6.0			
yPKDpN0		model1_data2	0.8888806309102777	0.0			
yPKDpN0		model1_data2	1.3414135189810001	3.0			
yPKDpN0		model1_data2	1.421482919882957	6.0			
yPKDpN24		model1_data2	1.0001914554897031	24.0			
yPKDpN24		model1_data2	8.970292035600679	27.0			
yPKDpN24		model1_data2	7.207912691231494	30.0			
yPKDpN24		model1_data2	1.0001914554897031	24.0			
yPKDpN24		model1_data2	8.970292035600679	27.0			
yPKDpN24		model1_data2	7.207912691231494	30.0			
yPKDpN24		model1_data2	1.0001914554897031	24.0			
yPKDpN24		model1_data2	8.970292035600679	27.0			
yPKDpN24		model1_data2	7.207912691231494	30.0			
yPKDpN25		model1_data2	0.07044061281784184	24.0			
yPKDpN25		model1_data2	0.8081706722609316	24.08			
yPKDpN25		model1_data2	1.039528810165805	24.17			
yPKDpN25		model1_data2	1.1581577136101477	24.25			
yPKDpN25		model1_data2	1.21309198533554	24.5			
yPKDpN25		model1_data2	1.0214459679951564	25.0			
yPKDpN25		model1_data2	0.07044061281784184	24.0			
yPKDpN25		model1_data2	0.8081706722609316	24.08			
yPKDpN25		model1_data2	1.039528810165805	24.17			
yPKDpN25		model1_data2	1.1581577136101477	24.25			
yPKDpN25		model1_data2	1.21309198533554	24.5			
yPKDpN25		model1_data2	1.0214459679951564	25.0			
yPKDpN25		model1_data2	0.07044061281784184	24.0			
yPKDpN25		model1_data2	0.8081706722609316	24.08			
yPKDpN25		model1_data2	1.039528810165805	24.17			
yPKDpN25		model1_data2	1.1581577136101477	24.25			
yPKDpN25		model1_data2	1.21309198533554	24.5			
yPKDpN25		model1_data2	1.0214459679951564	25.0			
yPKDpN25		model1_data2	0.8081706722609316	24.08			
yPKDpN25		model1_data2	1.039528810165805	24.17			
yPKDpN25		model1_data2	1.1581577136101477	24.25			
yPKDpN25		model1_data2	1.21309198533554	24.5			
yPKDpN25		model1_data2	1.0214459679951564	25.0			
yPI4K3BpRN24		model1_data2	1.0802187912348526	24.0			
yPI4K3BpRN24		model1_data2	1.9387330692003089	24.08			
yPI4K3BpRN24		model1_data2	2.296010354469132	24.17			
yPI4K3BpRN24		model1_data2	2.37827314571914	24.25			
yPI4K3BpRN24		model1_data2	2.4262824506355654	24.5			
yPI4K3BpRN24		model1_data2	2.4131715609071858	25.0			
yPI4K3BpRN24		model1_data2	2.309697732340044	27.0			
yPI4K3BpRN24		model1_data2	2.236675838447311	30.0			
yPI4K3BpRN24		model1_data2	1.0802187912348526	24.0			
yPI4K3BpRN24		model1_data2	1.9387330692003089	24.08			
yPI4K3BpRN24		model1_data2	2.296010354469132	24.17			
yPI4K3BpRN24		model1_data2	2.37827314571914	24.25			
yPI4K3BpRN24		model1_data2	2.4262824506355654	24.5			
yPI4K3BpRN24		model1_data2	2.4131715609071858	25.0			
yPI4K3BpRN24		model1_data2	2.309697732340044	27.0			
yPI4K3BpRN24		model1_data2	2.236675838447311	30.0			
yPI4K3BpRN24		model1_data2	1.0802187912348526	24.0			
yPI4K3BpRN24		model1_data2	2.296010354469132	24.17			
yPI4K3BpRN24		model1_data2	2.37827314571914	24.25			
yPI4K3BpRN24		model1_data2	2.4262824506355654	24.5			
yPI4K3BpRN24		model1_data2	2.4131715609071858	25.0			
yPI4K3BpRN24		model1_data2	2.309697732340044	27.0			
yPI4K3BpRN24		model1_data2	2.236675838447311	30.0			
yPI4K3BpRN24		model1_data2	1.0802187912348526	24.0			
yPI4K3BpRN24		model1_data2	2.37827314571914	24.25			
yPI4K3BpRN24		model1_data2	2.4131715609071858	25.0			
yPI4K3BpRN24		model1_data2	1.0802187912348526	24.0			
yPI4K3BpRN24		model1_data2	2.37827314571914	24.25			
yPI4K3BpRN24		model1_data2	2.4131715609071858	25.0			
yPKDt		model1_data3	466658.66017671634	0.0			
yPKDt		model1_data3	466658.66017671634	0.0			
yPKDt		model1_data3	466658.66017671634	0.0			
