parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	priorType	priorParameters	hierarchicalOptimization (optional)
inflowp	{inflowp}	log10	-5	3	-1.515968295267490	1			
k00_01	k_{00->01}	log10	-5	3	2.998819395167230	1			
k00_10	k_{00->10}	log10	-5	3	-0.630741725766828	1			
k01_00	k_{01->00}	log10	-5	3	2.681097959601930	1			
k01_02	k_{01->02}	log10	-5	3	0.281801982735878	1			
k01_11	k_{01->11}	log10	-5	3	0.423490817789823	1			
k02_01	k_{02->01}	log10	-5	3	-1.155127712313600	1			
k02_03	k_{02->03}	log10	-5	3	-4.999999812443860	1			
k02_12	k_{02->12}	log10	-5	3	-4.999999474552820	1			
k03_02	k_{03->02}	log10	-5	3	-4.999999999999980	1			
k03_13	k_{03->13}	log10	-5	3	2.994810755227790	1			
k10_00	k_{10->00}	log10	-5	3	-4.999999999926260	1			
k10_11	k_{10->11}	log10	-5	3	-4.999999989630200	1			
k10_20	k_{10->20}	log10	-5	3	-0.569938364856428	1			
k11_01	k_{11->01}	log10	-5	3	-4.999999999992510	1			
k11_10	k_{11->10}	log10	-5	3	-4.999871451765290	1			
k11_12	k_{11->12}	log10	-5	3	1.073783929809430	1			
k11_21	k_{11->21}	log10	-5	3	-4.999999984764070	1			
k12_02	k_{12->02}	log10	-5	3	-4.999999999999150	1			
k12_11	k_{12->11}	log10	-5	3	-0.970618745375395	1			
k12_13	k_{12->13}	log10	-5	3	-1.448185445176750	1			
k12_22	k_{12->22}	log10	-5	3	-1.974014927255770	1			
k13_03	k_{13->03}	log10	-5	3	2.653632983311670	1			
k13_12	k_{13->12}	log10	-5	3	-0.709396328201800	1			
k13_23	k_{13->23}	log10	-5	3	-4.999999998096330	1			
k20_10	k_{20->10}	log10	-5	3	-4.999999999999980	1			
k20_21	k_{20->21}	log10	-5	3	-4.999999812371950	1			
k20_30	k_{20->30}	log10	-5	3	-0.821771073094981	1			
k21_11	k_{21->11}	log10	-5	3	-4.999846102136530	1			
k21_20	k_{21->20}	log10	-5	3	-1.451024345707020	1			
k21_22	k_{21->22}	log10	-5	3	2.999687034040290	1			
k21_31	k_{21->31}	log10	-5	3	-4.999999998862440	1			
k22_12	k_{22->12}	log10	-5	3	-1.272624377874880	1			
k22_21	k_{22->21}	log10	-5	3	2.629555532450100	1			
k22_23	k_{22->23}	log10	-5	3	-0.818895911019790	1			
k22_32	k_{22->32}	log10	-5	3	-4.999999999999980	1			
k23_13	k_{23->13}	log10	-5	3	-0.101713070176247	1			
k23_22	k_{23->22}	log10	-5	3	-4.999996708685560	1			
k30_20	k_{30->20}	log10	-5	3	-4.999999400831530	1			
k30_31	k_{30->31}	log10	-5	3	-0.550826512950488	1			
k31_21	k_{31->21}	log10	-5	3	-4.999620034679710	1			
k31_30	k_{31->30}	log10	-5	3	-4.999989572738010	1			
k31_32	k_{31->32}	log10	-5	3	-0.451449176295598	1			
k32_22	k_{32->22}	log10	-5	3	-0.198608740210104	1			
k32_31	k_{32->31}	log10	-5	3	-4.999999999999980	1			
sigma	{sigma}	log10	-5	3	-2.630883103890170	1			
