observableId	simulationCondition	preequilibrationCondition	observableParameters	time	measurement	noiseParameters
Bacnorm	model1_data1			0	0.000428322	
Bacnorm	model1_data1			5	0.000428326	
Bacnorm	model1_data1			10	0.000856646	
Bacnorm	model1_data1			15	0.000157809	
Bacnorm	model1_data1			20	0.001510406	
Bacnorm	model1_data1			25	0.001149715	
Bacnorm	model1_data1			30	0.001600574	
Bacnorm	model1_data1			35	0.001397696	
Bacnorm	model1_data1			40	0.001555493	
Bacnorm	model1_data1			45	0.001284975	
Bacnorm	model1_data1			50	0.001555493	
Bacnorm	model1_data1			55	0.002119075	
Bacnorm	model1_data1			60	0.000721389	
Bacnorm	model1_data1			65	0.002524855	
Bacnorm	model1_data1			70	0.001623124	
Bacnorm	model1_data1			75	0.00245722	
Bacnorm	model1_data1			80	0.002321956	
Bacnorm	model1_data1			85	0.001510397	
Bacnorm	model1_data1			90	0.002727737	
Bacnorm	model1_data1			95	0.001893637	
Bacnorm	model1_data1			100	0.001352602	
Bacnorm	model1_data1			105	0.002028903	
Bacnorm	model1_data1			110	0.002051443	
Bacnorm	model1_data1			115	0.001983814	
Bacnorm	model1_data1			120	0.002096534	
Bacnorm	model1_data1			125	0.001826006	
Bacnorm	model1_data1			130	0.002547393	
Bacnorm	model1_data1			135	0.001623126	
Bacnorm	model1_data1			140	0.0023445	
Bacnorm	model1_data1			145	0.002998261	
Bacnorm	model1_data1			150	0.002434685	
Bacnorm	model1_data1			155	0.002367054	
Bacnorm	model1_data1			160	0.001330056	
Bacnorm	model1_data1			165	0.00146532	
Bacnorm	model1_data1			170	0.001239888	
Bacnorm	model1_data1			175	0.002885551	
Bacnorm	model1_data1			180	0.001803469	
Bacnorm	model1_data1			185	0.002231795	
Bacnorm	model1_data1			190	0.001713291	
Bacnorm	model1_data1			195	0.001871092	
Bacnorm	model1_data1			200	0.001578035	
Bacnorm	model1_data1			205	0.00214162	
Bacnorm	model1_data1			210	0.002592479	
Bacnorm	model1_data1			215	0.00117225	
Bacnorm	model1_data1			220	0.001420236	
Bacnorm	model1_data1			225	0.001848552	
Bacnorm	model1_data1			230	0.002209251	
Bacnorm	model1_data1			235	0.001803462	
Bacnorm	model1_data1			240	0.000608675	
Bacnorm	model1_data1			245	0.001510411	
Bacnorm	model1_data1			250	0.001690747	
Bacnorm	model1_data1			255	0.00193873	
Bacnorm	model1_data1			260	0.001713288	
Bacnorm	model1_data1			265	0.002592484	
Bacnorm	model1_data1			270	0.000789012	
Bacnorm	model1_data1			275	0.002502308	
Bacnorm	model1_data1			280	0.000608677	
Bacnorm	model1_data1			285	0.002254339	
Bacnorm	model1_data1			290	0.001307514	
Bacnorm	model1_data1			295	0.001826016	
Bacnorm	model1_data1			300	0.001104624	
Bacnorm	model1_data1			305	0.001961267	
Bacnorm	model1_data1			310	0.000315612	
Bacnorm	model1_data1			315	0.001623114	
Bacnorm	model1_data1			320	0.001871094	
Bacnorm	model1_data1			325	0.001803473	
Bacnorm	model1_data1			330	0.000428332	
Bacnorm	model1_data1			335	0.001735838	
Bacnorm	model1_data1			340	0.001961275	
Bacnorm	model1_data1			345	0.001442768	
Bacnorm	model1_data1			350	0.000698839	
Bacnorm	model1_data1			355	0.001284964	
Bacnorm	model1_data1			360	0.002682658	
Bacnorm	model1_data1			365	0.002028896	
Bacnorm	model1_data1			370	0.001036986	
Bacnorm	model1_data1			375	0.001465327	
Bacnorm	model1_data1			380	0.001532953	
Bacnorm	model1_data1			385	0.001690755	
Bacnorm	model1_data1			390	0.000766478	
Bacnorm	model1_data1			395	0.001578025	
Bacnorm	model1_data1			400	0.001690757	
Bacnorm	model1_data1			405	0.002073989	
Bacnorm	model1_data1			410	0.001262427	
Bacnorm	model1_data1			415	0.0	
Bacnorm	model1_data1			420	0.001510401	
Bacnorm	model1_data1			425	0.001014447	
Bacnorm	model1_data1			430	0.001037001	
Bacnorm	model1_data1			435	0.00146531	
Bacnorm	model1_data1			440	0.00232196	
Bacnorm	model1_data1			445	0.001532946	
Bacnorm	model1_data1			450	0.001239881	
Bacnorm	model1_data1			455	0.001397682	
Bacnorm	model1_data1			460	0.000879187	
Bacnorm	model1_data1			465	0.001104629	
Bacnorm	model1_data1			470	0.000743931	
Bacnorm	model1_data1			475	0.00187109	
Bacnorm	model1_data1			480	6.76e-05	
Bacnorm	model1_data1			485	0.000405785	
Bacnorm	model1_data1			490	0.001690749	
Bacnorm	model1_data1			495	0.000991912	
Bacnorm	model1_data1			500	0.001239876	
Bacnorm	model1_data1			505	0.000924276	
Bacnorm	model1_data1			510	0.001104627	
Bacnorm	model1_data1			515	0.001690747	
Bacnorm	model1_data1			520	0.000270521	
Bacnorm	model1_data1			525	0.001104629	
Bacnorm	model1_data1			530	0.001284977	
Bacnorm	model1_data1			535	0.001397692	
Bacnorm	model1_data1			540	0.001217341	
Bacnorm	model1_data1			545	0.00087919	
Bacnorm	model1_data1			550	0.001217338	
Bacnorm	model1_data1			555	0.001014451	
Bacnorm	model1_data1			560	0.001149708	
Bacnorm	model1_data1			565	0.000834108	
Bacnorm	model1_data1			570	0.000405777	
Bacnorm	model1_data1			575	0.0	
Bacnorm	model1_data1			580	0.001826004	
Bacnorm	model1_data1			585	0.001059537	
Bacnorm	model1_data1			590	0.001735835	
Bacnorm	model1_data1			595	0.00166821	
Bacnorm	model1_data1			600	0.0	
Bacnorm	model1_data1			605	0.00175838	
Bacnorm	model1_data1			610	0.000586135	
Bacnorm	model1_data1			615	0.001307509	
Bacnorm	model1_data1			620	0.001871102	
Bacnorm	model1_data1			625	0.001307514	
Bacnorm	model1_data1			630	0.000631207	
Bacnorm	model1_data1			635	0.001487862	
Bacnorm	model1_data1			640	0.001600582	
Bacnorm	model1_data1			645	0.001600574	
Bacnorm	model1_data1			650	0.001758385	
Bacnorm	model1_data1			655	0.000270523	
Bacnorm	model1_data1			660	0.001578034	
Bacnorm	model1_data1			665	0.00139769	
Bacnorm	model1_data1			670	0.001194805	
Bacnorm	model1_data1			675	0.000879192	
Bacnorm	model1_data1			680	0.001127173	
Bacnorm	model1_data1			685	0.000653763	
Bacnorm	model1_data1			690	0.001262422	
Bacnorm	model1_data1			695	0.000834099	
Bacnorm	model1_data1			700	0.00164567	
Bacnorm	model1_data1			705	0.000924284	
Bacnorm	model1_data1			710	0.000247972	
Bacnorm	model1_data1			715	0.001104624	
Bacnorm	model1_data1			720	0.001532953	
Bacnorm	model1_data1			725	0.000721394	
Bacnorm	model1_data1			730	0.001239876	
Bacnorm	model1_data1			735	0.000834101	
Bacnorm	model1_data1			740	0.00069885	
Bacnorm	model1_data1			745	0.001330053	
Bacnorm	model1_data1			750	0.001217346	
Bacnorm	model1_data1			755	0.00110463	
Bacnorm	model1_data1			760	0.001352602	
Bacnorm	model1_data1			765	0.000856646	
Bacnorm	model1_data1			770	0.001284974	
Bacnorm	model1_data1			775	0.001397694	
Bacnorm	model1_data1			780	0.000202897	
Bacnorm	model1_data1			785	0.001555493	
Bacnorm	model1_data1			790	0.001465317	
Bacnorm	model1_data1			795	0.001149718	
Bacnorm	model1_data1			800	0.000541048	
Bacnorm	model1_data1			805	0.0016682	
Bacnorm	model1_data1			810	0.001307517	
Bacnorm	model1_data1			815	0.001352608	
Bacnorm	model1_data1			820	0.001239889	
Bacnorm	model1_data1			825	0.001284969	
Bacnorm	model1_data1			830	0.0	
Bacnorm	model1_data1			835	0.00155549	
Bacnorm	model1_data1			840	0.001036986	
Bacnorm	model1_data1			845	0.001014456	
Bacnorm	model1_data1			850	0.001983816	
Bacnorm	model1_data1			855	0.001600571	
Bacnorm	model1_data1			860	0.001893634	
Bacnorm	model1_data1			865	0.001375144	
Bacnorm	model1_data1			870	0.001082073	
Bacnorm	model1_data1			875	0.001487855	
Bacnorm	model1_data1			880	0.002006349	
Bacnorm	model1_data1			885	0.002028901	
Bacnorm	model1_data1			890	0.001172262	
Bacnorm	model1_data1			895	0.001803469	
Bacnorm	model1_data1			900	0.002006359	
Bacnorm	model1_data1			905	0.000856641	
Bacnorm	model1_data1			910	0.001059538	
Bacnorm	model1_data1			915	0.002231798	
Bacnorm	model1_data1			920	0.001330061	
Bacnorm	model1_data1			925	0.002569941	
Bacnorm	model1_data1			930	0.00261503	
Bacnorm	model1_data1			935	0.001194795	
Bacnorm	model1_data1			940	0.001938728	
Bacnorm	model1_data1			945	0.002096526	
Bacnorm	model1_data1			950	0.002389602	
Bacnorm	model1_data1			955	0.00184856	
Bacnorm	model1_data1			960	0.001826011	
Bacnorm	model1_data1			965	0.00245723	
Bacnorm	model1_data1			970	0.001893647	
Bacnorm	model1_data1			975	0.001600577	
Bacnorm	model1_data1			980	0.002006363	
Bacnorm	model1_data1			985	0.001510406	
Bacnorm	model1_data1			990	0.001758382	
Bacnorm	model1_data1			995	0.001465312	
Bacnorm	model1_data1			1000	0.002502301	
Bacnorm	model1_data1			1005	0.001623118	
Bacnorm	model1_data1			1010	0.003043357	
Bacnorm	model1_data1			1015	0.002006349	
Bacnorm	model1_data1			1020	0.001916193	
Bacnorm	model1_data1			1025	0.002817918	
Bacnorm	model1_data1			1030	0.003742202	
Bacnorm	model1_data1			1035	0.002592479	
Bacnorm	model1_data1			1040	0.003787283	
Bacnorm	model1_data1			1045	0.003899993	
Bacnorm	model1_data1			1050	0.003561856	
Bacnorm	model1_data1			1055	0.003606926	
Bacnorm	model1_data1			1060	0.003065897	
Bacnorm	model1_data1			1065	0.004125434	
Bacnorm	model1_data1			1070	0.004305784	
Bacnorm	model1_data1			1075	0.004756645	
Bacnorm	model1_data1			1080	0.004621392	
Bacnorm	model1_data1			1085	0.005320219	
Bacnorm	model1_data1			1090	0.005342776	
Bacnorm	model1_data1			1095	0.005771094	
Bacnorm	model1_data1			1100	0.006041622	
Bacnorm	model1_data1			1105	0.005928901	
Bacnorm	model1_data1			1110	0.006244512	
Bacnorm	model1_data1			1115	0.006244502	
Bacnorm	model1_data1			1120	0.006808091	
Bacnorm	model1_data1			1125	0.00800289	
Bacnorm	model1_data1			1130	0.007574561	
Bacnorm	model1_data1			1135	0.008183237	
Bacnorm	model1_data1			1140	0.008521386	
Bacnorm	model1_data1			1145	0.008386123	
Bacnorm	model1_data1			1150	0.01075318	
Bacnorm	model1_data1			1155	0.010730628	
Bacnorm	model1_data1			1160	0.011384395	
Bacnorm	model1_data1			1165	0.013232944	
Bacnorm	model1_data1			1170	0.012263575	
Bacnorm	model1_data1			1175	0.013976867	
Bacnorm	model1_data1			1180	0.014630632	
Bacnorm	model1_data1			1185	0.015735254	
Bacnorm	model1_data1			1190	0.016321379	
Bacnorm	model1_data1			1195	0.01753872	
Bacnorm	model1_data1			1200	0.018620795	
Bacnorm	model1_data1			1205	0.020131195	
Bacnorm	model1_data1			1210	0.01988322	
Bacnorm	model1_data1			1215	0.022813855	
Bacnorm	model1_data1			1220	0.023805768	
Bacnorm	model1_data1			1225	0.025406342	
Bacnorm	model1_data1			1230	0.025654323	
Bacnorm	model1_data1			1235	0.027841015	
Bacnorm	model1_data1			1240	0.029576862	
Bacnorm	model1_data1			1245	0.030591306	
Bacnorm	model1_data1			1250	0.033567035	
Bacnorm	model1_data1			1255	0.034401133	
Bacnorm	model1_data1			1260	0.037286685	
Bacnorm	model1_data1			1265	0.039067611	
Bacnorm	model1_data1			1270	0.040916156	
Bacnorm	model1_data1			1275	0.042877422	
Bacnorm	model1_data1			1280	0.044072231	
Bacnorm	model1_data1			1285	0.046191294	
Bacnorm	model1_data1			1290	0.048378001	
Bacnorm	model1_data1			1295	0.052435806	
Bacnorm	model1_data1			1300	0.054239282	
Bacnorm	model1_data1			1305	0.056516149	
Bacnorm	model1_data1			1310	0.057891291	
Bacnorm	model1_data1			1315	0.061949103	
Bacnorm	model1_data1			1320	0.064496499	
Bacnorm	model1_data1			1325	0.066728292	
Bacnorm	model1_data1			1330	0.068847366	
