observableId	preequilibrationCondition	simulationCondition	measurement	time	observableParameters	noiseParameters	observableTransformation
pSTAT5A_rel		model1_data1	0	0		sd_pSTAT5A_rel	lin
pSTAT5A_rel		model1_data1	75.1549671358	2.5		sd_pSTAT5A_rel	lin
pSTAT5A_rel		model1_data1	85.2163816535	5		sd_pSTAT5A_rel	lin
pSTAT5A_rel		model1_data1	90.6694732203	10		sd_pSTAT5A_rel	lin
pSTAT5A_rel		model1_data1	92.1422837775	15		sd_pSTAT5A_rel	lin
pSTAT5A_rel		model1_data1	92.5018522474	20		sd_pSTAT5A_rel	lin
pSTAT5A_rel		model1_data1	91.9628925517	30		sd_pSTAT5A_rel	lin
pSTAT5A_rel		model1_data1	90.625262994	40		sd_pSTAT5A_rel	lin
pSTAT5A_rel		model1_data1	88.7858308028	50		sd_pSTAT5A_rel	lin
pSTAT5A_rel		model1_data1	86.5228969273	60		sd_pSTAT5A_rel	lin
pSTAT5A_rel		model1_data1	80.8019280011	80		sd_pSTAT5A_rel	lin
pSTAT5A_rel		model1_data1	73.5772935097	100		sd_pSTAT5A_rel	lin
pSTAT5A_rel		model1_data1	65.1055254027	120		sd_pSTAT5A_rel	lin
pSTAT5A_rel		model1_data1	46.4623038404	160		sd_pSTAT5A_rel	lin
pSTAT5A_rel		model1_data1	29.5144935856	200		sd_pSTAT5A_rel	lin
pSTAT5A_rel		model1_data1	17.1453510648	240		sd_pSTAT5A_rel	lin
pSTAT5B_rel		model1_data1	0	0		sd_pSTAT5B_rel	lin
pSTAT5B_rel		model1_data1	40.1654621871	2.5		sd_pSTAT5B_rel	lin
pSTAT5B_rel		model1_data1	54.5032976736	5		sd_pSTAT5B_rel	lin
pSTAT5B_rel		model1_data1	66.2879117046	10		sd_pSTAT5B_rel	lin
pSTAT5B_rel		model1_data1	70.9429990469	15		sd_pSTAT5B_rel	lin
pSTAT5B_rel		model1_data1	72.9589968453	20		sd_pSTAT5B_rel	lin
pSTAT5B_rel		model1_data1	73.5974399901	30		sd_pSTAT5B_rel	lin
pSTAT5B_rel		model1_data1	72.082995757	40		sd_pSTAT5B_rel	lin
pSTAT5B_rel		model1_data1	69.4358397665	50		sd_pSTAT5B_rel	lin
pSTAT5B_rel		model1_data1	66.0720835416	60		sd_pSTAT5B_rel	lin
pSTAT5B_rel		model1_data1	58.0459969685	80		sd_pSTAT5B_rel	lin
pSTAT5B_rel		model1_data1	49.2225279021	100		sd_pSTAT5B_rel	lin
pSTAT5B_rel		model1_data1	40.4540966361	120		sd_pSTAT5B_rel	lin
pSTAT5B_rel		model1_data1	25.2906981147	160		sd_pSTAT5B_rel	lin
pSTAT5B_rel		model1_data1	14.6584042019	200		sd_pSTAT5B_rel	lin
pSTAT5B_rel		model1_data1	8.0932190893	240		sd_pSTAT5B_rel	lin
rSTAT5A_rel		model1_data1	21.2892834379	0		sd_rSTAT5A_rel	lin
rSTAT5A_rel		model1_data1	34.8294204521	2.5		sd_rSTAT5A_rel	lin
rSTAT5A_rel		model1_data1	39.0090255401	5		sd_rSTAT5A_rel	lin
rSTAT5A_rel		model1_data1	42.2330600419	10		sd_rSTAT5A_rel	lin
rSTAT5A_rel		model1_data1	43.5005507095	15		sd_rSTAT5A_rel	lin
rSTAT5A_rel		model1_data1	44.09441589	20		sd_rSTAT5A_rel	lin
rSTAT5A_rel		model1_data1	44.4535462193	30		sd_rSTAT5A_rel	lin
rSTAT5A_rel		model1_data1	44.3019891288	40		sd_rSTAT5A_rel	lin
rSTAT5A_rel		model1_data1	43.885163825	50		sd_rSTAT5A_rel	lin
rSTAT5A_rel		model1_data1	43.2989886397	60		sd_rSTAT5A_rel	lin
rSTAT5A_rel		model1_data1	41.8054478544	80		sd_rSTAT5A_rel	lin
rSTAT5A_rel		model1_data1	40.0835500781	100		sd_rSTAT5A_rel	lin
rSTAT5A_rel		model1_data1	38.3234573256	120		sd_rSTAT5A_rel	lin
rSTAT5A_rel		model1_data1	35.2468851779	160		sd_rSTAT5A_rel	lin
rSTAT5A_rel		model1_data1	33.1841581699	200		sd_rSTAT5A_rel	lin
rSTAT5A_rel		model1_data1	32.0668685917	240		sd_rSTAT5A_rel	lin
